# Data source: https://raw.githubusercontent.com/idandrd/israel-covid19-data/master/IsraelCOVID19.csv
# Data provenance: https://github.com/idandrd/israel-covid19-data
# License: none specified
time	cases	deaths	hospitalized	ICU	recovered
2020-02-21	2				
2020-02-22	2				
2020-02-23	2				
2020-02-24	2				
2020-02-25	2				
2020-02-26	3				
2020-02-27	5				
2020-02-28	7				
2020-02-29	10				
2020-03-01	12				
2020-03-02	12				
2020-03-03	15				
2020-03-04	16				
2020-03-05	20				
2020-03-06	22				
2020-03-07	37				
2020-03-08	39				
2020-03-09	59				
2020-03-10	77				
2020-03-11	99				
2020-03-12	130				
2020-03-13	164				
2020-03-14	200				
2020-03-15	253				
2020-03-16	318				
2020-03-17	421				
2020-03-18	524				
2020-03-19	677				
2020-03-20	838				
2020-03-21	943				
2020-03-22	1207				
2020-03-23	1552				
2020-03-24	2000				
2020-03-25	2463				
2020-03-26	3011				
2020-03-27	3345				
