# Data source: https://raw.github.com/pcm-dpc/COVID-19/master/dati-json/dpc-covid19-ita-regioni.json
# Data provenance: Dipartimento della Protezione Civile
# License: CC-BY-4.0
time	cases	deaths	hospitalized	ICU	recovered
2020-02-24	3	0	1	1	1
2020-02-25	3	0	1	1	1
2020-02-26	3	0	0	0	3
2020-02-27	3	0	0	0	3
2020-02-28	3	0	0	0	3
2020-02-29	6	0	3	0	3
2020-03-01	6	0	3	0	3
2020-03-02	7	0	3	0	3
2020-03-03	14	0	10	0	3
2020-03-04	30	0	15	3	3
2020-03-05	44	0	20	7	3
2020-03-06	54	1	26	8	3
2020-03-07	76	1	43	8	3
2020-03-08	87	3	47	8	3
2020-03-09	102	5	55	8	3
2020-03-10	116	6	50	15	11
2020-03-11	150	6	67	18	19
2020-03-12	200	9	85	20	19
2020-03-13	277	11	122	24	24
2020-03-14	357	13	181	25	24
2020-03-15	436	16	223	31	24
2020-03-16	523	19	267	31	32
2020-03-17	607	23	314	44	34
2020-03-18	724	32	374	44	42
2020-03-19	823	38	426	45	44
