# Data source: https://raw.github.com/pcm-dpc/COVID-19/master/dati-json/dpc-covid19-ita-regioni.json
# Data provenance: Dipartimento della Protezione Civile
# License: CC-BY-4.0
time	cases	deaths	hospitalized	ICU	recovered
2020-02-24	0	0	0	0	0
2020-02-25	0	0	0	0	0
2020-02-26	0	0	0	0	0
2020-02-27	1	0	1	0	0
2020-02-28	3	0	1	0	0
2020-02-29	3	0	1	0	0
2020-03-01	3	0	1	0	0
2020-03-02	4	0	2	0	0
2020-03-03	6	0	2	0	0
2020-03-04	9	1	4	0	1
2020-03-05	14	1	5	1	1
2020-03-06	17	1	5	1	1
2020-03-07	26	2	9	2	1
2020-03-08	40	3	17	3	1
2020-03-09	50	3	20	6	1
2020-03-10	59	3	28	6	1
2020-03-11	77	5	38	4	1
2020-03-12	104	5	58	2	1
2020-03-13	129	5	77	2	3
2020-03-14	166	8	91	6	2
2020-03-15	230	16	116	6	2
2020-03-16	230	16	116	6	2
2020-03-17	340	18	155	14	2
2020-03-18	383	19	156	30	2
2020-03-19	478	25	173	31	4
