# Data source: https://raw.github.com/pcm-dpc/COVID-19/master/dati-json/dpc-covid19-ita-regioni.json
# Data provenance: Dipartimento della Protezione Civile
# License: CC-BY-4.0
time	cases	deaths	hospitalized	ICU	recovered
2020-02-24	0	0	0	0	0
2020-02-25	2	0	2	0	0
2020-02-26	2	0	2	0	0
2020-02-27	2	0	2	0	0
2020-02-28	8	0	5	0	1
2020-02-29	11	0	7	0	1
2020-03-01	13	0	7	0	1
2020-03-02	13	0	7	0	1
2020-03-03	19	0	10	0	1
2020-03-04	38	0	15	2	1
2020-03-05	61	0	26	3	1
2020-03-06	79	0	35	5	1
2020-03-07	113	0	54	7	1
2020-03-08	166	0	91	7	1
2020-03-09	208	1	107	9	1
2020-03-10	264	1	91	40	3
2020-03-11	320	1	87	54	5
2020-03-12	364	5	100	59	7
2020-03-13	470	5	134	77	10
2020-03-14	630	6	160	87	10
2020-03-15	781	8	175	107	10
2020-03-16	866	14	175	107	11
2020-03-17	1053	17	329	143	12
2020-03-18	1330	22	427	160	17
2020-03-19	1482	38	501	178	22
