# Data source: https://github.com/opencovid19-fr/data/raw/master/dist/chiffres-cles.csv
# Data provenance: Données nationales concernant l'épidémie de COVID19
# License: Etalab Open License 2.0
time	cases	deaths	hospitalized	ICU	recovered
2020-02-28	0	0	0		
2020-03-02	0	0	0		
2020-03-03	0	0	0		
2020-03-04	0	0	0		
2020-03-05	3	0	0		
2020-03-05	3	0	0		
2020-03-06	5	0	0		
2020-03-06	5	0	0		
2020-03-07	19	0	0		
2020-03-07	19	0	0		
2020-03-09	38	1	0		
2020-03-10	42	2	0		
2020-03-10	42	2	0		
2020-03-11	51	3	0		
2020-03-11	51	3	0		
2020-03-12	64	3	0		
2020-03-12	64	3	0		
2020-03-13	85	5	0		
2020-03-13	85	5	0		
2020-03-14	106	5	0		
2020-03-14	106	5	0		
2020-03-15	115	5	0		
2020-03-15	115	5	0		
2020-03-16	126	7	0		
2020-03-16	126	7	0		
2020-03-17	145	7	0		
2020-03-17	145	7	0		
2020-03-18	152	7	0		
2020-03-18	152	7	0		
2020-03-18	152	7	0		
2020-03-19	164	7	0		
2020-03-19	164	7	0		
2020-03-19	164	7	1		
2020-03-20	168	7	1		
2020-03-20	168	7	1		
2020-03-20	168	7	66		
2020-03-21	173	7	66		
2020-03-21	173	7	68		
2020-03-22	183	7	68		
2020-03-22	183	7	68		
2020-03-23	203	11	68		
2020-03-23	203	11	68		
2020-03-23	203	11	68		
2020-03-24	218	12	68		
2020-03-24	218	12	68		
