# Data source: https://coronadatascraper.com/timeseries-byLocation.json
# Data provenance: Coronadatascraper.com
# License: Scraped from many sources, no clear license
location	time	cases	deaths	hospitalized	ICU	recovered
Thailand	2020-01-22	2	0			0
Thailand	2020-01-23	3	0			0
Thailand	2020-01-24	5	0			0
Thailand	2020-01-25	7	0			0
Thailand	2020-01-26	8	0			2
Thailand	2020-01-27	8	0			2
Thailand	2020-01-28	14	0			5
Thailand	2020-01-29	14	0			5
Thailand	2020-01-30	14	0			5
Thailand	2020-01-31	19	0			5
Thailand	2020-02-01	19	0			5
Thailand	2020-02-02	19	0			5
Thailand	2020-02-03	19	0			5
Thailand	2020-02-04	25	0			5
Thailand	2020-02-05	25	0			5
Thailand	2020-02-06	25	0			5
Thailand	2020-02-07	25	0			5
Thailand	2020-02-08	32	0			10
Thailand	2020-02-09	32	0			10
Thailand	2020-02-10	32	0			10
Thailand	2020-02-11	33	0			10
Thailand	2020-02-12	33	0			10
Thailand	2020-02-13	33	0			12
Thailand	2020-02-14	33	0			12
Thailand	2020-02-15	33	0			12
Thailand	2020-02-16	34	0			14
Thailand	2020-02-17	35	0			15
Thailand	2020-02-18	35	0			15
Thailand	2020-02-19	35	0			15
Thailand	2020-02-20	35	0			15
Thailand	2020-02-21	35	0			17
Thailand	2020-02-22	35	0			17
Thailand	2020-02-23	35	0			21
Thailand	2020-02-24	35	0			21
Thailand	2020-02-25	37	0			22
Thailand	2020-02-26	40	0			22
Thailand	2020-02-27	40	0			22
Thailand	2020-02-28	41	0			28
Thailand	2020-02-29	42	0			28
Thailand	2020-03-01	42	1			28
Thailand	2020-03-02	43	1			31
Thailand	2020-03-03	43	1			31
Thailand	2020-03-04	43	1			31
Thailand	2020-03-05	47	1			31
Thailand	2020-03-06	48	1			31
Thailand	2020-03-07	50	1			31
Thailand	2020-03-08	50	1			31
Thailand	2020-03-09	50	1			31
Thailand	2020-03-10	53	1			33
Thailand	2020-03-11	59	1			34
Thailand	2020-03-12	70	1			34
Thailand	2020-03-13	75	1			35
Thailand	2020-03-14	82	1			35
Thailand	2020-03-15	114	1			35
Thailand	2020-03-16	147	1			35
Thailand	2020-03-17	177	1			41
Thailand	2020-03-18	212	1			42
Thailand	2020-03-19	272	1			42
Thailand	2020-03-20	322	1			42
Thailand	2020-03-21	411	1			42
Thailand	2020-03-22	599	1			44
Thailand	2020-03-23	599	1			44
Thailand	2020-03-24	827	4			
Japan	2020-01-22	2	0			0
Japan	2020-01-23	1	0			0
Japan	2020-01-24	2	0			0
Japan	2020-01-25	2	0			0
Japan	2020-01-26	4	0			1
Japan	2020-01-27	4	0			1
Japan	2020-01-28	7	0			1
Japan	2020-01-29	7	0			1
Japan	2020-01-30	11	0			1
Japan	2020-01-31	15	0			1
Japan	2020-02-01	20	0			1
Japan	2020-02-02	20	0			1
Japan	2020-02-03	20	0			1
Japan	2020-02-04	22	0			1
Japan	2020-02-05	22	0			1
Japan	2020-02-06	45	0			1
