# Data source: https://github.com/BlankerL/DXY-COVID-19-Data/raw/master/csv/DXYOverall.csv
# Data provenance: https://github.com/BlankerL/DXY-COVID-19-Data
# License: MIT
time	cases	deaths	hospitalized	ICU	recovered
2020-01-22	1	0			0
2020-01-24	1	1			0
2020-01-25	8	1			0
2020-01-26	13	1			0
2020-01-27	18	1			0
2020-01-28	40	1			0
2020-01-29	55	1			0
2020-01-30	74	1			0
2020-01-31	90	1			0
2020-02-01	105	1			0
2020-02-02	113	1			3
2020-02-03	122	1			3
2020-02-04	136	1			4
2020-02-05	145	1			6
2020-02-06	167	1			13
2020-02-07	182	1			22
2020-02-08	205	1			30
2020-02-09	216	2			35
2020-02-10	228	2			42
2020-02-11	250	2			50
2020-02-12	263	2			56
2020-02-13	277	3			70
2020-02-14	295	3			90
2020-02-15	303	3			108
2020-02-16	312	3			112
2020-02-17	313	3			129
2020-02-18	314	4			143
2020-02-19	318	4			160
2020-02-20	319	5			178
2020-02-21	320	5			193
2020-02-22	321	6			213
2020-02-23	323	6			229
2020-02-24	323	6			244
2020-02-25	323	6			258
2020-02-26	324	6			271
2020-02-27	329	6			284
2020-02-28	330	6			287
2020-02-29	330	6			292
2020-03-01	330	6			304
2020-03-02	318	6			296
2020-03-03	330	6			311
2020-03-04	318	6			301
2020-03-05	330	6			315
2020-03-06	318	6			305
2020-03-07	318	6			307
2020-03-09	12	0			11
2020-03-10	12	0			11
2020-03-12	330	6			320
2020-03-13	318	6			310
2020-03-15	12	0			12
2020-03-20	12	0			12
2020-03-22	319	6			310
2020-03-23	319	6			310
2020-03-24	12	0			12
2020-03-26	12	0			12
2020-03-27	12	0			12
2020-03-28	12	0			12
2020-03-29	12	0			12
