# Data source: https://github.com/BlankerL/DXY-COVID-19-Data/raw/master/csv/DXYOverall.csv
# Data provenance: https://github.com/BlankerL/DXY-COVID-19-Data
# License: MIT
time	cases	deaths	hospitalized	ICU	recovered
2020-01-22	444	17			28
2020-01-24	549	0			0
2020-01-25	761	40			32
2020-01-26	1058	52			42
2020-01-27	1423	76			47
2020-01-28	2714	100			50
2020-01-29	3554	125			57
2020-01-30	4586	162			90
2020-01-31	5806	204			119
2020-02-01	7153	249			133
2020-02-02	9074	294			215
2020-02-03	11177	350			300
2020-02-04	13522	414			397
2020-02-05	16678	479			537
2020-02-06	19665	549			730
2020-02-07	22112	618			867
2020-02-08	24953	699			1218
2020-02-09	27100	780			1480
2020-02-10	29631	871			1854
2020-02-11	31728	974			2310
2020-02-12	33366	1068			2686
2020-02-13	48206	1310			3459
2020-02-14	51986	1318			3900
2020-02-15	54406	1457			4821
2020-02-16	56249	1596			5666
2020-02-17	58182	1696			6693
2020-02-18	59989	1789			7943
2020-02-19	61682	1921			9336
2020-02-20	62031	2029			10521
2020-02-21	62662	2144			11881
2020-02-22	63454	2250			13690
2020-02-23	64084	2346			15343
2020-02-24	64287	2495			16738
2020-02-25	64786	2563			18971
2020-02-26	65187	2615			20969
2020-02-27	65596	2641			23383
2020-02-28	65914	2682			26403
2020-02-29	66337	2727			28993
2020-03-01	66907	2761			31536
2020-03-02	67103	2803			33934
2020-03-03	67217	2835			36208
2020-03-04	67332	2871			38557
2020-03-05	67466	2902			40592
2020-03-06	67592	2931			42033
2020-03-07	67666	2959			43500
2020-03-08	67707	2986			45235
2020-03-09	67743	3008			46488
2020-03-10	67760	3024			47743
2020-03-11	67773	3046			49134
2020-03-12	67781	3056			50318
2020-03-13	67786	3062			51553
2020-03-14	67790	3075			52960
2020-03-15	67794	3085			54288
2020-03-16	67798	3099			55142
2020-03-17	67799	3111			56003
2020-03-18	67800	3122			56927
2020-03-19	67800	3130			57682
2020-03-20	67800	3133			58382
2020-03-21	67800	3139			58946
2020-03-22	67800	3144			59433
2020-03-23	67800	3153			59882
2020-03-24	67801	3160			60324
2020-03-25	67801	3163			60811
2020-03-26	67801	3169			61201
2020-03-27	67801	3174			61732
2020-03-28	67801	3177			62098
2020-03-29	67801	3182			62570
