# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	ICU	recovered
2019-12-31	0	0			0
2020-01-01	0	0			0
2020-01-02	0	0			0
2020-01-03	0	0			0
2020-01-04	0	0			0
2020-01-05	0	0			0
2020-01-06	0	0			0
2020-01-07	0	0			0
2020-01-08	0	0			0
2020-01-09	0	0			0
2020-01-10	0	0			0
2020-01-11	0	0			0
2020-01-12	0	0			0
2020-01-13	0	0			0
2020-01-14	0	0			0
2020-01-15	0	0			0
2020-01-16	0	0			0
2020-01-17	0	0			0
2020-01-18	0	0			0
2020-01-19	0	0			0
2020-01-20	0	0			0
2020-01-21	0	0			0
2020-01-22	0	0			0
2020-01-23	0	0			0
2020-01-24	0	0			0
2020-01-25	0	0			0
2020-01-26	0	0			0
2020-01-27	0	0			0
2020-01-28	0	0			0
2020-01-29	0	0			0
2020-01-30	0	0			0
2020-01-31	0	0			0
2020-02-01	0	0			0
2020-02-02	0	0			0
2020-02-03	0	0			0
2020-02-04	1	0			0
2020-02-05	1	0			0
2020-02-06	1	0			0
2020-02-07	1	0			0
2020-02-08	1	0			0
2020-02-09	1	0			0
2020-02-10	1	0			0
2020-02-11	1	0			0
2020-02-12	1	0			0
2020-02-13	1	0			0
2020-02-14	1	0			0
2020-02-15	1	0			0
2020-02-16	1	0			0
2020-02-17	1	0			0
2020-02-18	1	0			0
2020-02-19	1	0			0
2020-02-20	1	0			0
2020-02-21	1	0			0
2020-02-22	1	0			0
2020-02-23	1	0			0
2020-02-24	1	0			0
2020-02-25	1	0			0
2020-02-26	1	0			0
2020-02-27	1	0			0
2020-02-28	1	0			0
2020-02-29	1	0			0
2020-03-01	1	0			0
2020-03-02	2	0			0
2020-03-03	8	0			0
2020-03-04	13	0			0
2020-03-05	23	0			0
2020-03-06	50	0			0
2020-03-07	109	0			0
2020-03-08	169	0			0
2020-03-09	200	0			0
2020-03-10	239	0			0
2020-03-11	267	0			0
2020-03-12	314	3			0
2020-03-13	399	3			0
2020-03-14	559	3			0
2020-03-15	689	4			0
2020-03-16	886	4			0
2020-03-17	1085	5			0
2020-03-18	1243	5			0
2020-03-19	1486	14			0
2020-03-20	1795	21			0
2020-03-21	2257	37			0
2020-03-22	2815	67			0
2020-03-23	3401	75			0
2020-03-24	3743	88			0
2020-03-25	4269	122			0
2020-03-26	4937	178			0
2020-03-27	6235	220			0
2020-03-28	7284	289			0
