# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	ICU	recovered
2020-03-16	2	0			
2020-03-17	2	0			
2020-03-18	19	0			
2020-03-19	19	0			
2020-03-20	21	0			
2020-03-21	24	0			
2020-03-22	24	0			
2020-03-23	31	1			
2020-03-24	61	1			
2020-03-25	63	1			
2020-03-26	71	1			
2020-03-27	79	1			
2020-03-28	86	1			
2020-03-29	86	1			
2020-03-30	86	1			
