# Data source: https://raw.githubusercontent.com/tryggvigy/CoronaWatchIS/master/data/covid_in_is.cvs
# Data provenance: https://github.com/tryggvigy/CoronaWatchIS
# License: none specified
time	cases	deaths	hospitalized	ICU	recovered
2020-02-27	0	0			
2020-02-28	1	0			
2020-02-29	1	0			
2020-03-01	4	0			
2020-03-02	10	0			
2020-03-03	16	0			
2020-03-04	30	0			
2020-03-05	38	0			
2020-03-06	48	0			
2020-03-07	55	0	0	0	
2020-03-08	60	0	0	0	
2020-03-09	69	0	1	0	
2020-03-10	83	0	1	0	
2020-03-11	107	0	0	0	
2020-03-12	123	0	2	0	
2020-03-13	143	0	2	0	
2020-03-14	167	0	2	1	
2020-03-15	187	0	5	1	
2020-03-16	212	0	6	2	
2020-03-17	265	0	7	2	
2020-03-18	343	0	8	2	
2020-03-19	420	0	10	1	
2020-03-20	480	0	10	1	
2020-03-21	571	0	16	1	
2020-03-22	593	0	18	1	
2020-03-23	660	0	20	0	
2020-03-24	766	1	23	2	
2020-03-25	808	0	26	2	
2020-03-26	895	0	32	3	
2020-03-27	965	0	35	6	
2020-03-28	1020	0	38	6	
2020-03-29	1086	0	46	9	
2020-03-30	1135	0	52	10	
2020-03-31			58	11	
