# Data source: https://raw.github.com/pcm-dpc/COVID-19/master/dati-json/dpc-covid19-ita-regioni.json
# Data provenance: Dipartimento della Protezione Civile
# License: CC-BY-4.0
time	cases	deaths	hospitalized	ICU	recovered
2020-02-24T18:00:00	0	0	0	0	0
2020-02-25T18:00:00	0	0	0	0	0
2020-02-26T18:00:00	0	0	0	0	0
2020-02-27T18:00:00	3	0	2	0	0
2020-02-28T18:00:00	4	0	2	0	0
2020-02-29T17:00:00	13	0	3	0	0
2020-03-01T17:00:00	17	0	4	0	0
2020-03-02T18:00:00	17	0	4	0	0
2020-03-03T18:00:00	30	0	11	0	0
2020-03-04T17:00:00	31	0	11	0	0
2020-03-05T17:00:00	45	0	12	0	0
2020-03-06T17:00:00	57	0	12	0	0
2020-03-07T18:00:00	61	0	16	0	0
2020-03-08T18:00:00	101	0	30	7	1
2020-03-09T18:00:00	120	0	42	8	1
2020-03-10T18:00:00	127	0	33	8	1
2020-03-11T17:00:00	154	1	56	11	4
2020-03-12T17:00:00	179	1	56	11	4
2020-03-13T17:00:00	220	2	60	19	5
2020-03-14T17:00:00	272	6	72	17	23
2020-03-15T17:00:00	333	9	73	22	28
2020-03-16T17:00:00	400	9	103	22	28
2020-03-17T17:00:00	460	9	127	24	28
2020-03-18T17:00:00	460	9	127	24	28
2020-03-19T17:00:00	652	17	213	36	30
2020-03-20T17:00:00	749	17	130	41	30
2020-03-21T17:00:00	844	22	233	87	29
2020-03-22T17:00:00	936	29	243	99	41
2020-03-23T17:00:00	1026	49	266	110	48
2020-03-24T17:00:00	1101	56	345	181	53
2020-03-25T17:00:00	1199	74	318	123	53
2020-03-26T17:00:00	1310	83	448	114	58
2020-03-27T17:00:00	1454	98	456	113	64
2020-03-28T17:00:00	1592	109	463	132	76
2020-03-29T17:00:00	1759	117	476	135	86
