# Data source: https://raw.github.com/pcm-dpc/COVID-19/master/dati-json/dpc-covid19-ita-regioni.json
# Data provenance: Dipartimento della Protezione Civile
# License: CC-BY-4.0
time	cases	deaths	hospitalized	ICU	recovered
2020-02-24T18:00:00	0	0	0	0	0
2020-02-25T18:00:00	0	0	0	0	0
2020-02-26T18:00:00	0	0	0	0	0
2020-02-27T18:00:00	0	0	0	0	0
2020-02-28T18:00:00	0	0	0	0	0
2020-02-29T17:00:00	0	0	0	0	0
2020-03-01T17:00:00	2	0	0	0	0
2020-03-02T18:00:00	2	0	0	0	0
2020-03-03T18:00:00	8	0	1	1	0
2020-03-04T17:00:00	9	0	1	1	0
2020-03-05T17:00:00	9	0	1	1	0
2020-03-06T17:00:00	16	0	2	2	0
2020-03-07T18:00:00	24	0	2	2	0
2020-03-08T18:00:00	26	0	2	2	0
2020-03-09T18:00:00	28	0	4	2	0
2020-03-10T18:00:00	37	0	8	2	0
2020-03-11T17:00:00	46	0	7	5	2
2020-03-12T17:00:00	64	0	8	8	2
2020-03-13T17:00:00	76	1	11	10	2
2020-03-14T17:00:00	107	1	21	11	3
2020-03-15T17:00:00	143	1	25	13	3
2020-03-16T17:00:00	164	1	30	15	4
2020-03-17T17:00:00	197	1	36	21	4
2020-03-18T17:00:00	247	2	54	21	4
2020-03-19T17:00:00	334	2	69	21	4
2020-03-20T17:00:00	395	7	75	24	4
2020-03-21T17:00:00	462	10	92	29	5
2020-03-22T17:00:00	521	16	97	35	5
2020-03-23T17:00:00	577	16	106	42	5
2020-03-24T17:00:00	648	19	105	43	5
2020-03-25T17:00:00	710	19	123	44	5
2020-03-26T17:00:00	802	20	144	46	12
2020-03-27T17:00:00	884	21	149	46	39
2020-03-28T17:00:00	969	28	159	44	43
2020-03-29T17:00:00	1023	31	166	46	95
