# Data source: https://covidtracking.com/api/states/daily
# Data provenance: The COVID Tracking Project
# License: Apache License 2.0
time	cases	deaths	hospitalized	ICU	recovered
2020-03-05	0				
2020-03-06	0				
2020-03-07	0				
2020-03-08	1				
2020-03-09	1				
2020-03-10	5				
2020-03-11	4				
2020-03-12	10				
2020-03-13	10				
2020-03-14	10				
2020-03-15	16				
2020-03-16	17				
2020-03-17	22				
2020-03-18	31				
2020-03-19	39	0			
2020-03-20	71	1			
2020-03-21	77	1			
2020-03-22	98	1			
2020-03-23	116	2			
2020-03-24	137	2			
2020-03-25	183	2			
2020-03-26	231	3			
2020-03-27	267	3			
2020-03-28	304	4			
