# Data source: https://covidtracking.com/api/states/daily
# Data provenance: The COVID Tracking Project
# License: Apache License 2.0
time	cases	deaths	hospitalized	ICU	recovered
2020-03-07	0				
2020-03-08	0				
2020-03-09	1				
2020-03-10	1				
2020-03-11	6				
2020-03-12	14				
2020-03-13	36				
2020-03-14	69				
2020-03-15	91	2			
2020-03-16	114	2			
2020-03-17	171	4			
2020-03-18	240	6			
2020-03-19	347	8			
2020-03-20	479	12			
2020-03-21	585	16			
2020-03-22	837	20			
2020-03-23	1172	34			
2020-03-24	1388	46			
2020-03-25	1795	65			
2020-03-26	2305	83			
2020-03-27	2746	119			
2020-03-28	3315	137			
