# Data source: https://brasil.io/api/dataset/covid19/caso/data
# Data provenance: https://brasil.io/dataset/covid19/caso
# License: Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)
time	cases	deaths	hospitalized	icu	recovered
2020-03-08	1	0			
2020-03-09	1	0			
2020-03-10	1	0			
2020-03-12	1	0			
2020-03-13	1	0			
2020-03-16	1	0			
2020-03-17	1	0			
2020-03-18	1	0			
2020-03-19	4	0			
2020-03-20	6	0			
2020-03-21	7	0			
2020-03-22	7	0			
2020-03-23	8	0			
2020-03-24	10	0			
2020-03-25	11	0			
2020-03-26	11	0			
2020-03-27	12	0			
2020-03-28	14	0			
2020-03-29	13	0			
2020-03-30	13	0			
2020-03-31	14	1			
2020-04-01	14	1			
2020-04-02	14	1			
2020-04-03	19	2			
2020-04-04	19	2			
2020-04-05	23	2			
2020-04-06	26	2			
2020-04-07	28	2			
2020-04-08	31	2			
2020-04-09	31	3			
2020-04-10	38	3			
2020-04-11	41	3			
2020-04-12	41	3			
2020-04-13	51	4			
2020-04-14	65	4			
2020-04-15	76	4			
2020-04-16	82	4			
2020-04-17	103	6			
2020-04-18	124	8			
2020-04-19	151	13			
2020-04-20	163	16			
2020-04-21	202	17			
2020-04-22	235	18			
2020-04-23	316	20			
2020-04-24	404	25			
2020-04-25	492	27			
2020-04-26	550	30			
2020-04-27	632	32			
2020-04-28	766	34			
2020-04-29	946	39			
2020-04-30	1034	45			
2020-05-01	1215	51			
2020-05-02	1360	56			
2020-05-03	1430	62			
2020-05-04	1527	70			
2020-05-05	1594	78			
2020-05-06	1692	87			
2020-05-07	1856	96			
2020-05-08	2022	106			
2020-05-09	2159	112			
2020-05-10	2245	123			
2020-05-11	2330	135			
2020-05-12	2563	147			
2020-05-13	2744	161			
2020-05-14	2955	174			
2020-05-15	3195	184			
2020-05-16	3576	196			
2020-05-17	3799	207			
2020-05-18	4007	218			
2020-05-19	4294	231			
2020-05-20	4412	248			
2020-05-21	4888	259			
2020-05-22	5273	277			
2020-05-23	5598	298			
2020-05-24	6181	313			
2020-05-25	6647	334			
2020-05-26	7020	349			
2020-05-27	7541	365			
2020-05-28	8017	382			
2020-05-29	8578	403			
2020-05-30	9173	421			
2020-05-31	10238	439			
2020-06-01	10786	457			
2020-06-02	11507	478			
2020-06-03	12354	502			
2020-06-04	13042	527			
2020-06-05	13883	553			
2020-06-06	14756	578			
2020-06-07	15640	596			
2020-06-08	16272	617			
2020-06-09	17125	635			
2020-06-10	18103	655			
2020-06-11	19125	676			
2020-06-12	19954	696			
2020-06-13	20807	718			
2020-06-14	22117	739			
2020-06-15	22844	763			
2020-06-16	23550	788			
2020-06-17	24783	806			
2020-06-18	25547	825			
2020-06-19	26819	842			
2020-06-20	27610	860			
2020-06-21	28566	878			
2020-06-22	29302	896			
2020-06-23	30152	913			
2020-06-24	31132	931			
2020-06-25	31967	951			
2020-06-26	32766	968			
2020-06-27	33423	986			
2020-06-28	34214	1005			
2020-06-29	35018	1025			
2020-06-30	35859	1045			
2020-07-01	36716	1065			
2020-07-02	37221	1084			
2020-07-03	38290	1106			
2020-07-04	39140	1127			
2020-07-05	39819	1146			
2020-07-06	40453	1165			
2020-07-07	41406	1185			
2020-07-08	42202	1206			
2020-07-09	43070	1223			
2020-07-10	43838	1239			
2020-07-11	44512	1257			
2020-07-12	45209	1274			
2020-07-13	46173	1290			
2020-07-14	46881	1307			
2020-07-15	47740	1324			
2020-07-16	48609	1341			
2020-07-17	49124	1358			
2020-07-18	49454	1374			
2020-07-19	49950	1390			
2020-07-20	50178	1406			
2020-07-21	50821	1421			
2020-07-22	51549	1436			
2020-07-23	52396	1450			
2020-07-24	53579	1464			
2020-07-25	54594	1479			
2020-07-26	55239	1493			
2020-07-27	56067	1507			
2020-07-28	57002	1520			
2020-07-29	57975	1533			
2020-07-30	58824	1546			
2020-07-31	59566	1559			
2020-08-01	60831	1573			
2020-08-02	62070	1586			
2020-08-03	62597	1599			
2020-08-04	63168	1613			
2020-08-05	64010	1625			
2020-08-06	64910	1635			
2020-08-07	65731	1646			
2020-08-08	66563	1657			
2020-08-09	67428	1669			
2020-08-10	68052	1680			
2020-08-11	68750	1692			
2020-08-12	69565	1703			
2020-08-13	70442	1713			
2020-08-14	71043	1724			
2020-08-15	71887	1734			
2020-08-16	72544	1745			
2020-08-17	72747	1755			
2020-08-18	73510	1766			
2020-08-19	73945	1776			
2020-08-20	74427	1785			
2020-08-21	74643	1794			
2020-08-22	75274	1802			
2020-08-23	75661	1810			
2020-08-24	76298	1819			
2020-08-25	76698	1828			
2020-08-26	77121	1836			
2020-08-27	77558	1845			
2020-08-28	77977	1853			
2020-08-29	78286	1862			
2020-08-30	78440	1870			
2020-08-31	78606	1879			
2020-09-01	79060	1887			
2020-09-02	79352	1894			
2020-09-03	79598	1902			
2020-09-04	79903	1909			
2020-09-05	80262	1916			
2020-09-06	80517	1922			
2020-09-07	80586	1928			
2020-09-08	80666	1935			
2020-09-09	80840	1941			
2020-09-10	81028	1949			
2020-09-11	81388	1957			
2020-09-12	82020	1964			
2020-09-13	82222	1971			
2020-09-14	82324	1977			
2020-09-15	82587	1983			
2020-09-16	82975	1988			
2020-09-17	83027	1994			
2020-09-18	83290	2000			
2020-09-19	83942	2006			
2020-09-20	84500	2011			
2020-09-21	84712	2016			
2020-09-22	85000	2021			
2020-09-23	85551	2026			
2020-09-24	85745	2032			
2020-09-25	85929	2038			
2020-09-26	86116	2044			
