# Data source: https://brasil.io/api/dataset/covid19/caso/data
# Data provenance: https://brasil.io/dataset/covid19/caso
# License: Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)
time	cases	deaths	hospitalized	icu	recovered
2020-03-20	1	0			
2020-03-21	1	0			
2020-03-22	1	0			
2020-03-23	1	0			
2020-03-24	1	0			
2020-03-25	2	0			
2020-03-26	2	0			
2020-03-27	3	0			
2020-03-28	4	0			
2020-03-29	8	0			
2020-03-30	8	0			
2020-03-31	10	0			
2020-04-01	11	0			
2020-04-02	12	0			
2020-04-03	19	0			
2020-04-04	29	1			
2020-04-05	32	1			
2020-04-06	39	2			
2020-04-07	51	2			
2020-04-08	107	2			
2020-04-09	110	2			
2020-04-10	166	2			
2020-04-11	193	5			
2020-04-12	237	5			
2020-04-13	244	6			
2020-04-14	308	7			
2020-04-15	342	7			
2020-04-16	362	10			
2020-04-17	375	10			
2020-04-18	400	10			
2020-04-19	416	11			
2020-04-20	435	13			
2020-04-21	466	13			
2020-04-22	492	14			
2020-04-23	555	16			
2020-04-24	648	18			
2020-04-25	689	20			
2020-04-26	821	23			
2020-04-27	842	26			
2020-04-28	918	28			
2020-04-29	1016	31			
2020-04-30	1080	34			
2020-05-01	1121	37			
2020-05-02	1187	40			
2020-05-03	1482	43			
2020-05-04	1733	49			
2020-05-05	1931	55			
2020-05-06	2046	56			
2020-05-07	2199	61			
2020-05-08	2322	66			
2020-05-09	2493	69			
2020-05-10	2613	72			
2020-05-11	2671	73			
2020-05-12	2910	86			
2020-05-13	3005	94			
2020-05-14	3428	101			
2020-05-15	3630	103			
2020-05-16	3834	108			
2020-05-17	3952	119			
2020-05-18	4023	127			
2020-05-19	4310	136			
2020-05-20	4549	142			
2020-05-21	5188	151			
2020-05-22	5655	157			
2020-05-23	6091	162			
2020-05-24	6353	163			
2020-05-25	6584	168			
2020-05-26	6967	173			
2020-05-27	7619	183			
2020-05-28	8152	198			
2020-05-29	8469	207			
2020-05-30	9313	215			
2020-05-31	9602	222			
2020-06-01	9890	228			
2020-06-02	10511	237			
2020-06-03	11107	247			
2020-06-04	11551	254			
2020-06-05	12327	260			
2020-06-06	12773	269			
2020-06-07	13045	272			
2020-06-08	13294	278			
2020-06-09	13771	285			
2020-06-10	14623	289			
2020-06-11	15166	303			
2020-06-12	15683	312			
2020-06-13	16322	319			
2020-06-14	16512	324			
2020-06-15	16813	329			
2020-06-16	18024	337			
2020-06-17	18618	338			
2020-06-18	19387	342			
2020-06-19	19922	348			
2020-06-20	21574	353			
2020-06-21	21840	359			
2020-06-22	24862	372			
2020-06-23	26437	380			
2020-06-24	26919	387			
2020-06-25	27415	394			
2020-06-26	27662	401			
2020-06-27	27901	406			
2020-06-28	27985	407			
2020-06-29	28253	413			
2020-06-30	28492	417			
2020-07-01	28927	420			
2020-07-02	29153	427			
2020-07-03	29574	438			
2020-07-04	29809	441			
2020-07-05	29883	442			
2020-07-06	30004	449			
2020-07-07	30294	455			
2020-07-08	30524	462			
2020-07-09	30763	467			
2020-07-10	31080	470			
2020-07-11	31279	473			
2020-07-12	31364	474			
2020-07-13	31552	478			
2020-07-14	31885	483			
2020-07-15	32408	488			
2020-07-16	33004	493			
2020-07-17	33436	499			
2020-07-18	33585	505			
2020-07-19	33705	507			
2020-07-20	34145	515			
2020-07-21	34405	533			
2020-07-22	34660	544			
2020-07-23	34838	548			
2020-07-24	35026	552			
2020-07-25	35162	554			
2020-07-26	35220	554			
2020-07-27	35364	556			
2020-07-28	35697	558			
2020-07-29	35973	559			
2020-07-30	36272	561			
2020-07-31	36468	565			
2020-08-01	36595	568			
2020-08-02	36639	571			
2020-08-03	36804	576			
2020-08-04	36999	581			
2020-08-05	37318	588			
2020-08-06	37735	594			
2020-08-07	37964	599			
2020-08-08	38139	601			
2020-08-09	38208	602			
2020-08-10	38399	603			
2020-08-11	38636	604			
2020-08-12	38801	606			
2020-08-13	39015	609			
2020-08-14	39244	612			
2020-08-15	39431	613			
2020-08-16	39518	613			
2020-08-17	39703	617			
2020-08-18	39957	619			
2020-08-19	40211	622			
2020-08-20	40603	626			
2020-08-21	40875	627			
2020-08-22	41031	630			
2020-08-23	41120	631			
2020-08-24	41254	637			
2020-08-25	41553	642			
2020-08-26	41981	647			
2020-08-27	42285	652			
2020-08-28	42625	657			
2020-08-29	42771	659			
2020-08-30	42892	660			
2020-08-31	43193	661			
2020-09-01	43514	663			
2020-09-02	43800	668			
2020-09-03	44064	669			
2020-09-04	44454	670			
2020-09-05	44682	671			
2020-09-06	44770	672			
2020-09-07	44863	673			
2020-09-08	44999	675			
2020-09-09	45251	675			
2020-09-10	45529	676			
2020-09-11	45665	677			
2020-09-12	45789	678			
2020-09-13	45853	678			
2020-09-14	45955	680			
2020-09-15	46117	682			
2020-09-16	46266	685			
2020-09-17	46372	688			
2020-09-18	46601	690			
2020-09-19	46738	691			
2020-09-20	46863	691			
2020-09-21	46946	693			
2020-09-22	47135	695			
2020-09-23	47364	697			
2020-09-24	47516	698			
2020-09-25	47657	699			
2020-09-26	47745	702			
2020-09-27	47795	702			
2020-09-28	47935	704			
2020-09-29	48054	705			
2020-09-30	48254	709			
2020-10-01	48385	712			
2020-10-02	48529	713			
2020-10-03	48602	715			
2020-10-04	48628	716			
2020-10-05	48701	718			
2020-10-06	48814	721			
2020-10-07	48963	722			
2020-10-08	49085	724			
2020-10-09	49215	725			
2020-10-10	49303	725			
2020-10-11	49386	725			
2020-10-12	49424	726			
2020-10-13	49593	727			
2020-10-14	49745	728			
2020-10-15	49890	729			
2020-10-16	50072	730			
2020-10-17	50150	731			
2020-10-18	50191	731			
2020-10-19	50263	734			
2020-10-20	50382	734			
2020-10-21	50594	736			
2020-10-22	50822	738			
2020-10-23	50968	740			
2020-10-24	51074	741			
2020-10-25	51127	741			
2020-10-26	51192	741			
2020-10-27	51427	743			
2020-10-28	51523	744			
2020-10-29	51875	746			
2020-10-30	52030	747			
2020-10-31	52175	748			
2020-11-01	52500	748			
2020-11-02	52653	749			
2020-11-03	52832	751			
2020-11-08	53010	751			
2020-11-09	53330	764			
2020-11-10	53574	766			
2020-11-11	53790	770			
2020-11-12	54056	771			
2020-11-13	54417	774			
2020-11-14	54838	777			
2020-11-15	54979	777			
2020-11-16	55156	780			
2020-11-17	55382	782			
2020-11-18	55652	783			
2020-11-19	55885	785			
2020-11-20	56085	787			
2020-11-21	56236	789			
2020-11-22	56548	789			
2020-11-23	56922	792			
2020-11-24	57343	795			
2020-11-25	57698	799			
2020-11-26	58043	802			
2020-11-27	58300	805			
2020-11-28	58835	806			
2020-11-29	58956	806			
2020-11-30	59131	807			
2020-12-01	59423	810			
2020-12-02	59850	814			
2020-12-03	60391	819			
2020-12-04	60751	823			
2020-12-05	61053	826			
2020-12-06	61177	826			
2020-12-07	61393	830			
2020-12-08	61607	833			
2020-12-09	61925	838			
2020-12-10	62221	841			
2020-12-11	62764	846			
2020-12-12	63042	849			
2020-12-13	63313	849			
2020-12-14	63601	854			
2020-12-15	63989	858			
2020-12-16	64303	861			
2020-12-17	64549	864			
2020-12-18	64752	870			
2020-12-19	65109	875			
2020-12-20	65215	875			
2020-12-21	65422	880			
2020-12-22	65712	885			
2020-12-23	65938	891			
2020-12-24	66132	897			
2020-12-25	66221	899			
2020-12-26	66293	901			
2020-12-27	66724	901			
2020-12-28	67149	907			
2020-12-29	67405	913			
2020-12-30	67702	919			
2020-12-31	68201	925			
2021-01-01	68361	926			
2021-01-02	68441	927			
2021-01-03	68568	927			
2021-01-04	68775	935			
2021-01-05	69096	943			
2021-01-06	69469	950			
2021-01-07	69874	956			
2021-01-08	70344	962			
2021-01-09	70676	969			
2021-01-10	70902	969			
2021-01-11	71287	976			
2021-01-12	71689	981			
2021-01-13	72049	987			
2021-01-14	72422	992			
2021-01-15	72824	995			
2021-01-16	73213	997			
2021-01-17	73417	997			
2021-01-18	73626	1006			
2021-01-19	74045	1011			
2021-01-20	74310	1017			
2021-01-21	74535	1020			
2021-01-22	74874	1023			
2021-01-23	75054	1026			
2021-01-24	75249	1026			
2021-01-25	75400	1033			
