# Data source: https://brasil.io/api/dataset/covid19/caso/data
# Data provenance: https://brasil.io/dataset/covid19/caso
# License: Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)
time	cases	deaths	hospitalized	icu	recovered
2020-03-13	2	0			
2020-03-18	2	0			
2020-03-19	3	0			
2020-03-20	7	0			
2020-03-21	11	0			
2020-03-22	26	0			
2020-03-23	32	0			
2020-03-24	47	1			
2020-03-25	54	1			
2020-03-26	67	1			
2020-03-27	81	1			
2020-03-28	111	1			
2020-03-29	140	1			
2020-03-30	151	2			
2020-03-31	175	3			
2020-04-01	200	3			
2020-04-02	229	3			
2020-04-03	260	7			
2020-04-04	311	12			
2020-04-05	417	15			
2020-04-06	532	19			
2020-04-07	636	23			
2020-04-08	804	30			
2020-04-09	899	40			
2020-04-10	981	50			
2020-04-11	1049	53			
2020-04-12	1206	62			
2020-04-13	1275	71			
2020-04-14	1484	90			
2020-04-15	1554	106			
2020-04-16	1719	124			
2020-04-17	1809	145			
2020-04-18	1897	161			
2020-04-19	2044	182			
2020-04-20	2160	185			
2020-04-21	2270	193			
2020-04-22	2479	206			
2020-04-23	2888	234			
2020-04-24	3194	255			
2020-04-25	3635	287			
2020-04-26	3833	304			
2020-04-27	3928	320			
2020-04-28	4337	351			
2020-04-29	4801	380			
2020-04-30	5254	425			
2020-05-01	5723	476			
2020-05-02	6062	501			
2020-05-03	6683	548			
2020-05-04	7313	585			
2020-05-05	8109	649			
2020-05-06	9243	751			
2020-05-07	10099	806			
2020-05-08	10727	874			
2020-05-09	11925	962			
2020-05-10	12599	1004			
2020-05-11	12919	1035			
2020-05-12	14168	1098			
2020-05-13	15816	1160			
2020-05-14	17181	1235			
2020-05-15	18392	1331			
2020-05-16	19677	1375			
2020-05-17	20328	1413			
2020-05-18	20913	1433			
2020-05-19	22132	1491			
2020-05-20	23704	1561			
2020-05-21	25367	1620			
2020-05-22	27038	1669			
2020-05-23	28802	1744			
2020-05-24	29867	1758			
2020-05-25	30282	1781			
2020-05-26	31949	1852			
2020-05-27	33508	1891			
2020-05-28	36146	1964			
2020-05-29	38909	2011			
2020-05-30	40560	2047			
2020-05-31	41378	2052			
2020-06-01	41774	2071			
2020-06-02	43195	2102			
2020-06-03	44347	2138			
2020-06-04	46473	2158			
2020-06-05	47666	2199			
2020-06-06	48785	2232			
2020-06-07	49269	2250			
2020-06-08	49817	2271			
2020-06-09	51234	2315			
2020-06-10	52849	2363			
2020-06-11	53989	2400			
2020-06-12	55111	2429			
2020-06-13	56026	2465			
2020-06-14	56506	2492			
2020-06-15	56777	2512			
2020-06-16	58018	2550			
2020-06-17	59547	2579			
2020-06-18	60336	2605			
2020-06-19	61341	2624			
2020-06-20	62579	2650			
2020-06-21	63090	2657			
2020-06-22	63425	2671			
2020-06-23	64808	2686			
2020-06-24	66506	2710			
2020-06-25	67267	2731			
2020-06-26	68220	2739			
2020-06-27	69022	2772			
2020-06-28	69649	2782			
2020-06-29	69893	2792			
2020-06-30	70823	2823			
2020-07-01	72284	2843			
2020-07-02	73530	2862			
2020-07-03	74537	2887			
2020-07-04	75502	2918			
2020-07-05	76014	2929			
2020-07-06	76427	2938			
2020-07-07	79167	2952			
2020-07-08	80082	2967			
2020-07-09	81318	2985			
2020-07-10	82507	3008			
2020-07-11	83230	3023			
2020-07-12	83526	3039			
2020-07-13	84412	3048			
2020-07-14	85800	3064			
2020-07-15	86944	3080			
2020-07-16	88025	3094			
2020-07-17	88822	3118			
2020-07-18	90534	3129			
2020-07-19	90913	3149			
2020-07-20	91389	3146			
2020-07-21	92164	3169			
2020-07-22	92721	3183			
2020-07-23	94219	3193			
2020-07-24	95424	3199			
2020-07-25	96094	3210			
2020-07-26	96463	3217			
2020-07-27	97079	3224			
2020-07-28	98118	3236			
2020-07-29	99093	3246			
2020-07-30	100140	3252			
2020-07-31	100940	3268			
2020-08-01	101777	3278			
2020-08-02	102124	3283			
2020-08-03	102386	3288			
2020-08-04	103269	3299			
2020-08-05	104250	3317			
2020-08-06	105054	3335			
2020-08-07	105857	3345			
2020-08-08	106428	3355			
2020-08-09	106950	3359			
