# Data source: https://brasil.io/api/dataset/covid19/caso/data
# Data provenance: https://brasil.io/dataset/covid19/caso
# License: Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)
time	cases	deaths	hospitalized	icu	recovered
2020-03-12	3	0			
2020-03-13	3	0			
2020-03-14	4	0			
2020-03-15	4	0			
2020-03-16	9	0			
2020-03-17	10	0			
2020-03-18	12	0			
2020-03-19	14	0			
2020-03-20	17	0			
2020-03-21	19	0			
2020-03-22	21	0			
2020-03-23	23	0			
2020-03-24	29	0			
2020-03-25	32	0			
2020-03-26	38	1			
2020-03-27	44	1			
2020-03-28	56	1			
2020-03-29	56	1			
2020-03-30	60	1			
2020-03-31	65	1			
2020-04-01	73	1			
2020-04-02	73	1			
2020-04-03	87	2			
2020-04-04	101	2			
2020-04-05	113	3			
2020-04-06	119	5			
2020-04-07	133	5			
2020-04-08	155	7			
2020-04-09	175	7			
2020-04-10	188	8			
2020-04-11	206	10			
2020-04-12	229	14			
2020-04-13	233	15			
2020-04-14	284	15			
2020-04-15	304	15			
2020-04-16	318	16			
2020-04-17	335	16			
2020-04-18	376	18			
2020-04-19	393	18			
2020-04-20	403	19			
2020-04-21	421	19			
2020-04-22	438	21			
2020-04-23	452	23			
2020-04-24	485	23			
2020-04-25	505	24			
2020-04-26	572	24			
2020-04-27	614	26			
2020-04-28	659	26			
2020-04-29	703	26			
2020-04-30	778	28			
2020-05-01	787	28			
2020-05-02	802	29			
2020-05-03	827	29			
2020-05-04	838	29			
2020-05-05	899	34			
2020-05-06	1024	45			
2020-05-07	1027	44			
2020-05-08	1053	49			
2020-05-09	1069	47			
2020-05-10	1093	47			
2020-05-11	1100	49			
2020-05-12	1115	52			
2020-05-13	1222	61			
2020-05-14	1457	67			
2020-05-15	1602	67			
2020-05-16	1649	69			
2020-05-17	1689	70			
2020-05-18	1777	73			
2020-05-19	1876	73			
2020-05-20	2044	78			
2020-05-21	2151	85			
2020-05-22	2340	95			
2020-05-23	2431	95			
2020-05-24	2484	95			
2020-05-25	2511	96			
2020-05-26	2702	104			
2020-05-27	2902	108			
2020-05-28	3097	115			
2020-05-29	3517	119			
2020-05-30	3605	124			
2020-05-31	3722	124			
2020-06-01	4013	127			
2020-06-02	4482	155			
2020-06-03	4695	159			
2020-06-04	5096	164			
2020-06-05	5601	167			
2020-06-06	5766	172			
2020-06-07	5853	173			
2020-06-08	6298	173			
2020-06-09	6932	184			
2020-06-10	7376	189			
2020-06-11	7770	194			
2020-06-12	7922	206			
2020-06-13	7937	211			
2020-06-14	7956	216			
2020-06-15	10437	238			
2020-06-16	11832	249			
2020-06-17	12772	255			
2020-06-18	13665	275			
2020-06-19	14540	289			
2020-06-20	15450	295			
2020-06-21	15904	306			
2020-06-22	17085	324			
2020-06-23	18014	355			
2020-06-24	19280	375			
2020-06-25	20377	384			
2020-06-26	21441	425			
2020-06-27	21865	434			
2020-06-28	22165	436			
2020-06-29	23379	467			
2020-06-30	24910	491			
2020-07-01	26145	521			
2020-07-02	26318	572			
2020-07-03	27502	602			
2020-07-04	28526	621			
2020-07-05	28526	621			
2020-07-06	30187	654			
2020-07-07	32001	726			
2020-07-08	33367	748			
2020-07-09	34627	795			
2020-07-10	35706	835			
2020-07-11	36273	847			
2020-07-12	36556	851			
2020-07-13	37333	880			
2020-07-14	38299	910			
2020-07-15	39474	959			
2020-07-16	40544	1018			
2020-07-17	40718	1051			
2020-07-18	40768	1086			
2020-07-19	40782	1106			
2020-07-20	41433	1145			
2020-07-21	45254	1178			
2020-07-22	48682	1237			
2020-07-23	51423	1295			
2020-07-24	54154	1353			
2020-07-25	55567	1380			
2020-07-26	56250	1395			
2020-07-27	59043	1457			
2020-07-28	61613	1501			
2020-07-29	64250	1554			
2020-07-30	66899	1606			
2020-07-31	69249	1677			
2020-08-01	69820	1691			
2020-08-02	70176	1701			
2020-08-03	70252	1716			
2020-08-04	75010	1817			
2020-08-05	78403	1888			
2020-08-06	81719	1924			
2020-08-07	84175	1974			
2020-08-08	84963	2017			
2020-08-09	85154	2020			
2020-08-10	88573	2072			
2020-08-11	91849	2122			
2020-08-12	95177	2182			
2020-08-13	98422	2238			
2020-08-14	100897	2286			
2020-08-15	101290	2314			
2020-08-16	101919	2330			
2020-08-17	104588	2378			
2020-08-18	107910	2464			
2020-08-19	110704	2516			
2020-08-20	111985	2625			
2020-08-21	114705	2688			
2020-08-22	116058	2735			
2020-08-23	116664	2743			
2020-08-24	120223	2804			
2020-08-25	123306	2862			
2020-08-26	126420	2933			
2020-08-27	128241	2987			
2020-08-28	130208	3044			
2020-08-29	130541	3066			
2020-08-30	130977	3089			
2020-08-31	133796	3159			
2020-09-01	136741	3242			
2020-09-02	140192	3323			
