# Data source: https://brasil.io/api/dataset/covid19/caso/data
# Data provenance: https://brasil.io/dataset/covid19/caso
# License: Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)
time	cases	deaths	hospitalized	icu	recovered
2020-03-12	1	0			
2020-03-13	1	0			
2020-03-16	1	0			
2020-03-18	1	0			
2020-03-20	6	0			
2020-03-21	9	0			
2020-03-22	13	0			
2020-03-24	14	0			
2020-03-25	14	0			
2020-03-26	19	0			
2020-03-27	28	0			
2020-03-28	68	1			
2020-03-30	77	1			
2020-03-31	82	1			
2020-04-01	92	2			
2020-04-02	106	2			
2020-04-03	176	4			
2020-04-04	215	6			
2020-04-05	246	7			
2020-04-07	254	8			
2020-04-08	261	11			
2020-04-10	263	11			
2020-04-11	289	13			
2020-04-12	339	17			
2020-04-13	376	18			
2020-04-14	399	19			
2020-04-15	400	20			
2020-04-16	463	23			
2020-04-17	516	24			
2020-04-18	561	26			
2020-04-19	595	27			
2020-04-20	608	28			
2020-04-21	646	29			
2020-04-22	708	34			
2020-04-23	754	38			
2020-04-24	781	40			
2020-04-25	825	44			
2020-04-26	832	45			
2020-04-27	857	48			
2020-04-28	1086	54			
2020-04-29	1177	56			
2020-04-30	1297	56			
2020-05-01	1366	59			
2020-05-02	1392	61			
2020-05-03	1421	62			
2020-05-04	1536	68			
2020-05-05	1644	72			
2020-05-06	1739	76			
2020-05-07	1821	81			
2020-05-08	1919	87			
2020-05-10	1930	87			
2020-05-11	2033	93			
2020-05-12	2367	105			
2020-05-13	2537	117			
2020-05-14	2786	122			
