# Data source: https://brasil.io/api/dataset/covid19/caso/data
# Data provenance: https://brasil.io/dataset/covid19/caso
# License: Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)
time	cases	deaths	hospitalized	icu	recovered
2020-03-20	1	0			
2020-03-21	3	0			
2020-03-22	3	0			
2020-03-24	5	0			
2020-03-25	5	0			
2020-03-26	6	0			
2020-03-27	6	0			
2020-03-28	6	0			
2020-03-29	6	0			
2020-03-30	8	1			
2020-03-31	9	1			
2020-04-01	9	1			
2020-04-02	10	1			
2020-04-03	10	1			
2020-04-04	11	1			
2020-04-05	14	1			
2020-04-06	18	1			
2020-04-07	23	1			
2020-04-08	26	1			
2020-04-09	28	2			
2020-04-10	32	2			
2020-04-11	34	2			
2020-04-12	42	2			
2020-04-14	69	2			
2020-04-15	73	2			
2020-04-16	92	3			
2020-04-17	110	3			
2020-04-18	128	4			
2020-04-19	160	4			
2020-04-20	199	4			
2020-04-21	223	5			
2020-04-23	250	5			
2020-04-24	290	5			
2020-04-25	328	6			
2020-04-26	364	9			
2020-04-27	393	9			
2020-04-28	413	10			
2020-04-29	433	14			
2020-04-30	498	15			
2020-05-01	585	18			
2020-05-02	654	23			
2020-05-03	705	24			
2020-05-04	756	25			
2020-05-05	861	29			
2020-05-06	943	33			
2020-05-07	1098	37			
2020-05-08	1222	39			
2020-05-09	1263	41			
2020-05-10	1302	43			
2020-05-11	1398	47			
2020-05-12	1460	50			
2020-05-13	1612	50			
2020-05-14	1686	56			
2020-05-15	1794	62			
2020-05-16	1918	69			
2020-05-17	1963	74			
2020-05-18	2043	83			
2020-05-19	2413	88			
2020-05-20	2499	90			
2020-05-22	2774	106			
2020-05-23	3109	115			
2020-05-24	3201	121			
2020-05-25	3268	121			
2020-05-26	3493	133			
2020-05-27	3862	137			
2020-05-28	4252	142			
2020-05-29	4502	145			
2020-05-30	4743	151			
2020-05-31	4942	156			
2020-06-02	5477	172			
2020-06-03	5714	180			
2020-06-04	6459	194			
2020-06-05	6862	213			
2020-06-06	7701	228			
2020-06-07	8110	235			
2020-06-08	8626	245			
2020-06-09	9220	255			
2020-06-10	9850	267			
2020-06-11	10547	293			
2020-06-12	11224	296			
2020-06-13	11632	309			
2020-06-14	11865	324			
2020-06-15	12180	332			
2020-06-16	13010	346			
2020-06-17	13567	361			
2020-06-18	13804	374			
2020-06-19	14353	391			
2020-06-20	14952	409			
2020-06-21	15181	417			
2020-06-22	15827	432			
2020-06-23	16499	444			
2020-06-24	17424	455			
2020-06-25	18173	467			
2020-06-26	19271	476			
2020-06-27	19735	481			
2020-06-28	19820	486			
2020-06-29	20406	499			
2020-06-30	21251	518			
2020-07-01	21523	523			
2020-07-02	21970	530			
2020-07-03	22241	533			
2020-07-04	22957	548			
2020-07-05	23479	555			
2020-07-06	23920	558			
2020-07-07	24563	577			
2020-07-08	25067	585			
2020-07-09	25402	589			
2020-07-10	26000	606			
2020-07-11	26496	617			
2020-07-12	26728	628			
2020-07-13	27050	647			
2020-07-14	27528	663			
2020-07-15	27917	667			
2020-07-16	28654	677			
2020-07-17	29117	686			
2020-07-20	29801	710			
2020-07-21	30642	727			
2020-07-22	32944	758			
2020-07-23	34080	784			
2020-07-24	34873	801			
2020-07-25	35573	810			
2020-07-26	35810	814			
2020-07-27	36148	830			
2020-07-28	36849	840			
2020-07-29	37634	855			
2020-07-30	38407	864			
2020-07-31	38992	872			
2020-08-01	39504	881			
2020-08-02	39893	884			
2020-08-03	40016	888			
2020-08-04	41239	898			
2020-08-05	42021	918			
2020-08-06	42725	923			
2020-08-07	43390	934			
2020-08-08	43866	940			
2020-08-09	44010	943			
2020-08-10	44372	944			
2020-08-11	45468	966			
2020-08-12	46061	981			
2020-08-13	46676	993			
2020-08-14	47288	1001			
2020-08-15	47652	1012			
2020-08-16	47837	1013			
2020-08-17	48232	1017			
2020-08-18	48923	1026			
2020-08-19	49721	1037			
2020-08-20	50147	1045			
2020-08-21	50514	1050			
2020-08-22	50995	1061			
2020-08-23	51421	1065			
2020-08-24	51791	1073			
2020-08-25	52514	1087			
2020-08-26	53119	1100			
2020-08-27	53805	1109			
2020-08-28	54205	1114			
2020-08-29	54496	1125			
2020-08-30	54679	1129			
2020-08-31	55153	1148			
2020-09-01	55768	1155			
2020-09-02	56411	1161			
2020-09-03	56618	1165			
2020-09-04	57352	1172			
2020-09-05	57865	1180			
2020-09-06	58066	1185			
2020-09-07	58237	1187			
2020-09-08	58559	1193			
2020-09-09	59196	1207			
2020-09-10	59620	1217			
2020-09-11	60038	1231			
2020-09-12	60362	1240			
2020-09-13	60484	1246			
2020-09-14	60746	1253			
2020-09-15	61260	1269			
2020-09-16	61619	1277			
2020-09-17	62158	1289			
2020-09-18	62495	1294			
2020-09-19	62697	1297			
2020-09-20	62863	1300			
2020-09-21	63267	1305			
2020-09-22	63781	1312			
2020-09-23	64306	1320			
2020-09-24	64481	1323			
2020-09-25	64732	1328			
2020-09-26	64923	1333			
2020-09-27	65208	1336			
2020-09-28	65386	1340			
2020-09-29	65673	1351			
2020-09-30	65911	1357			
2020-10-01	66261	1367			
2020-10-02	66473	1368			
2020-10-03	66576	1371			
2020-10-04	66623	1371			
2020-10-05	66783	1375			
2020-10-06	67014	1384			
2020-10-07	67181	1385			
2020-10-08	67323	1390			
2020-10-09	67479	1392			
2020-10-10	67812	1396			
2020-10-11	67940	1398			
2020-10-12	67973	1398			
2020-10-13	68126	1406			
2020-10-14	68393	1411			
2020-10-15	68612	1416			
2020-10-16	68823	1421			
2020-10-17	68907	1421			
2020-10-19	69213	1427			
2020-10-20	69332	1429			
2020-10-21	69531	1429			
2020-10-22	69806	1430			
2020-10-23	70041	1431			
2020-10-24	70350	1434			
2020-10-25	70461	1436			
2020-10-26	70600	1442			
2020-10-27	70887	1448			
2020-10-28	71121	1449			
2020-10-29	71351	1454			
2020-10-30	71496	1455			
2020-10-31	71666	1457			
2020-11-01	71889	1457			
2020-11-02	71953	1457			
2020-11-03	72049	1460			
2020-11-04	72295	1464			
2020-11-05	72630	1470			
2020-11-06	72827	1473			
2020-11-07	73040	1474			
2020-11-08	73311	1476			
2020-11-09	73490	1478			
2020-11-10	73688	1482			
2020-11-11	73990	1486			
2020-11-12	74248	1492			
2020-11-13	74598	1497			
2020-11-14	74981	1501			
2020-11-15	75182	1501			
2020-11-16	75468	1503			
2020-11-17	75652	1508			
2020-11-18	76019	1511			
2020-11-19	76377	1513			
2020-11-20	76729	1515			
2020-11-21	77064	1516			
2020-11-22	77348	1518			
2020-11-23	77615	1522			
2020-11-24	78189	1529			
2020-11-25	78470	1534			
2020-11-26	78788	1535			
2020-11-28	79765	1553			
2020-11-29	80055	1555			
2020-11-30	80538	1561			
2020-12-01	80802	1567			
2020-12-02	81322	1579			
2020-12-03	81733	1586			
2020-12-04	82064	1589			
2020-12-05	82408	1593			
2020-12-06	82909	1596			
2020-12-07	83392	1604			
2020-12-08	83959	1610			
2020-12-09	84405	1617			
2020-12-10	84919	1628			
2020-12-11	85252	1633			
2020-12-12	85410	1638			
2020-12-13	85854	1642			
2020-12-14	86118	1645			
2020-12-15	86909	1655			
2020-12-16	87397	1668			
2020-12-17	87863	1681			
2020-12-18	88410	1689			
2020-12-19	88822	1697			
2020-12-20	89047	1698			
2020-12-21	89633	1708			
2020-12-22	90835	1721			
2020-12-23	91574	1728			
2020-12-24	92099	1732			
2020-12-25	92381	1734			
2020-12-26	92587	1743			
2020-12-27	92775	1747			
2020-12-28	93667	1765			
2020-12-29	94354	1785			
2020-12-30	95035	1805			
2020-12-31	95729	1817			
2021-01-01	95999	1822			
2021-01-02	96433	1825			
2021-01-03	96906	1832			
2021-01-04	97197	1840			
2021-01-05	97854	1852			
2021-01-06	98811	1875			
2021-01-07	99595	1890			
2021-01-08	100343	1899			
2021-01-09	101024	1908			
2021-01-10	101588	1911			
2021-01-11	102518	1926			
2021-01-12	103798	1951			
2021-01-13	104737	1966			
2021-01-14	105952	1976			
2021-01-15	107332	1993			
2021-01-16	108173	1999			
2021-01-17	109056	2005			
2021-01-18	110331	2031			
2021-01-19	111372	2044			
2021-01-20	112468	2056			
2021-01-21	113778	2070			
2021-01-22	115200	2085			
2021-01-23	116133	2097			
2021-01-24	117101	2111			
2021-01-25	118097	2128			
2021-01-26	119336	2149			
2021-01-27	121005	2167			
