# Data source: https://brasil.io/api/dataset/covid19/caso/data
# Data provenance: https://brasil.io/dataset/covid19/caso
# License: Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)
time	cases	deaths	hospitalized	icu	recovered
2020-03-12	2	0			
2020-03-13	3	0			
2020-03-14	5	0			
2020-03-15	6	0			
2020-03-16	7	0			
2020-03-17	7	0			
2020-03-18	14	0			
2020-03-19	21	0			
2020-03-20	40	0			
2020-03-21	57	0			
2020-03-22	68	0			
2020-03-23	86	0			
2020-03-24	109	0			
2020-03-25	122	0			
2020-03-26	149	1			
2020-03-27	163	1			
2020-03-28	184	1			
2020-03-29	197	1			
2020-03-30	219	2			
2020-03-31	235	2			
2020-04-01	247	2			
2020-04-02	281	5			
2020-04-03	301	5			
2020-04-04	356	10			
2020-04-05	379	10			
2020-04-06	417	11			
2020-04-07	457	15			
2020-04-08	501	17			
2020-04-09	693	18			
2020-04-10	717	18			
2020-04-11	732	21			
2020-04-12	776	24			
2020-04-13	826	26			
2020-04-14	853	28			
2020-04-15	884	29			
2020-04-16	926	30			
2020-04-17	962	31			
2020-04-18	975	32			
2020-04-19	1025	35			
2020-04-20	1063	35			
2020-04-21	1091	37			
2020-04-22	1115	39			
2020-04-23	1170	42			
2020-04-24	1209	42			
2020-04-25	1235	42			
2020-04-26	1337	43			
2020-04-27	1476	44			
2020-04-28	1995	44			
2020-04-29	2085	46			
2020-04-30	2394	48			
2020-05-01	2104	50			
2020-05-02	2346	52			
2020-05-03	2519	52			
2020-05-04	2623	55			
2020-05-05	2795	58			
2020-05-06	2917	59			
2020-05-07	3082	63			
2020-05-08	3205	63			
2020-05-09	3372	64			
2020-05-10	3429	65			
2020-05-11	3529	69			
2020-05-12	3733	73			
2020-05-13	3828	73			
2020-05-14	4332	78			
2020-05-15	4562	79			
2020-05-16	4678	81			
