# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	0	0	0	0	0
2020-03-01	0	0	0	0	0
2020-03-02	0	0	0	0	0
2020-03-03	0	0	0	0	0
2020-03-04	1	0	0	0	0
2020-03-05	1	0	0	0	0
2020-03-06	1	0	0	0	0
2020-03-07	1	0	0	0	0
2020-03-08	1	0	0	0	0
2020-03-09	1	0	0	0	0
2020-03-10	1	0	0	0	0
2020-03-11	1	0	0	0	0
2020-03-12	1	0	0	0	0
2020-03-13	2	0	0	0	0
2020-03-14	2	0	0	0	0
2020-03-15	2	0	0	0	0
2020-03-16	2	0	0	0	0
2020-03-17	3	0	0	0	0
2020-03-18	5	0	0	0	0
2020-03-19	11	0	0	0	0
2020-03-20	13	0	0	0	0
2020-03-21	14	0	0	0	0
2020-03-22	14	0	0	0	0
2020-03-23	16	0	0	0	0
2020-03-24	17	0	0	0	0
2020-03-25	18	0	0	0	0
2020-03-26	18	0	0	0	0
2020-03-27	18	0	0	0	0
2020-03-28	19	0	0	0	0
2020-03-29	19	0	0	0	0
2020-03-30	19	0	0	0	0
2020-03-31	19	0	0	0	0
2020-04-01	20	0	0	0	0
2020-04-02	22	0	0	0	0
2020-04-03	22	0	0	0	0
2020-04-04	22	0	0	0	0
2020-04-05	23	0	0	0	0
2020-04-06	27	0	0	0	0
2020-04-07	27	0	0	1	0
2020-04-08	27	0	0	1	0
2020-04-09	28	0	0	1	0
2020-04-10	28	0	0	1	0
2020-04-11	29	0	0	1	0
2020-04-12	30	0	1	1	0
2020-04-13	30	0	1	0	0
2020-04-14	30	0	1	0	0
2020-04-15	30	1	0	0	0
2020-04-16	32	2	0	0	0
2020-04-17	32	2	0	0	0
2020-04-18	32	2	0	0	0
2020-04-19	33	2	0	0	0
2020-04-20	34	2	0	0	0
2020-04-21	37	2	0	0	0
2020-04-22	39	2	0	0	0
2020-04-23	41	2	0	0	0
2020-04-24	41	2	0	0	0
2020-04-25	41	2	0	1	0
2020-04-26	41	2	0	0	0
2020-04-27	41	2	0	0	0
2020-04-28	41	3	0	0	0
2020-04-29	42	3	0	0	0
2020-04-30	43	3	0	0	0
2020-05-01	44	3	0	0	0
2020-05-02	45	4	0	1	0
2020-05-03	46	4	0	2	0
2020-05-04	50	4	0	2	0
2020-05-05	51	4	0	2	0
2020-05-06	52	4	0	2	0
2020-05-07	53	4	0	2	0
2020-05-08	54	4	0	2	0
2020-05-09	55	4	0	2	0
2020-05-10	59	4	1	3	0
2020-05-11	62	4	2	2	0
2020-05-12	62	4	2	1	0
2020-05-13	63	4	4	1	0
2020-05-14	66	4	2	1	0
2020-05-15	71	5	1	1	0
2020-05-16	72	5	0	1	0
2020-05-17	76	5	0	2	0
2020-05-18	78	5	0	2	0
2020-05-19	80	5	0	2	0
2020-05-20	86	6	0	2	0
2020-05-21	92	6	0	0	0
2020-05-22	95	6	0	0	0
2020-05-23	96	6	1	0	0
2020-05-24	97	6	1	0	0
2020-05-25	102	6	1	0	0
2020-05-26	103	6	1	1	0
2020-05-27	108	6	1	2	0
2020-05-28	109	7	1	3	0
2020-05-29	110	7	0	4	0
2020-05-30	113	7	0	4	0
2020-05-31	114	7	0	4	0
2020-06-01	126	7	0	4	0
2020-06-02	132	8	1	5	0
2020-06-03	140	8	2	6	0
2020-06-04	146	8	2	4	0
2020-06-05	151	8	2	4	0
2020-06-06	156	8	1	4	0
2020-06-07	166	8	1	4	0
2020-06-08	172	8	1	4	0
2020-06-09	184	8	2	6	0
2020-06-10	200	8	3	6	0
2020-06-11	207	10	4	6	0
2020-06-12	222	10	2	8	0
2020-06-13	233	10	6	8	0
2020-06-14	258	10	7	5	0
2020-06-15	276	10	7	5	0
2020-06-16	284	11	7	7	0
2020-06-17	295	11	9	9	0
2020-06-18	311	11	6	11	0
2020-06-19	326	11	9	10	0
2020-06-20	342	12	7	12	0
2020-06-21	354	12	3	13	0
2020-06-22	373	12	9	13	0
2020-06-23	392	13	11	13	0
2020-06-24	406	14	13	13	0
2020-06-25	416	17	17	12	0
2020-06-26	425	18	16	13	0
2020-06-27	431	18	14	14	0
2020-06-28	446	19	15	13	0
2020-06-29	454	21	15	14	0
2020-06-30	458	21	14	16	0
2020-07-01	467	21	13	17	0
2020-07-02	469	21	13	15	0
2020-07-03	470	22	12	13	0
2020-07-04	470	23	10	15	0
2020-07-05	471	24	12	14	0
2020-07-06	471	27	8	13	0
2020-07-07	471	27	9	13	0
2020-07-08	471	27	12	13	0
