# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	1	0	0	0	0
2020-03-01	1	0	0	0	0
2020-03-02	1	0	0	0	0
2020-03-03	1	0	0	0	0
2020-03-04	1	0	0	0	0
2020-03-05	1	0	0	0	0
2020-03-06	1	0	0	0	0
2020-03-07	2	0	0	0	0
2020-03-08	2	0	0	0	0
2020-03-09	3	0	0	0	0
2020-03-10	3	0	0	0	0
2020-03-11	5	0	0	0	0
2020-03-12	6	0	0	0	0
2020-03-13	8	0	0	0	0
2020-03-14	10	0	0	0	0
2020-03-15	15	0	0	0	0
2020-03-16	18	0	0	0	0
2020-03-17	24	0	0	0	0
2020-03-18	25	0	0	0	0
2020-03-19	28	0	0	0	0
2020-03-20	31	0	0	0	0
2020-03-21	33	0	0	0	0
2020-03-22	37	0	0	0	0
2020-03-23	44	0	0	0	0
2020-03-24	46	0	0	0	0
2020-03-25	54	0	0	0	0
2020-03-26	58	0	0	0	0
2020-03-27	59	0	0	0	0
2020-03-28	61	0	0	0	0
2020-03-29	65	0	0	0	0
2020-03-30	68	0	0	0	0
2020-03-31	70	0	0	0	0
2020-04-01	73	0	0	0	0
2020-04-02	74	0	0	0	0
2020-04-03	77	0	0	0	0
2020-04-04	80	0	0	0	0
2020-04-05	81	0	0	0	0
2020-04-06	82	0	0	0	0
2020-04-07	84	0	0	0	0
2020-04-08	85	0	0	0	0
2020-04-09	86	0	1	0	0
2020-04-10	92	0	1	0	0
2020-04-11	96	1	1	0	0
2020-04-12	99	1	1	0	0
2020-04-13	104	1	1	3	0
2020-04-14	109	1	1	4	0
2020-04-15	115	1	2	3	0
2020-04-16	122	1	5	6	0
2020-04-17	129	1	3	6	0
2020-04-18	137	1	4	5	0
2020-04-19	152	1	4	5	0
2020-04-20	171	1	3	4	0
2020-04-21	181	1	8	6	0
2020-04-22	196	1	7	5	0
2020-04-23	211	1	10	7	0
2020-04-24	230	2	7	7	0
2020-04-25	249	2	7	7	0
2020-04-26	269	3	7	6	0
2020-04-27	283	3	11	8	0
2020-04-28	299	5	13	9	0
2020-04-29	319	5	14	11	0
2020-04-30	330	5	25	14	0
2020-05-01	365	5	19	16	0
2020-05-02	384	6	23	17	0
2020-05-03	405	7	23	19	0
2020-05-04	430	9	25	16	0
2020-05-05	446	13	30	17	0
2020-05-06	475	15	28	16	0
2020-05-07	494	15	36	19	0
2020-05-08	509	17	29	22	0
2020-05-09	525	19	39	20	0
2020-05-10	542	20	36	22	0
2020-05-11	569	20	37	22	0
2020-05-12	585	21	37	24	0
2020-05-13	612	21	32	24	0
2020-05-14	633	21	31	23	0
2020-05-15	666	21	30	21	0
2020-05-16	686	21	32	19	0
2020-05-17	704	22	36	18	0
2020-05-18	738	22	33	19	0
2020-05-19	757	23	34	17	0
2020-05-20	786	25	39	19	0
2020-05-21	811	25	50	16	0
2020-05-22	831	25	48	18	0
2020-05-23	848	27	49	17	0
2020-05-24	872	29	35	21	0
2020-05-25	916	30	33	19	0
2020-05-26	944	31	34	21	0
2020-05-27	962	32	30	18	0
2020-05-28	985	32	37	20	0
2020-05-29	1000	33	34	24	0
2020-05-30	1022	36	29	29	0
2020-05-31	1065	38	29	27	0
2020-06-01	1091	38	27	28	0
2020-06-02	1112	41	28	31	0
2020-06-03	1136	43	23	31	0
2020-06-04	1165	44	32	30	0
2020-06-05	1200	44	24	31	0
2020-06-06	1230	46	27	34	0
2020-06-07	1256	48	28	37	0
2020-06-08	1288	51	27	34	0
2020-06-09	1319	52	37	41	0
2020-06-10	1365	53	39	40	0
2020-06-11	1397	53	35	45	0
2020-06-12	1441	54	26	44	0
2020-06-13	1468	57	42	45	0
2020-06-14	1504	57	43	41	0
2020-06-15	1569	58	40	40	0
2020-06-16	1629	58	44	35	0
2020-06-17	1684	59	50	34	0
2020-06-18	1740	59	51	38	0
2020-06-19	1795	61	47	39	0
2020-06-20	1875	63	46	37	0
2020-06-21	1919	67	42	37	0
2020-06-22	1990	70	42	33	0
2020-06-23	2038	73	49	37	0
2020-06-24	2093	74	50	36	0
2020-06-25	2138	78	57	40	0
2020-06-26	2190	78	63	39	0
2020-06-27	2216	79	58	40	0
2020-06-28	2245	80	55	40	0
2020-06-29	2274	81	51	43	0
2020-06-30	2310	84	49	51	0
2020-07-01	2339	86	48	57	0
2020-07-02	2353	90	59	59	0
2020-07-03	2366	90	63	60	0
2020-07-04	2378	90	65	61	0
2020-07-05	2381	92	58	66	0
2020-07-06	2382	97	67	69	0
2020-07-07	2382	98	55	69	0
2020-07-08	2382	99	62	72	0
