# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	2	0	0	0	0
2020-03-01	4	0	0	0	0
2020-03-02	5	0	0	0	0
2020-03-03	6	0	0	0	0
2020-03-04	7	0	0	0	0
2020-03-05	9	0	0	0	0
2020-03-06	10	0	0	0	0
2020-03-07	12	0	0	0	0
2020-03-08	16	0	0	0	0
2020-03-09	19	0	0	0	0
2020-03-10	29	0	0	0	0
2020-03-11	38	0	0	0	0
2020-03-12	47	0	0	0	0
2020-03-13	62	0	0	0	0
2020-03-14	80	0	0	0	0
2020-03-15	122	0	0	0	0
2020-03-16	174	0	0	0	0
2020-03-17	203	0	0	0	0
2020-03-18	233	0	0	0	0
2020-03-19	271	0	0	0	0
2020-03-20	307	0	0	0	0
2020-03-21	334	0	0	0	0
2020-03-22	351	0	0	0	0
2020-03-23	384	0	0	0	0
2020-03-24	407	1	0	0	0
2020-03-25	443	1	0	0	0
2020-03-26	492	2	0	0	0
2020-03-27	516	2	0	0	0
2020-03-28	541	3	0	0	0
2020-03-29	574	3	0	0	0
2020-03-30	602	4	0	0	0
2020-03-31	628	4	0	0	0
2020-04-01	664	5	0	0	0
2020-04-02	687	6	0	0	0
2020-04-03	724	6	0	0	0
2020-04-04	745	7	0	0	0
2020-04-05	760	7	0	0	0
2020-04-06	788	8	0	0	0
2020-04-07	814	9	1	2	0
2020-04-08	839	11	7	5	0
2020-04-09	875	14	9	11	0
2020-04-10	924	16	9	12	0
2020-04-11	970	17	18	22	0
2020-04-12	1007	18	20	21	0
2020-04-13	1054	20	20	22	0
2020-04-14	1101	20	33	58	0
2020-04-15	1147	22	41	65	0
2020-04-16	1195	24	41	68	0
2020-04-17	1257	24	37	69	0
2020-04-18	1306	25	29	73	0
2020-04-19	1359	27	29	70	0
2020-04-20	1476	27	34	56	0
2020-04-21	1543	28	63	68	0
2020-04-22	1628	31	55	60	0
2020-04-23	1708	33	79	70	0
2020-04-24	1808	35	68	75	0
2020-04-25	1887	37	79	79	0
2020-04-26	1963	46	91	79	0
2020-04-27	2043	48	101	79	0
2020-04-28	2118	53	108	84	0
2020-04-29	2207	56	110	89	0
2020-04-30	2276	62	130	91	0
2020-05-01	2389	64	132	91	0
2020-05-02	2461	71	160	98	0
2020-05-03	2542	75	125	102	0
2020-05-04	2655	81	159	99	0
2020-05-05	2740	90	154	93	0
2020-05-06	2840	92	165	99	0
2020-05-07	2970	93	174	115	0
2020-05-08	3056	101	141	126	0
2020-05-09	3142	106	171	119	0
2020-05-10	3243	107	169	133	0
2020-05-11	3359	113	152	126	0
2020-05-12	3464	117	149	127	0
2020-05-13	3574	124	145	128	0
2020-05-14	3723	131	166	117	0
2020-05-15	3882	139	172	129	0
2020-05-16	3989	144	161	128	0
2020-05-17	4110	151	196	127	0
2020-05-18	4275	157	158	132	0
2020-05-19	4406	164	168	123	0
2020-05-20	4572	170	177	118	0
2020-05-21	4688	176	211	117	0
2020-05-22	4833	180	206	125	0
2020-05-23	4944	186	202	125	0
2020-05-24	5066	198	196	129	0
2020-05-25	5258	206	190	123	0
2020-05-26	5386	210	203	127	0
2020-05-27	5502	213	209	137	0
2020-05-28	5647	218	204	143	0
2020-05-29	5777	223	207	153	0
2020-05-30	5932	233	204	165	0
2020-05-31	6106	243	208	170	0
2020-06-01	6389	251	209	159	0
2020-06-02	6576	263	229	165	0
2020-06-03	6817	272	214	162	0
2020-06-04	7082	279	224	161	0
2020-06-05	7356	288	224	171	0
2020-06-06	7608	295	213	175	0
2020-06-07	7813	300	222	181	0
2020-06-08	8085	311	210	193	0
2020-06-09	8370	322	231	204	0
2020-06-10	8747	335	258	218	0
2020-06-11	9002	344	249	230	0
2020-06-12	9336	355	254	232	0
2020-06-13	9612	371	304	241	0
2020-06-14	9933	373	300	235	0
2020-06-15	10370	385	308	240	0
2020-06-16	10703	400	312	230	0
2020-06-17	11110	415	366	236	0
2020-06-18	11462	432	365	247	0
2020-06-19	11821	447	386	255	0
2020-06-20	12185	462	415	259	0
2020-06-21	12478	478	418	259	0
2020-06-22	12800	501	458	271	0
2020-06-23	13001	519	454	274	0
2020-06-24	13158	536	471	285	0
2020-06-25	13273	553	478	307	0
2020-06-26	13344	568	520	317	0
2020-06-27	13372	580	537	327	0
2020-06-28	13387	605	526	340	0
2020-06-29	13405	626	552	356	0
2020-06-30	13412	645	498	365	0
2020-07-01	13413	659	527	386	0
2020-07-02	13413	663	0	0	0
