# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	0	0	0	0	0
2020-03-01	0	0	0	0	0
2020-03-02	0	0	0	0	0
2020-03-03	0	0	0	0	0
2020-03-04	0	0	0	0	0
2020-03-05	0	0	0	0	0
2020-03-06	0	0	0	0	0
2020-03-07	0	0	0	0	0
2020-03-08	0	0	0	0	0
2020-03-09	0	0	0	0	0
2020-03-10	1	0	0	0	0
2020-03-11	1	0	0	0	0
2020-03-12	2	0	0	0	0
2020-03-13	3	0	0	0	0
2020-03-14	4	0	0	0	0
2020-03-15	5	0	0	0	0
2020-03-16	6	0	0	0	0
2020-03-17	6	0	0	0	0
2020-03-18	7	0	0	0	0
2020-03-19	8	0	0	0	0
2020-03-20	9	0	0	0	0
2020-03-21	10	0	0	0	0
2020-03-22	12	0	0	0	0
2020-03-23	14	0	0	0	0
2020-03-24	15	0	0	0	0
2020-03-25	16	0	0	0	0
2020-03-26	21	0	0	0	0
2020-03-27	27	0	0	0	0
2020-03-28	29	0	0	0	0
2020-03-29	30	0	0	0	0
2020-03-30	34	0	0	0	0
2020-03-31	35	0	0	0	0
2020-04-01	37	0	0	0	0
2020-04-02	37	0	0	0	0
2020-04-03	46	0	0	0	0
2020-04-04	48	0	0	0	0
2020-04-05	49	0	0	0	0
2020-04-06	53	0	0	0	0
2020-04-07	59	0	0	0	0
2020-04-08	65	1	0	0	0
2020-04-09	74	3	1	2	0
2020-04-10	92	3	4	3	0
2020-04-11	106	3	4	4	0
2020-04-12	120	3	4	4	0
2020-04-13	139	4	6	4	0
2020-04-14	148	4	8	3	0
2020-04-15	166	5	14	5	0
2020-04-16	179	5	7	7	0
2020-04-17	206	5	7	8	0
2020-04-18	221	6	7	10	0
2020-04-19	234	7	8	10	0
2020-04-20	271	7	9	7	0
2020-04-21	296	7	14	6	0
2020-04-22	323	9	12	7	0
2020-04-23	347	9	24	9	0
2020-04-24	377	9	20	9	0
2020-04-25	399	10	25	10	0
2020-04-26	413	13	36	12	0
2020-04-27	432	14	33	10	0
2020-04-28	450	16	35	8	0
2020-04-29	469	16	33	8	0
2020-04-30	483	18	35	13	0
2020-05-01	498	19	38	15	0
2020-05-02	509	21	38	14	0
2020-05-03	521	22	32	16	0
2020-05-04	539	24	35	14	0
2020-05-05	545	24	34	15	0
2020-05-06	560	24	39	17	0
2020-05-07	572	25	37	20	0
2020-05-08	584	26	35	24	0
2020-05-09	595	27	45	17	0
2020-05-10	608	27	44	20	0
2020-05-11	616	29	43	16	0
2020-05-12	628	30	38	16	0
2020-05-13	640	31	29	20	0
2020-05-14	657	32	31	15	0
2020-05-15	673	33	34	19	0
2020-05-16	682	33	27	19	0
2020-05-17	700	35	32	20	0
2020-05-18	721	36	31	20	0
2020-05-19	737	38	25	15	0
2020-05-20	754	38	27	16	0
2020-05-21	768	40	27	16	0
2020-05-22	793	43	26	17	0
2020-05-23	804	44	22	18	0
2020-05-24	814	45	15	20	0
2020-05-25	834	45	18	19	0
2020-05-26	849	45	20	19	0
2020-05-27	857	45	26	21	0
2020-05-28	873	46	22	21	0
2020-05-29	878	47	26	22	0
2020-05-30	895	48	27	21	0
2020-05-31	906	49	27	23	0
2020-06-01	923	49	24	25	0
2020-06-02	937	50	33	24	0
2020-06-03	954	51	25	21	0
2020-06-04	976	52	26	20	0
2020-06-05	1002	52	26	21	0
2020-06-06	1022	52	24	22	0
2020-06-07	1043	52	22	20	0
2020-06-08	1070	52	18	20	0
2020-06-09	1086	52	25	20	0
2020-06-10	1112	53	26	23	0
2020-06-11	1139	54	21	29	0
2020-06-12	1165	55	25	28	0
2020-06-13	1192	56	29	28	0
2020-06-14	1225	56	26	26	0
2020-06-15	1267	58	39	30	0
2020-06-16	1308	60	30	27	0
2020-06-17	1342	61	38	27	0
2020-06-18	1372	63	36	24	0
2020-06-19	1417	64	45	28	0
2020-06-20	1458	65	45	25	0
2020-06-21	1496	66	47	25	0
2020-06-22	1539	69	44	28	0
2020-06-23	1567	71	35	28	0
2020-06-24	1585	72	41	27	0
2020-06-25	1595	72	40	29	0
2020-06-26	1599	73	49	29	0
2020-06-27	1602	74	49	29	0
2020-06-28	1602	77	53	28	0
2020-06-29	1602	79	50	28	0
2020-06-30	1602	80	42	25	0
2020-07-01	1602	82	50	30	0
2020-07-02	1602	82	0	0	0
