# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	1	0	0	0	0
2020-03-01	1	0	0	0	0
2020-03-02	1	0	0	0	0
2020-03-03	1	0	0	0	0
2020-03-04	1	0	0	0	0
2020-03-05	1	0	0	0	0
2020-03-06	1	0	0	0	0
2020-03-07	1	0	0	0	0
2020-03-08	1	0	0	0	0
2020-03-09	1	0	0	0	0
2020-03-10	1	0	0	0	0
2020-03-11	1	0	0	0	0
2020-03-12	1	0	0	0	0
2020-03-13	1	0	0	0	0
2020-03-14	1	0	0	0	0
2020-03-15	1	0	0	0	0
2020-03-16	1	0	0	0	0
2020-03-17	1	0	0	0	0
2020-03-18	1	0	0	0	0
2020-03-19	1	0	0	0	0
2020-03-20	1	0	0	0	0
2020-03-21	1	0	0	0	0
2020-03-22	1	0	0	0	0
2020-03-23	1	0	0	0	0
2020-03-24	1	0	0	0	0
2020-03-25	1	0	0	0	0
2020-03-26	1	0	0	0	0
2020-03-27	2	0	0	0	0
2020-03-28	2	0	0	0	0
2020-03-29	2	0	0	0	0
2020-03-30	2	0	0	0	0
2020-03-31	2	0	0	0	0
2020-04-01	2	0	0	0	0
2020-04-02	2	0	0	0	0
2020-04-03	3	0	0	0	0
2020-04-04	3	0	0	0	0
2020-04-05	3	0	0	0	0
2020-04-06	3	0	0	0	0
2020-04-07	3	0	0	0	0
2020-04-08	4	0	0	0	0
2020-04-09	4	0	0	0	0
2020-04-10	5	0	0	0	0
2020-04-11	6	0	0	0	0
2020-04-12	7	0	0	0	0
2020-04-13	7	0	0	0	0
2020-04-14	8	0	0	0	0
2020-04-15	8	0	1	0	0
2020-04-16	8	0	1	0	0
2020-04-17	8	0	1	0	0
2020-04-18	8	0	1	0	0
2020-04-19	8	0	1	0	0
2020-04-20	11	0	2	0	0
2020-04-21	13	0	1	0	0
2020-04-22	15	0	1	0	0
2020-04-23	15	0	1	0	0
2020-04-24	17	0	1	0	0
2020-04-25	17	0	2	0	0
2020-04-26	18	0	3	1	0
2020-04-27	19	0	3	1	0
2020-04-28	19	0	3	1	0
2020-04-29	19	0	3	1	0
2020-04-30	19	0	3	1	0
2020-05-01	20	0	3	1	0
2020-05-02	22	0	3	1	0
2020-05-03	22	0	3	1	0
2020-05-04	25	0	4	1	0
2020-05-05	25	0	3	1	0
2020-05-06	28	0	3	1	0
2020-05-07	29	0	4	1	0
2020-05-08	29	0	4	2	0
2020-05-09	31	0	4	2	0
2020-05-10	36	0	2	2	0
2020-05-11	38	1	2	2	0
2020-05-12	41	1	1	2	0
2020-05-13	45	2	1	1	0
2020-05-14	48	2	1	1	0
2020-05-15	49	2	4	1	0
2020-05-16	49	3	4	1	0
2020-05-17	55	3	3	1	0
2020-05-18	62	3	2	1	0
2020-05-19	70	3	1	1	0
2020-05-20	78	3	4	1	0
2020-05-21	82	3	3	1	0
2020-05-22	85	3	4	1	0
2020-05-23	91	3	2	1	0
2020-05-24	101	3	2	1	0
2020-05-25	104	3	1	1	0
2020-05-26	109	3	0	1	0
2020-05-27	113	3	0	1	0
2020-05-28	118	3	1	1	0
2020-05-29	125	3	2	1	0
2020-05-30	131	3	4	1	0
2020-05-31	135	3	2	1	0
2020-06-01	150	3	2	1	0
2020-06-02	156	3	2	2	0
2020-06-03	164	3	2	2	0
2020-06-04	171	5	3	3	0
2020-06-05	184	6	1	4	0
2020-06-06	195	6	2	3	0
2020-06-07	200	6	2	3	0
2020-06-08	208	6	2	2	0
2020-06-09	222	6	3	5	0
2020-06-10	236	6	1	4	0
2020-06-11	250	7	2	4	0
2020-06-12	276	8	0	4	0
2020-06-13	298	11	5	4	0
2020-06-14	318	11	2	4	0
2020-06-15	336	13	2	4	0
2020-06-16	362	14	2	3	0
2020-06-17	383	15	7	2	0
2020-06-18	404	15	6	2	0
2020-06-19	426	15	5	2	0
2020-06-20	443	15	7	2	0
2020-06-21	466	16	8	2	0
2020-06-22	489	16	13	2	0
2020-06-23	504	17	7	2	0
2020-06-24	520	17	8	1	0
2020-06-25	540	17	9	1	0
2020-06-26	554	17	14	2	0
2020-06-27	559	17	10	3	0
2020-06-28	569	17	12	4	0
2020-06-29	582	18	12	4	0
2020-06-30	587	20	8	6	0
2020-07-01	589	21	12	5	0
2020-07-02	590	22	10	8	0
2020-07-03	590	25	10	7	0
2020-07-04	590	25	8	8	0
2020-07-05	590	27	9	7	0
2020-07-06	590	27	4	7	0
2020-07-07	590	27	0	0	0
