# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	0	0	0	0	0
2020-03-01	0	0	0	0	0
2020-03-02	0	0	0	0	0
2020-03-03	0	0	0	0	0
2020-03-04	0	0	0	0	0
2020-03-05	1	0	0	0	0
2020-03-06	1	0	0	0	0
2020-03-07	1	0	0	0	0
2020-03-08	1	0	0	0	0
2020-03-09	1	0	0	0	0
2020-03-10	2	0	0	0	0
2020-03-11	3	0	0	0	0
2020-03-12	3	0	0	0	0
2020-03-13	3	0	0	0	0
2020-03-14	6	0	0	0	0
2020-03-15	7	0	0	0	0
2020-03-16	13	0	0	0	0
2020-03-17	18	0	0	0	0
2020-03-18	22	0	0	0	0
2020-03-19	25	0	0	0	0
2020-03-20	28	0	0	0	0
2020-03-21	30	0	0	0	0
2020-03-22	32	0	0	0	0
2020-03-23	34	0	0	0	0
2020-03-24	35	0	0	0	0
2020-03-25	35	0	0	0	0
2020-03-26	44	0	0	0	0
2020-03-27	45	0	0	0	0
2020-03-28	46	0	0	0	0
2020-03-29	46	0	0	0	0
2020-03-30	47	0	0	0	0
2020-03-31	49	0	0	0	0
2020-04-01	50	0	0	0	0
2020-04-02	52	0	0	0	0
2020-04-03	53	0	0	0	0
2020-04-04	54	0	0	0	0
2020-04-05	55	0	0	0	0
2020-04-06	55	0	0	0	0
2020-04-07	57	0	0	0	0
2020-04-08	58	0	0	0	0
2020-04-09	58	0	0	1	0
2020-04-10	58	0	0	1	0
2020-04-11	58	0	0	2	0
2020-04-12	59	0	0	2	0
2020-04-13	60	0	0	3	0
2020-04-14	62	0	0	3	0
2020-04-15	62	0	1	3	0
2020-04-16	62	0	1	3	0
2020-04-17	63	0	1	2	0
2020-04-18	63	0	1	2	0
2020-04-19	63	0	1	2	0
2020-04-20	63	0	1	2	0
2020-04-21	64	0	1	2	0
2020-04-22	64	0	2	1	0
2020-04-23	64	0	1	1	0
2020-04-24	65	0	1	2	0
2020-04-25	67	0	1	2	0
2020-04-26	68	1	0	2	0
2020-04-27	71	1	2	2	0
2020-04-28	71	1	3	1	0
2020-04-29	71	1	2	1	0
2020-04-30	73	2	1	0	0
2020-05-01	75	2	1	0	0
2020-05-02	77	2	1	0	0
2020-05-03	79	2	0	0	0
2020-05-04	83	2	5	0	0
2020-05-05	85	2	0	0	0
2020-05-06	88	2	0	0	0
2020-05-07	93	2	0	0	0
2020-05-08	96	2	0	0	0
2020-05-09	99	2	0	0	0
2020-05-10	104	2	0	0	0
2020-05-11	107	2	0	1	0
2020-05-12	109	2	0	1	0
2020-05-13	112	2	0	1	0
2020-05-14	115	2	2	1	0
2020-05-15	120	2	3	1	0
2020-05-16	122	2	3	0	0
2020-05-17	126	2	3	0	0
2020-05-18	129	2	1	0	0
2020-05-19	129	2	2	0	0
2020-05-20	131	2	2	1	0
2020-05-21	132	2	3	1	0
2020-05-22	135	2	1	1	0
2020-05-23	136	2	1	1	0
2020-05-24	138	2	4	1	0
2020-05-25	143	2	3	1	0
2020-05-26	145	2	7	2	0
2020-05-27	145	2	7	2	0
2020-05-28	149	2	5	2	0
2020-05-29	152	2	6	2	0
2020-05-30	156	2	6	2	0
2020-05-31	164	2	4	2	0
2020-06-01	171	2	7	2	0
2020-06-02	177	2	6	2	0
2020-06-03	179	2	1	4	0
2020-06-04	191	2	2	4	0
2020-06-05	198	3	0	4	0
2020-06-06	202	3	1	4	0
2020-06-07	206	3	2	2	0
2020-06-08	211	3	3	2	0
2020-06-09	220	3	3	2	0
2020-06-10	227	4	4	2	0
2020-06-11	230	4	3	3	0
2020-06-12	237	4	2	3	0
2020-06-13	251	5	2	2	0
2020-06-14	262	5	2	3	0
2020-06-15	283	5	3	3	0
2020-06-16	291	5	5	2	0
2020-06-17	302	5	3	3	0
2020-06-18	317	5	9	1	0
2020-06-19	326	5	7	2	0
2020-06-20	342	6	6	2	0
2020-06-21	357	6	6	2	0
2020-06-22	374	8	7	4	0
2020-06-23	382	8	5	10	0
2020-06-24	400	8	9	9	0
2020-06-25	411	8	10	10	0
2020-06-26	419	8	9	9	0
2020-06-27	426	9	11	10	0
2020-06-28	428	12	16	12	0
2020-06-29	433	13	14	10	0
2020-06-30	442	15	15	9	0
2020-07-01	446	18	17	11	0
2020-07-02	446	18	13	17	0
2020-07-03	446	18	15	18	0
2020-07-04	446	20	21	21	0
2020-07-05	446	22	24	22	0
2020-07-06	446	22	29	21	0
2020-07-07	446	22	0	0	0
