# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	0	0	0	0	0
2020-03-01	0	0	0	0	0
2020-03-02	0	0	0	0	0
2020-03-03	0	0	0	0	0
2020-03-04	0	0	0	0	0
2020-03-05	0	0	0	0	0
2020-03-06	0	0	0	0	0
2020-03-07	0	0	0	0	0
2020-03-08	0	0	0	0	0
2020-03-09	0	0	0	0	0
2020-03-10	0	0	0	0	0
2020-03-11	0	0	0	0	0
2020-03-12	0	0	0	0	0
2020-03-13	0	0	0	0	0
2020-03-14	0	0	0	0	0
2020-03-15	0	0	0	0	0
2020-03-16	0	0	0	0	0
2020-03-17	0	0	0	0	0
2020-03-18	0	0	0	0	0
2020-03-19	1	0	0	0	0
2020-03-20	1	0	0	0	0
2020-03-21	1	0	0	0	0
2020-03-22	2	0	0	0	0
2020-03-23	2	0	0	0	0
2020-03-24	2	0	0	0	0
2020-03-25	3	0	0	0	0
2020-03-26	3	0	0	0	0
2020-03-27	3	0	0	0	0
2020-03-28	3	0	0	0	0
2020-03-29	3	0	0	0	0
2020-03-30	3	0	0	0	0
2020-03-31	3	0	0	0	0
2020-04-01	3	0	0	0	0
2020-04-02	4	0	0	0	0
2020-04-03	5	0	0	0	0
2020-04-04	5	0	0	0	0
2020-04-05	5	0	0	0	0
2020-04-06	5	0	0	0	0
2020-04-07	5	0	0	0	0
2020-04-08	6	0	0	0	0
2020-04-09	6	0	0	0	0
2020-04-10	10	0	0	0	0
2020-04-11	10	0	0	0	0
2020-04-12	10	0	0	0	0
2020-04-13	10	0	0	0	0
2020-04-14	11	0	0	1	0
2020-04-15	11	0	1	2	0
2020-04-16	13	0	1	1	0
2020-04-17	13	0	1	1	0
2020-04-18	14	0	1	1	0
2020-04-19	14	0	1	2	0
2020-04-20	22	0	0	2	0
2020-04-21	22	0	0	2	0
2020-04-22	24	0	0	2	0
2020-04-23	28	1	1	2	0
2020-04-24	31	1	1	2	0
2020-04-25	33	1	1	3	0
2020-04-26	33	2	2	2	0
2020-04-27	35	2	2	4	0
2020-04-28	37	2	2	5	0
2020-04-29	38	3	3	5	0
2020-04-30	39	3	4	5	0
2020-05-01	43	3	6	5	0
2020-05-02	45	3	6	5	0
2020-05-03	48	3	6	5	0
2020-05-04	48	3	10	4	0
2020-05-05	51	3	4	3	0
2020-05-06	52	3	10	3	0
2020-05-07	56	3	4	4	0
2020-05-08	57	5	2	5	0
2020-05-09	61	5	6	4	0
2020-05-10	64	5	4	6	0
2020-05-11	65	5	4	6	0
2020-05-12	67	5	4	6	0
2020-05-13	68	5	4	6	0
2020-05-14	69	5	3	5	0
2020-05-15	70	6	4	6	0
2020-05-16	72	6	4	6	0
2020-05-17	72	7	3	7	0
2020-05-18	73	7	4	5	0
2020-05-19	73	7	3	5	0
2020-05-20	73	7	1	5	0
2020-05-21	76	7	1	6	0
2020-05-22	78	7	1	4	0
2020-05-23	79	7	2	3	0
2020-05-24	80	7	2	3	0
2020-05-25	81	8	2	3	0
2020-05-26	83	8	2	2	0
2020-05-27	83	8	2	2	0
2020-05-28	85	8	3	2	0
2020-05-29	85	8	4	2	0
2020-05-30	85	8	4	3	0
2020-05-31	85	8	4	3	0
2020-06-01	86	8	5	3	0
2020-06-02	86	8	2	3	0
2020-06-03	86	8	1	4	0
2020-06-04	86	8	1	4	0
2020-06-05	86	8	0	4	0
2020-06-06	87	8	0	5	0
2020-06-07	91	8	0	5	0
2020-06-08	91	8	1	4	0
2020-06-09	92	8	0	5	0
2020-06-10	96	8	1	4	0
2020-06-11	96	8	1	6	0
2020-06-12	99	8	1	5	0
2020-06-13	102	8	1	7	0
2020-06-14	103	8	1	7	0
2020-06-15	104	8	1	7	0
2020-06-16	105	8	2	7	0
2020-06-17	107	8	4	5	0
2020-06-18	112	8	2	5	0
2020-06-19	119	8	4	5	0
2020-06-20	123	8	4	4	0
2020-06-21	124	8	3	4	0
2020-06-22	127	8	3	5	0
2020-06-23	130	8	5	4	0
2020-06-24	133	8	6	4	0
2020-06-25	137	10	4	5	0
2020-06-26	139	11	4	9	0
2020-06-27	139	11	4	9	0
2020-06-28	140	11	3	13	0
2020-06-29	143	12	4	10	0
2020-06-30	143	12	4	11	0
2020-07-01	143	12	4	11	0
2020-07-02	143	12	0	0	0
