# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	0	0	0	0	0
2020-03-01	1	0	0	0	0
2020-03-02	1	0	0	0	0
2020-03-03	1	0	0	0	0
2020-03-04	1	0	0	0	0
2020-03-05	1	0	0	0	0
2020-03-06	1	0	0	0	0
2020-03-07	1	0	0	0	0
2020-03-08	1	0	0	0	0
2020-03-09	1	0	0	0	0
2020-03-10	1	0	0	0	0
2020-03-11	1	0	0	0	0
2020-03-12	1	0	0	0	0
2020-03-13	1	0	0	0	0
2020-03-14	1	0	0	0	0
2020-03-15	2	0	0	0	0
2020-03-16	5	0	0	0	0
2020-03-17	7	0	0	0	0
2020-03-18	9	0	0	0	0
2020-03-19	9	0	0	0	0
2020-03-20	10	0	0	0	0
2020-03-21	11	0	0	0	0
2020-03-22	11	0	0	0	0
2020-03-23	11	0	0	0	0
2020-03-24	11	0	0	0	0
2020-03-25	11	0	0	0	0
2020-03-26	11	0	0	0	0
2020-03-27	12	0	0	0	0
2020-03-28	12	0	0	0	0
2020-03-29	12	0	0	0	0
2020-03-30	12	0	0	0	0
2020-03-31	12	0	0	0	0
2020-04-01	12	0	0	0	0
2020-04-02	13	0	0	0	0
2020-04-03	13	0	0	0	0
2020-04-04	14	0	0	0	0
2020-04-05	15	0	0	0	0
2020-04-06	17	0	0	0	0
2020-04-07	17	0	0	0	0
2020-04-08	17	0	0	0	0
2020-04-09	19	0	0	1	0
2020-04-10	20	0	0	1	0
2020-04-11	22	0	0	1	0
2020-04-12	24	0	0	1	0
2020-04-13	25	0	0	1	0
2020-04-14	28	0	0	1	0
2020-04-15	28	0	0	1	0
2020-04-16	29	0	1	1	0
2020-04-17	30	0	1	1	0
2020-04-18	31	0	1	1	0
2020-04-19	31	0	3	0	0
2020-04-20	32	0	0	3	0
2020-04-21	34	0	3	0	0
2020-04-22	36	0	3	0	0
2020-04-23	37	0	3	1	0
2020-04-24	37	0	3	0	0
2020-04-25	38	0	3	1	0
2020-04-26	39	0	2	0	0
2020-04-27	39	0	2	0	0
2020-04-28	40	0	4	3	0
2020-04-29	42	0	1	3	0
2020-04-30	43	0	1	3	0
2020-05-01	44	0	0	3	0
2020-05-02	45	0	0	3	0
2020-05-03	47	0	0	3	0
2020-05-04	49	0	0	4	0
2020-05-05	53	0	1	5	0
2020-05-06	54	0	1	6	0
2020-05-07	57	0	3	7	0
2020-05-08	57	0	3	7	0
2020-05-09	59	0	2	9	0
2020-05-10	63	0	2	9	0
2020-05-11	68	0	1	10	0
2020-05-12	76	0	1	10	0
2020-05-13	78	0	3	10	0
2020-05-14	87	1	4	9	0
2020-05-15	93	2	6	8	0
2020-05-16	97	2	7	7	0
2020-05-17	104	2	9	7	0
2020-05-18	110	2	8	7	0
2020-05-19	118	2	10	6	0
2020-05-20	120	2	12	6	0
2020-05-21	124	3	14	4	0
2020-05-22	126	3	17	4	0
2020-05-23	129	3	17	4	0
2020-05-24	136	4	17	4	0
2020-05-25	143	4	16	4	0
2020-05-26	150	4	14	4	0
2020-05-27	156	4	13	5	0
2020-05-28	167	4	8	9	0
2020-05-29	176	4	8	10	0
2020-05-30	185	4	10	8	0
2020-05-31	196	4	13	11	0
2020-06-01	202	4	12	10	0
2020-06-02	215	4	13	10	0
2020-06-03	221	5	11	9	0
2020-06-04	232	6	10	9	0
2020-06-05	256	7	14	9	0
2020-06-06	274	8	15	11	0
2020-06-07	283	8	12	15	0
2020-06-08	299	9	7	15	0
2020-06-09	320	11	10	16	0
2020-06-10	333	12	16	21	0
2020-06-11	346	12	19	23	0
2020-06-12	363	15	22	18	0
2020-06-13	374	16	24	24	0
2020-06-14	381	17	28	22	0
2020-06-15	391	17	28	20	0
2020-06-16	400	19	26	21	0
2020-06-17	410	20	26	23	0
2020-06-18	420	21	24	26	0
2020-06-19	430	23	26	17	0
2020-06-20	441	24	45	15	0
2020-06-21	445	24	37	13	0
2020-06-22	453	24	43	15	0
2020-06-23	457	25	28	15	0
2020-06-24	463	27	32	14	0
2020-06-25	468	28	22	16	0
2020-06-26	471	29	25	15	0
2020-06-27	474	29	21	15	0
2020-06-28	481	29	15	14	0
2020-06-29	484	29	15	14	0
2020-06-30	486	29	13	12	0
2020-07-01	489	29	10	11	0
2020-07-02	490	29	18	11	0
2020-07-03	490	29	10	11	0
2020-07-04	490	29	9	14	0
2020-07-05	490	30	9	11	0
2020-07-06	490	31	9	10	0
2020-07-07	490	31	10	6	0
2020-07-08	490	31	12	8	0
