# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	0	0	0	0	0
2020-03-01	0	0	0	0	0
2020-03-02	0	0	0	0	0
2020-03-03	0	0	0	0	0
2020-03-04	0	0	0	0	0
2020-03-05	0	0	0	0	0
2020-03-06	0	0	0	0	0
2020-03-07	0	0	0	0	0
2020-03-08	1	0	0	0	0
2020-03-09	1	0	0	0	0
2020-03-10	1	0	0	0	0
2020-03-11	1	0	0	0	0
2020-03-12	1	0	0	0	0
2020-03-13	1	0	0	0	0
2020-03-14	1	0	0	0	0
2020-03-15	1	0	0	0	0
2020-03-16	2	0	0	0	0
2020-03-17	2	0	0	0	0
2020-03-18	2	0	0	0	0
2020-03-19	2	0	0	0	0
2020-03-20	3	0	0	0	0
2020-03-21	3	0	0	0	0
2020-03-22	3	0	0	0	0
2020-03-23	3	0	0	0	0
2020-03-24	3	0	0	0	0
2020-03-25	3	0	0	0	0
2020-03-26	3	0	0	0	0
2020-03-27	3	0	0	0	0
2020-03-28	4	0	0	0	0
2020-03-29	4	0	0	0	0
2020-03-30	4	0	0	0	0
2020-03-31	5	0	0	0	0
2020-04-01	5	0	0	0	0
2020-04-02	5	0	0	0	0
2020-04-03	6	0	0	0	0
2020-04-04	6	0	0	0	0
2020-04-05	6	0	0	0	0
2020-04-06	6	0	0	0	0
2020-04-07	6	0	0	0	0
2020-04-08	6	0	0	0	0
2020-04-09	6	0	0	0	0
2020-04-10	6	0	0	0	0
2020-04-11	6	0	0	0	0
2020-04-12	6	0	0	0	0
2020-04-13	6	0	0	0	0
2020-04-14	6	0	0	0	0
2020-04-15	6	0	0	0	0
2020-04-16	6	0	0	0	0
2020-04-17	7	0	0	0	0
2020-04-18	7	0	0	0	0
2020-04-19	7	0	0	0	0
2020-04-20	8	0	0	0	0
2020-04-21	8	0	0	0	0
2020-04-22	8	0	0	0	0
2020-04-23	8	0	0	0	0
2020-04-24	9	0	1	0	0
2020-04-25	9	0	1	0	0
2020-04-26	9	0	1	0	0
2020-04-27	9	0	1	0	0
2020-04-28	9	0	1	0	0
2020-04-29	9	0	1	0	0
2020-04-30	9	0	0	0	0
2020-05-01	9	0	0	0	0
2020-05-02	9	0	4	1	0
2020-05-03	9	0	0	1	0
2020-05-04	10	0	0	2	0
2020-05-05	10	0	0	2	0
2020-05-06	10	0	0	2	0
2020-05-07	10	0	0	2	0
2020-05-08	10	2	0	2	0
2020-05-09	12	2	0	2	0
2020-05-10	12	2	0	2	0
2020-05-11	13	2	0	2	0
2020-05-12	13	2	0	2	0
2020-05-13	14	2	0	2	0
2020-05-14	14	2	1	1	0
2020-05-15	15	2	0	1	0
2020-05-16	15	2	0	1	0
2020-05-17	15	2	0	1	0
2020-05-18	16	2	0	1	0
2020-05-19	16	2	0	1	0
2020-05-20	18	2	0	1	0
2020-05-21	19	2	0	2	0
2020-05-22	19	2	0	2	0
2020-05-23	19	2	0	2	0
2020-05-24	19	2	4	4	0
2020-05-25	20	3	0	3	0
2020-05-26	20	3	1	2	0
2020-05-27	20	3	0	3	0
2020-05-28	21	4	0	4	0
2020-05-29	23	5	0	4	0
2020-05-30	24	5	0	3	0
2020-05-31	24	5	5	6	0
2020-06-01	26	6	0	2	0
2020-06-02	27	6	0	2	0
2020-06-03	29	6	0	3	0
2020-06-04	29	6	1	2	0
2020-06-05	30	6	1	2	0
2020-06-06	30	6	1	3	0
2020-06-07	30	6	1	3	0
2020-06-08	30	6	1	3	0
2020-06-09	33	6	0	3	0
2020-06-10	33	7	1	2	0
2020-06-11	34	7	0	2	0
2020-06-12	34	7	1	3	0
2020-06-13	35	7	4	1	0
2020-06-14	36	7	2	1	0
2020-06-15	38	7	1	1	0
2020-06-16	41	7	2	0	0
2020-06-17	43	7	2	1	0
2020-06-18	44	7	2	1	0
2020-06-19	45	7	3	1	0
2020-06-20	47	7	3	2	0
2020-06-21	48	7	3	2	0
2020-06-22	50	7	4	1	0
2020-06-23	57	7	2	2	0
2020-06-24	58	7	2	2	0
2020-06-25	60	7	1	2	0
2020-06-26	63	7	0	3	0
2020-06-27	64	7	2	4	0
2020-06-28	69	7	1	4	0
2020-06-29	70	8	2	7	0
2020-06-30	70	8	3	7	0
2020-07-01	70	8	5	5	0
2020-07-02	70	8	7	5	0
2020-07-03	70	8	5	5	0
2020-07-04	70	8	4	6	0
2020-07-05	70	8	3	6	0
2020-07-06	70	8	3	6	0
2020-07-07	70	9	3	6	0
2020-07-08	70	9	2	5	0
