# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	1	0	0	0	0
2020-03-01	1	0	0	0	0
2020-03-02	1	0	0	0	0
2020-03-03	1	0	0	0	0
2020-03-04	1	0	0	0	0
2020-03-05	1	0	0	0	0
2020-03-06	1	0	0	0	0
2020-03-07	2	0	0	0	0
2020-03-08	2	0	0	0	0
2020-03-09	3	0	0	0	0
2020-03-10	3	0	0	0	0
2020-03-11	5	0	0	0	0
2020-03-12	6	0	0	0	0
2020-03-13	8	0	0	0	0
2020-03-14	10	0	0	0	0
2020-03-15	15	0	0	0	0
2020-03-16	18	0	0	0	0
2020-03-17	24	0	0	0	0
2020-03-18	25	0	0	0	0
2020-03-19	28	0	0	0	0
2020-03-20	31	0	0	0	0
2020-03-21	33	0	0	0	0
2020-03-22	36	0	0	0	0
2020-03-23	43	0	0	0	0
2020-03-24	45	0	0	0	0
2020-03-25	53	0	0	0	0
2020-03-26	57	0	0	0	0
2020-03-27	58	0	0	0	0
2020-03-28	60	0	0	0	0
2020-03-29	64	0	0	0	0
2020-03-30	67	0	0	0	0
2020-03-31	69	0	0	0	0
2020-04-01	72	0	0	0	0
2020-04-02	73	0	0	0	0
2020-04-03	76	0	0	0	0
2020-04-04	79	0	0	0	0
2020-04-05	80	0	0	0	0
2020-04-06	81	0	0	0	0
2020-04-07	83	0	0	0	0
2020-04-08	84	0	0	0	0
2020-04-09	85	0	1	0	0
2020-04-10	91	0	1	0	0
2020-04-11	95	1	1	0	0
2020-04-12	98	1	1	0	0
2020-04-13	103	1	1	3	0
2020-04-14	108	1	1	4	0
2020-04-15	114	1	2	3	0
2020-04-16	121	1	5	6	0
2020-04-17	128	1	3	6	0
2020-04-18	136	1	4	5	0
2020-04-19	151	1	4	5	0
2020-04-20	170	1	3	4	0
2020-04-21	180	1	8	6	0
2020-04-22	196	1	7	5	0
2020-04-23	211	1	10	7	0
2020-04-24	230	2	7	7	0
2020-04-25	249	2	7	7	0
2020-04-26	269	3	7	6	0
2020-04-27	283	3	11	8	0
2020-04-28	299	5	13	9	0
2020-04-29	319	5	14	11	0
2020-04-30	330	5	25	14	0
2020-05-01	365	5	19	16	0
2020-05-02	384	6	23	17	0
2020-05-03	405	7	23	19	0
2020-05-04	431	9	25	16	0
2020-05-05	446	13	30	17	0
2020-05-06	475	15	28	16	0
2020-05-07	494	15	36	19	0
2020-05-08	509	17	29	22	0
2020-05-09	525	19	39	20	0
2020-05-10	542	20	36	22	0
2020-05-11	569	20	37	22	0
2020-05-12	585	21	37	24	0
2020-05-13	612	21	32	24	0
2020-05-14	633	21	31	23	0
2020-05-15	666	21	30	21	0
2020-05-16	686	21	32	19	0
2020-05-17	704	22	36	18	0
2020-05-18	738	22	33	19	0
2020-05-19	757	23	34	17	0
2020-05-20	786	25	39	19	0
2020-05-21	811	25	50	16	0
2020-05-22	831	25	48	18	0
2020-05-23	848	27	49	17	0
2020-05-24	872	29	35	21	0
2020-05-25	917	30	33	19	0
2020-05-26	945	31	34	21	0
2020-05-27	963	32	30	18	0
2020-05-28	986	32	37	20	0
2020-05-29	1001	33	34	24	0
2020-05-30	1023	36	29	29	0
2020-05-31	1066	38	29	27	0
2020-06-01	1092	38	27	28	0
2020-06-02	1114	41	28	31	0
2020-06-03	1138	43	23	31	0
2020-06-04	1167	44	32	30	0
2020-06-05	1201	44	24	31	0
2020-06-06	1230	46	27	34	0
2020-06-07	1256	48	28	37	0
2020-06-08	1286	51	27	34	0
2020-06-09	1316	52	37	41	0
2020-06-10	1361	53	39	40	0
2020-06-11	1391	53	35	45	0
2020-06-12	1435	54	26	44	0
2020-06-13	1462	57	42	45	0
2020-06-14	1496	57	43	41	0
2020-06-15	1558	58	40	40	0
2020-06-16	1618	58	44	35	0
2020-06-17	1671	59	50	34	0
2020-06-18	1723	59	51	38	0
2020-06-19	1774	61	47	39	0
2020-06-20	1845	63	46	37	0
2020-06-21	1880	67	42	37	0
2020-06-22	1936	70	42	33	0
2020-06-23	1971	73	49	37	0
2020-06-24	2003	74	50	36	0
2020-06-25	2024	78	57	40	0
2020-06-26	2043	78	63	39	0
2020-06-27	2050	79	58	40	0
2020-06-28	2056	80	54	40	0
2020-06-29	2059	81	51	43	0
2020-06-30	2059	84	49	51	0
2020-07-01	2060	86	48	57	0
2020-07-02	2060	87	0	0	0
