# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	0	0	0	0	0
2020-03-01	0	0	0	0	0
2020-03-02	0	0	0	0	0
2020-03-03	0	0	0	0	0
2020-03-04	0	0	0	0	0
2020-03-05	1	0	0	0	0
2020-03-06	1	0	0	0	0
2020-03-07	1	0	0	0	0
2020-03-08	1	0	0	0	0
2020-03-09	1	0	0	0	0
2020-03-10	2	0	0	0	0
2020-03-11	3	0	0	0	0
2020-03-12	3	0	0	0	0
2020-03-13	3	0	0	0	0
2020-03-14	6	0	0	0	0
2020-03-15	7	0	0	0	0
2020-03-16	13	0	0	0	0
2020-03-17	18	0	0	0	0
2020-03-18	22	0	0	0	0
2020-03-19	25	0	0	0	0
2020-03-20	28	0	0	0	0
2020-03-21	30	0	0	0	0
2020-03-22	32	0	0	0	0
2020-03-23	34	0	0	0	0
2020-03-24	35	0	0	0	0
2020-03-25	35	0	0	0	0
2020-03-26	44	0	0	0	0
2020-03-27	45	0	0	0	0
2020-03-28	46	0	0	0	0
2020-03-29	46	0	0	0	0
2020-03-30	47	0	0	0	0
2020-03-31	49	0	0	0	0
2020-04-01	50	0	0	0	0
2020-04-02	52	0	0	0	0
2020-04-03	53	0	0	0	0
2020-04-04	54	0	0	0	0
2020-04-05	55	0	0	0	0
2020-04-06	55	0	0	0	0
2020-04-07	57	0	0	0	0
2020-04-08	58	0	0	0	0
2020-04-09	58	0	0	1	0
2020-04-10	58	0	0	1	0
2020-04-11	58	0	0	2	0
2020-04-12	59	0	0	2	0
2020-04-13	60	0	0	3	0
2020-04-14	62	0	0	3	0
2020-04-15	62	0	1	3	0
2020-04-16	62	0	1	3	0
2020-04-17	63	0	1	2	0
2020-04-18	63	0	1	2	0
2020-04-19	63	0	1	2	0
2020-04-20	63	0	1	2	0
2020-04-21	64	0	1	2	0
2020-04-22	64	0	2	1	0
2020-04-23	64	0	1	1	0
2020-04-24	65	0	1	2	0
2020-04-25	67	0	1	2	0
2020-04-26	68	1	0	2	0
2020-04-27	71	1	2	2	0
2020-04-28	71	1	3	1	0
2020-04-29	71	1	2	1	0
2020-04-30	73	2	1	0	0
2020-05-01	75	2	1	0	0
2020-05-02	77	2	1	0	0
2020-05-03	79	2	0	0	0
2020-05-04	83	2	5	0	0
2020-05-05	85	2	0	0	0
2020-05-06	88	2	0	0	0
2020-05-07	93	2	0	0	0
2020-05-08	96	2	0	0	0
2020-05-09	99	2	0	0	0
2020-05-10	104	2	0	0	0
2020-05-11	107	2	0	1	0
2020-05-12	109	2	0	1	0
2020-05-13	112	2	0	1	0
2020-05-14	115	2	2	1	0
2020-05-15	120	2	3	1	0
2020-05-16	122	2	3	0	0
2020-05-17	126	2	3	0	0
2020-05-18	129	2	1	0	0
2020-05-19	129	2	2	0	0
2020-05-20	130	2	2	1	0
2020-05-21	131	2	3	1	0
2020-05-22	134	2	1	1	0
2020-05-23	135	2	1	1	0
2020-05-24	137	2	4	1	0
2020-05-25	142	2	3	1	0
2020-05-26	144	2	7	2	0
2020-05-27	144	2	7	2	0
2020-05-28	148	2	5	2	0
2020-05-29	151	2	6	2	0
2020-05-30	155	2	6	2	0
2020-05-31	163	2	4	2	0
2020-06-01	170	2	7	2	0
2020-06-02	176	2	6	2	0
2020-06-03	178	2	1	4	0
2020-06-04	190	2	2	4	0
2020-06-05	197	3	0	4	0
2020-06-06	201	3	1	4	0
2020-06-07	205	3	2	2	0
2020-06-08	210	3	3	2	0
2020-06-09	219	3	3	2	0
2020-06-10	226	4	4	2	0
2020-06-11	229	4	3	3	0
2020-06-12	235	4	2	3	0
2020-06-13	248	5	2	2	0
2020-06-14	258	5	2	3	0
2020-06-15	275	5	3	3	0
2020-06-16	281	5	5	2	0
2020-06-17	289	5	3	3	0
2020-06-18	301	5	9	1	0
2020-06-19	307	5	7	2	0
2020-06-20	319	6	6	2	0
2020-06-21	330	6	6	2	0
2020-06-22	342	8	7	4	0
2020-06-23	343	8	5	10	0
2020-06-24	349	8	9	9	0
2020-06-25	352	8	10	10	0
2020-06-26	354	8	9	9	0
2020-06-27	355	9	11	10	0
2020-06-28	355	12	16	12	0
2020-06-29	355	13	14	10	0
2020-06-30	355	15	15	9	0
2020-07-01	355	16	17	11	0
2020-07-02	355	16	0	0	0
