# Data source: https://github.com/ishaberry/Covid19Canada
# Data provenance: Offical government data
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-12	0	0			1
2020-02-13	0	0			1
2020-02-14	0	0			1
2020-02-15	0	0			1
2020-02-16	0	0			1
2020-02-17	0	0			1
2020-02-18	0	0			1
2020-02-19	0	0			1
2020-02-20	0	0			1
2020-02-21	0	0			1
2020-02-22	0	0			1
2020-02-23	0	0			1
2020-02-24	0	0			1
2020-02-25	0	0			1
2020-02-26	0	0			1
2020-02-27	0	0			1
2020-02-28	0	0			1
2020-02-29	0	0			1
2020-03-01	0	0			1
2020-03-02	0	0			1
2020-03-03	0	0			1
2020-03-04	0	0			1
2020-03-05	0	0			1
2020-03-06	0	0			1
2020-03-07	0	0			1
2020-03-08	0	0			1
2020-03-09	0	0			1
2020-03-10	0	0			1
2020-03-11	0	0			1
2020-03-12	0	0			1
2020-03-13	0	0			1
2020-03-14	0	0			1
2020-03-15	0	0			1
2020-03-16	0	0			1
2020-03-17	0	0			1
2020-03-18	0	0			1
2020-03-19	0	0			1
2020-03-20	0	0			1
2020-03-21	1	0			0
2020-03-22	1	0			1
2020-03-23	1	0			1
2020-03-24	1	0			1
2020-03-25	1	0			1
2020-03-26	1	0			1
2020-03-27	1	0			1
2020-03-28	1	0			1
2020-03-29	1	0			1
2020-03-30	1	0			1
2020-03-31	1	0			1
2020-04-01	2	0			0
2020-04-02	2	0			1
2020-04-03	4	0			1
2020-04-04	4	0			1
2020-04-05	4	0			1
2020-04-06	5	0			1
2020-04-07	5	0			1
2020-04-08	5	0			1
2020-04-09	5	0			1
2020-04-10	5	0			1
2020-04-11	5	0			1
2020-04-12	5	0			1
2020-04-13	5	0			1
2020-04-14	5	0			1
2020-04-15	5	0			1
2020-04-16	5	0			1
2020-04-17	5	0			1
2020-04-18	5	0			1
2020-04-19	5	0			1
2020-04-20	5	0			1
2020-04-21	5	0			1
2020-04-22	5	0			1
2020-04-23	5	0			1
2020-04-24	5	0			1
2020-04-25	5	0			1
2020-04-26	5	0			1
2020-04-27	5	0			1
2020-04-28	5	0			1
2020-04-29	5	0			1
2020-04-30	5	0			1
2020-05-01	5	0			1
2020-05-02	5	0			1
2020-05-03	5	0			1
2020-05-04	5	0			1
2020-05-05	5	0			1
2020-05-06	5	0			1
2020-05-07	5	0			1
2020-05-08	5	0			1
2020-05-09	5	0			1
2020-05-10	5	0			1
2020-05-11	5	0			1
2020-05-12	5	0			1
2020-05-13	5	0			1
2020-05-14	5	0			1
2020-05-15	5	0			1
2020-05-16	5	0			1
2020-05-17	5	0			1
2020-05-18	5	0			1
2020-05-19	5	0			1
2020-05-20	5	0			1
2020-05-21	5	0			1
2020-05-22	5	0			1
2020-05-23	5	0			1
2020-05-24	5	0			1
2020-05-25	5	0			1
2020-05-26	5	0			1
2020-05-27	5	0			1
2020-05-28	5	0			1
2020-05-29	5	0			1
2020-05-30	5	0			1
2020-05-31	5	0			1
2020-06-01	5	0			1
2020-06-02	5	0			1
2020-06-03	5	0			1
2020-06-04	5	0			1
2020-06-05	5	0			1
2020-06-06	5	0			1
2020-06-07	5	0			1
2020-06-08	5	0			1
2020-06-09	5	0			1
2020-06-10	5	0			1
2020-06-11	5	0			1
2020-06-12	5	0			1
2020-06-13	5	0			1
2020-06-14	5	0			1
2020-06-15	5	0			1
2020-06-16	5	0			1
2020-06-17	5	0			1
2020-06-18	5	0			1
2020-06-19	5	0			1
2020-06-20	5	0			1
2020-06-21	5	0			1
2020-06-22	5	0			1
2020-06-23	5	0			1
2020-06-24	5	0			1
2020-06-25	5	0			1
2020-06-26	5	0			1
2020-06-27	5	0			1
