# Data source: https://github.com/BlankerL/DXY-COVID-19-Data/raw/master/csv/DXYOverall.csv
# Data provenance: https://github.com/BlankerL/DXY-COVID-19-Data
# License: MIT
time	cases	deaths	hospitalized	icu	recovered
2020-01-23	2	0			0
2020-01-24	2	0			0
2020-01-25	4	0			0
2020-01-26	7	0			0
2020-01-27	14	0			0
2020-01-28	19	0			0
2020-01-29	24	0			0
2020-01-30	26	0			0
2020-01-31	29	0			0
2020-02-01	35	0			0
2020-02-02	40	0			3
2020-02-03	51	0			3
2020-02-04	57	0			4
2020-02-05	57	0			6
2020-02-06	62	0			6
2020-02-07	67	0			9
2020-02-08	79	1			12
2020-02-09	79	1			18
2020-02-10	83	2			17
2020-02-11	86	2			24
2020-02-12	86	2			35
2020-02-13	90	2			39
2020-02-15	90	2			55
2020-02-16	90	2			54
2020-02-17	91	2			58
2020-02-18	91	2			62
2020-02-19	91	2			65
2020-02-20	91	2			71
2020-02-21	91	2			76
2020-02-23	91	2			78
2020-02-24	91	2			80
2020-02-26	91	2			81
2020-02-28	91	2			82
2020-03-01	91	2			84
2020-03-02	91	2			85
2020-03-03	91	2			86
2020-03-04	91	2			87
2020-03-05	102	2			87
2020-03-06	119	2			87
2020-03-07	120	2			87
2020-03-08	124	2			87
2020-03-09	124	2			88
2020-03-10	125	2			88
2020-03-11	127	2			88
2020-03-14	129	2			89
2020-03-15	133	2			91
2020-03-19	134	2			91
2020-03-20	134	2			98
2020-03-21	134	2			113
2020-03-22	136	2			114
2020-03-24	136	2			119
2020-03-26	136	2			121
2020-03-27	136	2			123
2020-03-28	136	2			125
2020-03-29	138	2			125
2020-04-01	138	2			127
2020-04-04	138	2			131
2020-04-06	139	2			132
2020-04-08	139	2			133
2020-04-09	139	2			135
2020-04-14	139	2			136
2020-04-16	139	2			137
2020-06-17	150	2			137
2020-06-19	151	2			137
2020-06-22	158	2			137
2020-06-24	161	2			138
2020-06-26	161	2			139
2020-06-27	162	2			139
2020-06-28	163	2			140
