# Data source: https://github.com/BlankerL/DXY-COVID-19-Data/raw/master/csv/DXYOverall.csv
# Data provenance: https://github.com/BlankerL/DXY-COVID-19-Data
# License: MIT
time	cases	deaths	hospitalized	ICU	recovered
2020-01-22	2	0			0
2020-01-23	5	0			0
2020-01-24	5	0			0
2020-01-25	23	0			0
2020-01-26	36	0			0
2020-01-27	46	0			0
2020-01-28	51	0			2
2020-01-29	58	0			2
2020-01-30	78	0			2
2020-01-31	87	0			2
2020-02-01	100	0			2
2020-02-02	111	0			2
2020-02-03	127	0			7
2020-02-04	139	0			10
2020-02-05	150	0			13
2020-02-06	168	0			14
2020-02-07	171	0			17
2020-02-08	183	0			17
2020-02-09	195	1			21
2020-02-10	210	1			24
2020-02-11	215	1			33
2020-02-12	222	1			33
2020-02-13	222	2			34
2020-02-14	226	2			36
2020-02-15	235	2			45
2020-02-16	237	2			49
2020-02-17	238	2			53
2020-02-18	242	2			69
2020-02-19	244	2			86
2020-02-20	245	2			90
2020-02-21	246	2			97
2020-02-22	249	2			104
2020-02-23	249	2			106
2020-02-24	251	2			112
2020-02-25	252	2			134
2020-02-26	252	2			147
2020-02-27	252	2			161
2020-02-28	252	2			168
2020-02-29	252	2			176
2020-03-01	252	2			181
2020-03-02	252	2			192
2020-03-03	252	2			202
2020-03-04	252	2			210
2020-03-05	252	2			214
2020-03-06	252	2			217
2020-03-07	252	2			218
2020-03-08	252	2			223
2020-03-09	252	2			230
2020-03-10	252	2			234
2020-03-11	252	2			238
2020-03-12	252	2			241
2020-03-13	252	2			243
2020-03-16	252	2			252
2020-03-17	253	2			248
2020-03-18	253	2			250
2020-03-20	254	2			250
