# Data source: https://github.com/BlankerL/DXY-COVID-19-Data/raw/master/csv/DXYOverall.csv
# Data provenance: https://github.com/BlankerL/DXY-COVID-19-Data
# License: MIT
time	cases	deaths	hospitalized	icu	recovered
2020-01-22	4	0			0
2020-01-23	5	0			0
2020-01-24	8	0			0
2020-01-25	19	0			0
2020-01-26	22	0			0
2020-01-27	33	1			0
2020-01-28	40	1			0
2020-01-29	43	1			0
2020-01-30	46	1			1
2020-01-31	51	1			1
2020-02-01	62	1			1
2020-02-02	64	1			3
2020-02-03	72	1			4
2020-02-04	80	1			5
2020-02-05	91	1			6
2020-02-06	106	1			8
2020-02-07	111	2			8
2020-02-08	124	2			14
2020-02-09	131	3			19
2020-02-10	138	3			19
2020-02-11	144	3			20
2020-02-12	164	3			27
2020-02-13	157	4			30
2020-02-14	159	4			43
2020-02-15	162	4			39
2020-02-16	162	4			52
2020-02-17	163	4			59
2020-02-18	163	4			79
2020-02-19	163	4			84
2020-02-20	168	4			86
2020-02-21	168	4			95
2020-02-22	168	4			104
2020-02-23	168	4			106
2020-02-24	168	5			116
2020-02-25	168	5			124
2020-02-26	168	5			129
2020-02-27	168	5			131
2020-02-28	168	5			133
2020-02-29	168	5			147
2020-03-01	168	5			149
2020-03-03	168	5			152
2020-03-04	168	5			158
2020-03-05	168	6			158
2020-03-08	168	6			159
2020-03-12	168	6			160
2020-03-16	168	6			161
2020-03-24	168	6			162
2020-05-15	169	6			162
2020-05-29	169	6			163
2020-06-07	170	6			162
2020-06-13	171	6			162
2020-06-15	171	6			163
2020-06-26	171	6			165
