# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	0	0			
2020-01-27	0	0			
2020-01-28	0	0			
2020-01-29	0	0			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	1	0			
2020-02-26	1	0			
2020-02-27	1	0			
2020-02-28	1	0			
2020-02-29	1	0			
2020-03-01	1	0			
2020-03-02	1	0			
2020-03-08	4	0			
2020-03-11	7	0			
2020-03-15	10	0			
2020-03-16	16	0			
2020-03-17	21	0			
2020-03-18	22	0			
2020-03-19	22	0			
2020-03-20	22	0			
2020-03-21	24	0			
2020-03-22	24	0			
2020-03-23	34	0			
2020-03-24	40	1			
2020-03-25	42	1			
2020-03-26	75	1			
2020-03-27	75	1			
2020-03-28	91	2			
2020-03-29	106	3			
2020-03-30	114	4			
2020-03-31	141	4			
2020-04-01	166	4			
2020-04-02	192	4			
2020-04-03	235	4			
2020-04-04	235	4			
2020-04-05	270	5			
2020-04-06	299	7			
2020-04-07	337	7			
2020-04-08	367	11			
2020-04-09	423	14			
2020-04-10	484	15			
2020-04-11	521	15			
2020-04-12	555	18			
2020-04-13	607	18			
2020-04-14	665	21			
2020-04-15	714	23			
2020-04-16	784	25			
2020-04-17	794	29			
2020-04-18	845	30			
2020-04-19	908	30			
2020-04-20	996	33			
2020-04-21	1031	35			
2020-04-22	1092	36			
2020-04-23	1176	40			
2020-04-24	1281	42			
2020-04-25	1351	43			
2020-04-26	1463	47			
2020-04-27	1531	57			
2020-04-28	1703	57			
2020-04-29	1827	60			
2020-04-30	1949	60			
2020-05-01	2171	64			
