# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-09	2	0			
2020-03-10	6	0			
2020-03-11	10	0			
2020-03-12	11	1			
2020-03-13	23	1			
2020-03-14	33	1			
2020-03-15	38	1			
2020-03-16	42	1			
2020-03-17	51	1			
2020-03-18	55	1			
2020-03-19	59	2			
2020-03-20	70	2			
2020-03-21	70	2			
2020-03-22	76	2			
2020-03-23	89	2			
2020-03-24	100	4			
2020-03-25	123	5			
2020-03-26	146	5			
2020-03-27	174	6			
2020-03-28	186	9			
2020-03-29	197	10			
2020-03-30	212	10			
2020-03-31	223	12			
2020-04-01	243	15			
2020-04-02	259	15			
2020-04-03	277	16			
2020-04-04	304	17			
2020-04-05	333	19			
2020-04-06	361	21			
2020-04-07	377	22			
2020-04-08	383	22			
2020-04-09	400	22			
2020-04-10	409	23			
2020-04-11	416	23			
2020-04-12	433	23			
2020-04-13	446	23			
2020-04-14	467	23			
2020-04-15	475	24			
2020-04-16	494	25			
2020-04-17	518	26			
2020-04-18	539	26			
2020-04-19	548	26			
2020-04-20	562	26			
2020-04-21	584	26			
2020-04-22	609	26			
2020-04-23	634	27			
2020-04-24	663	27			
2020-04-25	678	27			
2020-04-26	712	27			
2020-04-27	726	28			
2020-04-28	736	28			
2020-04-29	750	30			
2020-04-30	766	31			
2020-05-01	773	31			
2020-05-02	782	31			
2020-05-03	789	31			
2020-05-04	795	31			
2020-05-05	803	31			
2020-05-06	820	31			
2020-05-07	832	31			
2020-05-08	842	31			
2020-05-09	850	31			
2020-05-10	856	31			
2020-05-11	868	31			
2020-05-12	872	31			
2020-05-13	876	31			
2020-05-14	880	31			
2020-05-15	898	31			
2020-05-16	916	31			
2020-05-17	933	31			
2020-05-18	946	31			
2020-05-19	948	31			
2020-05-20	949	31			
2020-05-21	964	31			
2020-05-22	969	31			
2020-05-23	981	31			
2020-05-24	989	31			
2020-05-25	998	32			
2020-05-26	1004	32			
2020-05-27	1029	33			
2020-05-28	1050	33			
2020-05-29	1076	33			
2020-05-30	1099	33			
2020-05-31	1122	33			
2020-06-01	1137	33			
2020-06-02	1143	33			
2020-06-03	1164	33			
2020-06-04	1184	33			
2020-06-05	1197	33			
2020-06-06	1212	33			
2020-06-07	1232	34			
2020-06-08	1246	34			
2020-06-09	1263	34			
2020-06-10	1299	34			
2020-06-11	1341	34			
2020-06-12	1385	35			
2020-06-13	1416	36			
2020-06-14	1464	36			
2020-06-15	1521	36			
2020-06-16	1590	36			
2020-06-17	1672	37			
2020-06-18	1722	38			
2020-06-19	1788	39			
2020-06-20	1838	42			
2020-06-21	1891	43			
2020-06-22	1927	44			
2020-06-23	1995	44			
2020-06-24	2047	45			
2020-06-25	2114	47			
2020-06-26	2192	49			
2020-06-27	2269	51			
2020-06-28	2330	53			
