# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	0	0			
2020-01-27	0	0			
2020-01-28	0	0			
2020-01-29	0	0			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	1	0			
2020-02-27	1	0			
2020-02-28	1	0			
2020-02-29	1	0			
2020-03-01	3	0			
2020-03-02	3	0			
2020-03-04	5	0			
2020-03-05	12	0			
2020-03-06	17	0			
2020-03-09	20	0			
2020-03-12	20	0			
2020-03-13	25	1			
2020-03-14	26	2			
2020-03-15	37	2			
2020-03-16	48	4			
2020-03-17	58	4			
2020-03-18	60	5			
2020-03-19	72	6			
2020-03-20	90	7			
2020-03-21	102	10			
2020-03-22	139	15			
2020-03-23	201	17			
2020-03-24	230	17			
2020-03-25	264	19			
2020-03-26	302	21			
2020-03-27	367	25			
2020-03-28	409	26			
2020-03-29	454	29			
2020-03-30	511	31			
2020-03-31	584	35			
2020-04-01	716	44			
2020-04-02	847	58			
2020-04-03	986	63			
2020-04-04	1171	105			
2020-04-05	1251	130			
2020-04-06	1320	152			
2020-04-07	1423	173			
2020-04-08	1468	193			
2020-04-09	1572	205			
2020-04-10	1666	235			
2020-04-11	1761	256			
2020-04-12	1825	275			
2020-04-13	1914	293			
2020-04-14	1983	313			
2020-04-15	2070	325			
2020-04-16	2160	336			
2020-04-17	2268	348			
2020-04-18	2418	364			
2020-04-19	2535	367			
2020-04-20	2629	375			
2020-04-21	2718	384			
2020-04-22	2811	392			
2020-04-23	2910	402			
2020-04-24	3007	407			
2020-04-25	3127	415			
2020-04-26	3256	419			
2020-04-27	3382	425			
2020-04-28	3517	432			
2020-04-29	3649	437			
2020-04-30	3848	444			
2020-05-01	4006	450			
