# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-27	2	0			
2020-03-28	2	0			
2020-03-29	2	0			
2020-03-30	2	0			
2020-03-31	2	0			
2020-04-01	2	0			
2020-04-02	2	0			
2020-04-03	3	0			
2020-04-04	3	0			
2020-04-05	3	0			
2020-04-06	3	0			
2020-04-07	3	0			
2020-04-08	3	0			
2020-04-09	3	0			
2020-04-10	3	0			
2020-04-11	3	0			
2020-04-12	3	0			
2020-04-13	3	0			
2020-04-14	3	0			
2020-04-15	3	0			
2020-04-16	3	0			
2020-04-17	3	0			
2020-04-18	3	0			
2020-04-19	3	0			
2020-04-20	3	0			
2020-04-21	3	0			
2020-04-22	3	0			
2020-04-23	3	0			
2020-04-24	3	0			
2020-04-25	3	0			
2020-04-26	3	0			
2020-04-27	3	0			
2020-04-28	3	0			
2020-04-29	3	0			
2020-04-30	3	0			
2020-05-01	3	0			
2020-05-02	3	0			
2020-05-03	3	0			
2020-05-04	3	0			
2020-05-05	3	0			
2020-05-06	3	0			
2020-05-07	3	0			
2020-05-08	3	0			
2020-05-09	3	0			
2020-05-10	3	0			
2020-05-11	3	0			
2020-05-12	3	0			
2020-05-13	3	0			
2020-05-14	3	0			
2020-05-15	3	0			
2020-05-16	3	0			
2020-05-17	3	0			
2020-05-18	3	0			
2020-05-19	3	0			
2020-05-20	3	0			
2020-05-21	3	0			
2020-05-22	3	0			
2020-05-23	3	0			
2020-05-24	3	0			
2020-05-25	3	0			
2020-05-26	3	0			
2020-05-27	3	0			
2020-05-28	3	0			
2020-05-29	3	0			
2020-05-30	3	0			
2020-05-31	3	0			
2020-06-01	3	0			
2020-06-02	3	0			
2020-06-03	3	0			
2020-06-04	3	0			
2020-06-05	3	0			
2020-06-06	3	0			
2020-06-07	3	0			
2020-06-08	3	0			
2020-06-09	3	0			
2020-06-10	3	0			
2020-06-11	3	0			
2020-06-12	3	0			
2020-06-13	3	0			
2020-06-14	3	0			
2020-06-15	3	0			
2020-06-16	3	0			
2020-06-17	3	0			
2020-06-18	3	0			
2020-06-19	3	0			
2020-06-20	3	0			
2020-06-21	3	0			
2020-06-22	3	0			
2020-06-23	3	0			
2020-06-24	3	0			
2020-06-25	3	0			
2020-06-26	3	0			
2020-06-27	3	0			
2020-06-28	3	0			
2020-06-29	3	0			
2020-06-30	3	0			
2020-07-01	3	0			
2020-07-02	3	0			
2020-07-03	3	0			
2020-07-04	3	0			
2020-07-05	3	0			
2020-07-06	3	0			
2020-07-07	3	0			
2020-07-08	3	0			
2020-07-09	3	0			
2020-07-10	3	0			
2020-07-11	3	0			
2020-07-12	3	0			
2020-07-13	3	0			
2020-07-14	3	0			
2020-07-15	3	0			
2020-07-16	3	0			
