# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-15	1	0			
2020-03-21	1	0			
2020-03-22	1	0			
2020-03-23	1	0			
2020-03-24	1	0			
2020-03-25	3	0			
2020-03-26	3	0			
2020-03-27	7	0			
2020-03-28	7	0			
2020-03-29	7	0			
2020-03-30	7	0			
2020-03-31	7	0			
2020-04-01	7	0			
2020-04-02	7	0			
2020-04-03	9	0			
2020-04-04	15	0			
2020-04-05	15	0			
2020-04-06	15	0			
2020-04-07	15	0			
2020-04-08	15	0			
2020-04-09	15	0			
2020-04-10	19	2			
2020-04-11	21	2			
2020-04-12	21	2			
2020-04-13	21	2			
2020-04-14	23	2			
2020-04-15	23	2			
2020-04-16	23	2			
2020-04-17	23	2			
2020-04-18	23	2			
2020-04-19	23	2			
2020-04-20	23	2			
2020-04-21	23	3			
2020-04-22	24	3			
2020-04-23	24	3			
2020-04-24	24	3			
2020-04-25	24	3			
2020-04-26	24	3			
2020-04-27	24	3			
2020-04-28	24	3			
2020-04-29	24	3			
2020-04-30	24	3			
2020-05-01	24	3			
2020-05-02	25	3			
2020-05-03	25	3			
2020-05-04	25	3			
2020-05-05	25	3			
2020-05-06	25	3			
2020-05-07	25	3			
2020-05-08	25	3			
2020-05-09	25	3			
2020-05-10	25	3			
2020-05-11	25	3			
2020-05-12	25	3			
2020-05-13	25	3			
2020-05-14	25	3			
2020-05-15	25	3			
2020-05-16	25	3			
2020-05-17	25	3			
2020-05-18	25	3			
2020-05-19	25	3			
2020-05-20	25	3			
2020-05-21	25	3			
2020-05-22	25	3			
2020-05-23	25	3			
2020-05-24	25	3			
2020-05-25	25	3			
2020-05-26	25	3			
2020-05-27	25	3			
2020-05-28	25	3			
2020-05-29	25	3			
2020-05-30	25	3			
2020-05-31	25	3			
2020-06-01	25	3			
2020-06-02	25	3			
2020-06-03	25	3			
2020-06-04	26	3			
2020-06-05	26	3			
2020-06-06	26	3			
2020-06-07	26	3			
2020-06-08	26	3			
2020-06-09	26	3			
2020-06-10	26	3			
2020-06-11	26	3			
2020-06-12	26	3			
2020-06-13	26	3			
2020-06-14	26	3			
2020-06-15	26	3			
2020-06-16	26	3			
2020-06-17	26	3			
2020-06-18	26	3			
2020-06-19	26	3			
2020-06-20	26	3			
2020-06-21	26	3			
2020-06-22	26	3			
2020-06-23	26	3			
2020-06-24	26	3			
2020-06-25	65	3			
2020-06-26	65	3			
2020-06-27	65	3			
2020-06-28	65	3			
2020-06-29	65	3			
2020-06-30	66	3			
2020-07-01	66	3			
2020-07-02	66	3			
2020-07-03	68	3			
2020-07-04	68	3			
2020-07-05	68	3			
2020-07-06	68	3			
2020-07-07	70	3			
2020-07-08	70	3			
2020-07-09	73	3			
2020-07-10	73	3			
2020-07-11	74	3			
2020-07-12	74	3			
2020-07-13	74	3			
2020-07-14	74	3			
2020-07-15	74	3			
2020-07-16	74	3			
2020-07-17	74	3			
2020-07-18	76	3			
2020-07-19	76	3			
2020-07-20	76	3			
2020-07-21	76	3			
2020-07-22	76	3			
2020-07-23	76	3			
2020-07-24	76	3			
2020-07-25	82	3			
2020-07-26	82	3			
2020-07-27	82	3			
2020-07-28	86	3			
2020-07-29	86	3			
2020-07-30	91	3			
2020-07-31	91	3			
2020-08-01	91	3			
2020-08-02	91	3			
2020-08-03	91	3			
2020-08-04	92	3			
2020-08-05	92	3			
2020-08-06	92	3			
2020-08-07	92	3			
2020-08-08	92	3			
2020-08-09	92	3			
2020-08-10	92	3			
2020-08-11	92	3			
2020-08-12	92	3			
2020-08-13	92	3			
2020-08-14	93	3			
2020-08-15	93	3			
2020-08-16	93	3			
2020-08-17	93	3			
2020-08-18	93	3			
2020-08-19	93	3			
2020-08-20	94	3			
2020-08-21	94	3			
2020-08-22	94	3			
2020-08-23	94	3			
2020-08-24	94	3			
2020-08-25	94	3			
2020-08-26	94	3			
2020-08-27	94	3			
2020-08-28	94	3			
2020-08-29	94	3			
2020-08-30	94	3			
2020-08-31	94	3			
2020-09-01	94	3			
2020-09-02	94	3			
2020-09-03	94	3			
2020-09-04	95	3			
2020-09-05	95	3			
2020-09-06	95	3			
2020-09-07	95	3			
2020-09-08	95	3			
2020-09-09	95	3			
2020-09-10	95	3			
2020-09-11	95	3			
2020-09-12	95	3			
2020-09-13	95	3			
2020-09-14	95	3			
2020-09-15	95	3			
2020-09-16	95	3			
2020-09-17	95	3			
2020-09-18	95	3			
2020-09-19	95	3			
2020-09-20	96	3			
2020-09-21	96	3			
2020-09-22	96	3			
2020-09-23	96	3			
2020-09-24	97	3			
2020-09-25	98	3			
2020-09-26	98	3			
2020-09-27	101	3			
2020-09-28	101	3			
2020-09-29	101	3			
2020-09-30	101	3			
2020-10-01	101	3			
2020-10-02	106	3			
2020-10-03	106	3			
2020-10-04	107	3			
2020-10-05	107	3			
2020-10-06	107	3			
2020-10-07	108	3			
2020-10-08	108	3			
2020-10-09	111	3			
2020-10-10	111	3			
2020-10-11	111	3			
2020-10-12	111	3			
2020-10-13	111	3			
2020-10-14	111	3			
2020-10-15	112	3			
2020-10-16	112	3			
2020-10-17	112	3			
2020-10-18	119	3			
2020-10-19	119	3			
2020-10-20	119	3			
2020-10-21	119	3			
2020-10-22	122	3			
2020-10-23	122	3			
2020-10-24	122	3			
2020-10-25	124	3			
2020-10-26	124	3			
2020-10-27	124	3			
2020-10-28	124	3			
2020-10-29	124	3			
2020-10-30	124	3			
2020-10-31	127	3			
2020-11-01	128	3			
2020-11-02	128	3			
2020-11-03	128	3			
2020-11-04	130	3			
2020-11-05	130	3			
2020-11-06	130	3			
2020-11-07	130	3			
2020-11-08	131	3			
2020-11-09	131	3			
2020-11-10	131	3			
2020-11-11	131	3			
2020-11-12	131	3			
2020-11-13	131	3			
2020-11-14	133	4			
2020-11-15	134	4			
2020-11-16	134	4			
2020-11-17	134	4			
2020-11-18	134	4			
2020-11-19	139	4			
2020-11-20	139	4			
2020-11-21	139	4			
2020-11-22	139	4			
2020-11-23	139	4			
2020-11-24	139	4			
