# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	0	0			
2020-01-27	0	0			
2020-01-28	0	0			
2020-01-29	0	0			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	0	0			
2020-03-01	1	0			
2020-03-02	1	0			
2020-03-12	4	0			
2020-03-13	6	0			
2020-03-14	13	0			
2020-03-15	20	0			
2020-03-16	28	0			
2020-03-17	45	0			
2020-03-18	78	0			
2020-03-19	110	0			
2020-03-20	136	0			
2020-03-21	160	0			
2020-03-22	190	0			
2020-03-23	194	0			
2020-03-24	235	0			
2020-03-25	265	0			
2020-03-26	290	0			
2020-03-27	329	1			
2020-03-28	372	1			
2020-03-29	424	1			
2020-03-30	482	3			
2020-03-31	532	3			
2020-04-01	571	3			
2020-04-02	663	4			
2020-04-03	736	7			
2020-04-04	770	7			
2020-04-05	822	7			
2020-04-06	833	8			
2020-04-07	853	8			
2020-04-08	881	9			
2020-04-09	921	10			
2020-04-10	937	11			
2020-04-11	967	13			
2020-04-12	1013	13			
2020-04-13	1039	14			
2020-04-14	1067	16			
2020-04-15	1111	17			
2020-04-16	1159	18			
2020-04-17	1201	19			
2020-04-18	1248	20			
2020-04-19	1291	20			
2020-04-20	1339	22			
2020-04-21	1401	24			
2020-04-22	1473	24			
2020-04-23	1523	24			
2020-04-24	1596	27			
2020-04-25	1677	28			
2020-04-26	1746	28			
2020-04-27	1808	29			
2020-04-28	1867	30			
2020-04-29	1932	30			
2020-04-30	2066	32			
2020-05-01	2148	33			
2020-05-02	2273	33			
2020-05-03	2386	35			
2020-05-04	2507	39			
2020-05-05	2619	40			
2020-05-06	2782	40			
2020-05-07	2884	42			
2020-05-08	3029	43			
2020-05-09	3175	44			
2020-05-10	3313	45			
2020-05-11	3392	46			
2020-05-12	3538	47			
2020-05-13	3718	48			
2020-05-14	3860	49			
2020-05-15	4044	52			
2020-05-16	4283	55			
2020-05-17	4472	60			
2020-05-18	4823	61			
2020-05-19	5041	64			
2020-05-20	5271	67			
2020-05-21	5606	70			
2020-05-22	5928	74			
2020-05-23	6302	77			
2020-05-24	6661	81			
2020-05-25	7113	87			
2020-05-26	7402	91			
2020-05-27	7774	98			
2020-05-28	8216	113			
2020-05-29	8676	120			
2020-05-30	8927	127			
2020-05-31	9282	131			
2020-06-01	9492	139			
2020-06-02	10009	158			
2020-06-03	10524	170			
2020-06-04	11221	176			
2020-06-05	11817	183			
2020-06-06	12364	190			
2020-06-07	13130	200			
2020-06-08	13325	211			
2020-06-09	13675	217			
2020-06-10	14103	227			
2020-06-11	14669	245			
2020-06-12	15281	258			
2020-06-13	16004	264			
2020-06-14	16667	269			
2020-06-15	17064	285			
2020-06-16	17489	293			
2020-06-17	18033	302			
2020-06-18	18698	309			
2020-06-19	19157	319			
2020-06-20	19708	332			
2020-06-21	20268	350			
2020-06-22	20588	360			
2020-06-23	21006	372			
2020-06-24	21717	386			
2020-06-25	22488	397			
2020-06-26	23247	410			
2020-06-27	23909	420			
2020-06-28	24645	426			
2020-06-29	25127	433			
2020-06-30	25542	443			
2020-07-01	26065	453			
2020-07-02	26658	459			
2020-07-03	27320	469			
2020-07-04	27900	477			
2020-07-05	28606	484			
2020-07-06	28936	491			
2020-07-07	29285	503			
2020-07-08	29820	521			
2020-07-09	30346	535			
2020-07-10	30903	546			
2020-07-11	31392	559			
2020-07-12	31969	565			
2020-07-13	32151	573			
2020-07-14	32490	581			
2020-07-15	33005	592			
2020-07-16	33559	607			
2020-07-17	34001	620			
2020-07-18	34462	631			
2020-07-19	34877	641			
2020-07-20	34981	650			
2020-07-21	35254	662			
2020-07-22	35693	678			
2020-07-23	36162	688			
2020-07-24	36613	692			
2020-07-25	36996	700			
2020-07-26	37317	705			
2020-07-27	37390	711			
2020-07-28	37629	719			
2020-07-29	37937	723			
2020-07-30	38196	728			
2020-07-31	38550	738			
2020-08-01	38841	749			
2020-08-02	39050	754			
2020-08-03	39102	762			
2020-08-04	39102	762			
2020-08-05	39298	768			
2020-08-06	39586	770			
2020-08-07	39819	772			
2020-08-08	39885	777			
2020-08-09	40185	785			
2020-08-10	40410	791			
2020-08-11	40433	796			
2020-08-12	40593	803			
2020-08-13	40794	806			
2020-08-14	41023	809			
2020-08-15	41299	814			
2020-08-16	41495	817			
2020-08-17	41663	818			
2020-08-18	41701	824			
2020-08-19	41846	832			
2020-08-20	42056	833			
2020-08-21	42319	836			
2020-08-22	42477	842			
2020-08-23	42616	850			
2020-08-24	42792	852			
2020-08-25	42825	854			
2020-08-26	42936	858			
2020-08-27	43067	861			
2020-08-28	43270	864			
2020-08-29	43451	869			
2020-08-30	43626	872			
2020-08-31	43750	877			
2020-09-01	43781	879			
2020-09-02	43878	881			
2020-09-03	44075	884			
2020-09-04	44271	887			
2020-09-05	44461	891			
2020-09-06	44649	895			
2020-09-07	44783	897			
2020-09-08	44845	900			
2020-09-09	44953	903			
2020-09-10	45152	905			
2020-09-11	45326	906			
2020-09-12	45503	909			
2020-09-13	45675	911			
2020-09-14	45862	916			
2020-09-15	45969	919			
2020-09-16	46119	920			
2020-09-17	46376	923			
2020-09-18	46671	925			
2020-09-19	46910	926			
2020-09-20	47154	928			
2020-09-21	47431	930			
2020-09-22	47552	936			
2020-09-23	47667	938			
2020-09-24	47877	942			
2020-09-25	48251	945			
2020-09-26	48643	947			
2020-09-27	49072	948			
2020-09-28	49400	951			
2020-09-29	49574	957			
2020-09-30	49901	958			
2020-10-01	50359	959			
2020-10-02	50850	963			
2020-10-03	51382	966			
2020-10-04	51925	972			
2020-10-05	52496	977			
2020-10-06	52677	984			
2020-10-07	53083	990			
2020-10-08	53755	995			
2020-10-09	54473	1005			
2020-10-10	55087	1010			
2020-10-11	55736	1016			
2020-10-12	56451	1020			
2020-10-13	57566	1032			
2020-10-14	58624	1039			
2020-10-15	58624	1039			
2020-10-16	59995	1046			
2020-10-17	61460	1056			
2020-10-18	63000	1067			
2020-10-19	64694	1081			
2020-10-20	65460	1091			
2020-10-21	66694	1101			
2020-10-22	68530	1121			
2020-10-23	70836	1131			
2020-10-24	73310	1145			
2020-10-25	77837	1180			
2020-10-26	78810	1196			
2020-10-27	80410	1222			
2020-10-28	82651	1243			
2020-10-29	85034	1272			
2020-10-30	87432	1300			
2020-10-31	89813	1341			
2020-11-01	92254	1363			
2020-11-02	93448	1391			
2020-11-03	94776	1413			
2020-11-04	97150	1448			
2020-11-05	99563	1476			
2020-11-06	101773	1506			
2020-11-07	104249	1533			
2020-11-08	106424	1559			
2020-11-09	107466	1580			
2020-11-10	108687	1609			
2020-11-11	110687	1636			
2020-11-12	112680	1668			
2020-11-13	114383	1697			
2020-11-14	115855	1738			
2020-11-15	117337	1763			
2020-11-16	117886	1788			
2020-11-17	118870	1811			
2020-11-18	120459	1839			
2020-11-19	121979	1870			
2020-11-20	123646	1900			
2020-11-21	124839	1931			
2020-11-22	126224	1952			
2020-11-23	126709	1976			
2020-11-24	127522	2002			
2020-11-25	129085	2040			
2020-11-26	130870	2068			
2020-11-27	132346	2090			
2020-11-28	133594	2121			
2020-11-29	134768	2142			
2020-11-30	135124	2164			
2020-12-01	135967	2193			
