# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-16	1	0			
2020-03-17	1	0			
2020-03-20	3	0			
2020-03-21	4	0			
2020-03-22	4	0			
2020-03-23	4	0			
2020-03-24	4	0			
2020-03-25	4	0			
2020-03-26	5	0			
2020-03-27	9	0			
2020-03-28	9	0			
2020-03-29	11	0			
2020-03-30	14	0			
2020-03-31	14	0			
2020-04-01	15	0			
2020-04-02	21	1			
2020-04-03	24	1			
2020-04-04	24	3			
2020-04-05	28	4			
2020-04-06	29	5			
2020-04-07	33	5			
2020-04-08	36	6			
2020-04-09	40	7			
2020-04-10	41	8			
2020-04-11	42	8			
2020-04-12	46	8			
2020-04-13	47	8			
2020-04-14	49	8			
