# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	0	0			
2020-01-27	0	0			
2020-01-28	0	0			
2020-01-29	0	0			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	1	0			
2020-02-29	1	0			
2020-03-01	1	0			
2020-03-02	1	0			
2020-03-04	4	0			
2020-03-05	6	0			
2020-03-11	9	0			
2020-03-12	12	0			
2020-03-13	21	0			
2020-03-16	27	0			
2020-03-17	36	0			
2020-03-18	36	0			
2020-03-19	46	0			
2020-03-20	57	0			
2020-03-21	57	0			
2020-03-22	76	0			
2020-03-23	76	0			
2020-03-24	81	0			
2020-03-25	81	0			
2020-03-26	86	0			
2020-03-27	86	0			
2020-03-28	94	0			
2020-03-29	94	0			
2020-03-30	94	0			
2020-03-31	105	0			
2020-04-01	152	0			
2020-04-02	152	0			
2020-04-03	254	4			
2020-04-04	351	4			
2020-04-05	394	5			
2020-04-06	564	8			
2020-04-07	700	13			
2020-04-08	861	13			
2020-04-09	1066	13			
2020-04-10	1486	16			
2020-04-11	1981	19			
2020-04-12	2226	23			
2020-04-13	2578	26			
2020-04-14	2919	29			
2020-04-15	3281	33			
2020-04-16	3728	36			
2020-04-17	4204	40			
2020-04-18	4779	42			
2020-04-19	4779	45			
2020-04-20	4779	47			
2020-04-21	6264	51			
2020-04-22	6723	55			
2020-04-23	7281	58			
2020-04-24	8022	60			
2020-04-25	8773	63			
2020-04-26	9590	67			
2020-04-27	10463	72			
2020-04-28	11289	75			
2020-04-29	12208	79			
2020-04-30	13181	84			
2020-05-01	14027	89			
