# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-24	1	0			
2020-03-25	1	0			
2020-03-26	2	0			
2020-03-27	2	0			
2020-03-28	2	0			
2020-03-29	2	0			
2020-03-30	2	0			
2020-03-31	3	0			
2020-04-01	3	0			
2020-04-02	3	0			
2020-04-03	3	0			
2020-04-04	4	0			
2020-04-05	4	0			
2020-04-06	5	1			
2020-04-07	7	1			
2020-04-08	7	1			
2020-04-09	8	1			
2020-04-10	9	1			
2020-04-11	10	2			
2020-04-12	13	2			
2020-04-13	14	2			
2020-04-14	18	2			
2020-04-15	18	2			
2020-04-16	18	2			
2020-04-17	18	2			
2020-04-18	18	2			
2020-04-19	18	2			
2020-04-20	18	2			
2020-04-21	18	2			
2020-04-22	18	2			
2020-04-23	18	2			
2020-04-24	18	2			
2020-04-25	18	2			
2020-04-26	18	2			
2020-04-27	18	2			
2020-04-28	18	2			
2020-04-29	18	2			
2020-04-30	18	2			
2020-05-01	18	2			
2020-05-02	18	2			
2020-05-03	18	2			
2020-05-04	18	2			
2020-05-05	18	2			
2020-05-06	18	2			
2020-05-07	18	2			
2020-05-08	18	2			
2020-05-09	18	2			
2020-05-10	18	2			
2020-05-11	18	2			
2020-05-12	18	2			
2020-05-13	18	2			
2020-05-14	18	2			
2020-05-15	18	2			
2020-05-16	18	2			
2020-05-17	18	2			
2020-05-18	18	2			
2020-05-19	18	2			
2020-05-20	18	2			
2020-05-21	18	2			
2020-05-22	18	2			
2020-05-23	18	2			
2020-05-24	18	2			
2020-05-25	18	2			
2020-05-26	18	2			
2020-05-27	18	2			
2020-05-28	18	2			
2020-05-29	18	2			
2020-05-30	18	2			
2020-05-31	18	2			
2020-06-01	18	2			
2020-06-02	18	2			
2020-06-03	18	2			
2020-06-04	18	2			
2020-06-05	18	2			
2020-06-06	18	2			
2020-06-07	18	2			
2020-06-08	18	2			
2020-06-09	19	2			
2020-06-10	20	2			
2020-06-11	20	2			
2020-06-12	20	2			
2020-06-13	20	2			
2020-06-14	20	2			
2020-06-15	21	2			
2020-06-16	21	2			
2020-06-17	21	2			
2020-06-18	22	2			
2020-06-19	22	2			
2020-06-20	22	2			
2020-06-21	22	2			
2020-06-22	22	2			
2020-06-23	23	2			
2020-06-24	23	2			
2020-06-25	23	2			
2020-06-26	23	2			
2020-06-27	24	2			
2020-06-28	24	2			
2020-06-29	24	2			
2020-06-30	24	2			
2020-07-01	28	2			
2020-07-02	28	2			
2020-07-03	28	2			
2020-07-04	30	2			
2020-07-05	30	2			
2020-07-06	30	2			
2020-07-07	30	2			
2020-07-08	30	2			
2020-07-09	30	2			
2020-07-10	33	2			
2020-07-11	37	2			
2020-07-12	37	2			
2020-07-13	37	2			
2020-07-14	37	2			
2020-07-15	39	2			
2020-07-16	39	2			
2020-07-17	40	2			
2020-07-18	40	2			
2020-07-19	40	2			
2020-07-20	40	2			
2020-07-21	42	2			
2020-07-22	43	2			
2020-07-23	43	2			
2020-07-24	47	2			
2020-07-25	48	2			
2020-07-26	48	2			
2020-07-27	48	2			
2020-07-28	48	2			
2020-07-29	48	2			
2020-07-30	48	2			
2020-07-31	48	2			
2020-08-01	48	2			
2020-08-02	56	2			
2020-08-03	57	2			
2020-08-04	57	2			
2020-08-05	72	2			
2020-08-06	86	2			
2020-08-07	114	2			
2020-08-08	146	2			
2020-08-09	153	2			
2020-08-10	154	2			
2020-08-11	177	2			
2020-08-12	210	2			
2020-08-13	296	2			
2020-08-14	356	2			
2020-08-15	388	3			
2020-08-16	452	3			
2020-08-17	452	3			
2020-08-18	475	4			
2020-08-19	553	4			
2020-08-20	553	5			
2020-08-21	605	5			
2020-08-22	648	5			
2020-08-23	668	6			
2020-08-24	686	6			
2020-08-25	713	10			
2020-08-26	730	10			
2020-08-27	760	11			
2020-08-28	818	12			
2020-08-29	870	12			
2020-08-30	964	13			
2020-08-31	994	13			
2020-09-01	1007	13			
2020-09-02	1050	13			
2020-09-03	1101	13			
2020-09-04	1118	13			
2020-09-05	1152	15			
2020-09-06	1194	15			
2020-09-07	1261	15			
2020-09-08	1307	16			
2020-09-09	1361	16			
2020-09-10	1365	18			
2020-09-11	1399	19			
2020-09-12	1435	19			
2020-09-13	1458	19			
2020-09-14	1480	19			
2020-09-15	1501	19			
2020-09-16	1528	19			
2020-09-17	1536	19			
2020-09-18	1567	19			
2020-09-19	1590	20			
2020-09-20	1606	20			
2020-09-21	1627	21			
2020-09-22	1635	21			
2020-09-23	1669	21			
2020-09-24	1706	22			
2020-09-25	1758	22			
2020-09-26	1808	23			
2020-09-27	1825	24			
2020-09-28	1854	24			
2020-09-29	1891	24			
2020-09-30	1943	26			
2020-10-01	1992	27			
2020-10-02	2026	27			
2020-10-03	2080	28			
2020-10-04	2131	29			
2020-10-05	2196	30			
2020-10-06	2204	30			
2020-10-07	2243	34			
2020-10-08	2310	34			
2020-10-09	2373	34			
2020-10-10	2373	34			
