# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-04-02	2	0			
2020-04-03	2	0			
2020-04-04	2	0			
2020-04-05	2	0			
2020-04-06	2	0			
2020-04-07	2	0			
2020-04-08	2	0			
2020-04-09	2	0			
2020-04-10	2	0			
2020-04-11	2	0			
2020-04-12	2	0			
2020-04-13	3	0			
2020-04-14	4	0			
2020-04-15	4	0			
2020-04-16	4	0			
2020-04-17	4	0			
2020-04-18	4	0			
2020-04-19	4	0			
2020-04-20	5	0			
2020-04-21	5	0			
2020-04-22	6	0			
2020-04-23	6	0			
2020-04-24	6	0			
2020-04-25	6	0			
2020-04-26	6	0			
2020-04-27	6	0			
2020-04-28	6	0			
2020-04-29	6	0			
2020-04-30	6	0			
2020-05-01	6	0			
2020-05-02	6	0			
2020-05-03	6	0			
2020-05-04	6	0			
2020-05-05	6	0			
2020-05-06	6	0			
2020-05-07	6	0			
2020-05-08	6	0			
2020-05-09	6	0			
2020-05-10	6	0			
2020-05-11	6	0			
2020-05-12	6	0			
2020-05-13	6	0			
2020-05-14	6	0			
2020-05-15	6	0			
2020-05-16	6	0			
2020-05-17	6	0			
2020-05-18	6	0			
2020-05-19	6	0			
2020-05-20	6	0			
2020-05-21	6	0			
2020-05-22	6	0			
2020-05-23	6	0			
2020-05-24	6	0			
2020-05-25	7	0			
2020-05-26	7	0			
2020-05-27	7	0			
2020-05-28	7	0			
2020-05-29	7	0			
2020-05-30	7	0			
2020-05-31	7	0			
2020-06-01	7	0			
2020-06-02	7	0			
2020-06-03	7	0			
2020-06-04	7	0			
2020-06-05	7	0			
2020-06-06	7	0			
2020-06-07	7	0			
2020-06-08	7	0			
2020-06-09	7	0			
2020-06-10	7	0			
2020-06-11	7	0			
2020-06-12	7	0			
2020-06-13	7	0			
2020-06-14	7	0			
2020-06-15	7	0			
2020-06-16	7	0			
2020-06-17	7	0			
2020-06-18	7	0			
2020-06-19	7	0			
2020-06-20	7	0			
2020-06-21	7	0			
2020-06-22	7	0			
2020-06-23	7	0			
2020-06-24	7	0			
2020-06-25	7	0			
2020-06-26	7	0			
2020-06-27	7	0			
2020-06-28	7	0			
2020-06-29	7	0			
2020-06-30	7	0			
2020-07-01	7	0			
2020-07-02	7	0			
2020-07-03	7	0			
2020-07-04	7	0			
2020-07-05	7	0			
2020-07-06	7	0			
2020-07-07	7	0			
2020-07-08	7	0			
2020-07-09	7	0			
2020-07-10	7	0			
2020-07-11	7	0			
2020-07-12	7	0			
2020-07-13	7	0			
2020-07-14	7	0			
2020-07-15	9	0			
2020-07-16	9	0			
2020-07-17	10	0			
2020-07-18	10	0			
2020-07-19	10	0			
2020-07-20	10	0			
2020-07-21	10	0			
2020-07-22	10	0			
2020-07-23	10	0			
2020-07-24	11	0			
2020-07-25	11	0			
2020-07-26	11	0			
2020-07-27	11	0			
2020-07-28	11	0			
2020-07-29	11	0			
2020-07-30	11	0			
2020-07-31	11	0			
2020-08-01	11	0			
2020-08-02	11	0			
2020-08-03	11	0			
2020-08-04	13	0			
2020-08-05	13	0			
2020-08-06	13	0			
2020-08-07	13	0			
2020-08-08	13	0			
2020-08-09	13	0			
2020-08-10	13	0			
2020-08-11	13	0			
2020-08-12	13	0			
2020-08-13	13	0			
2020-08-14	13	0			
2020-08-15	13	0			
2020-08-16	13	0			
2020-08-17	13	0			
2020-08-18	13	0			
2020-08-19	13	0			
2020-08-20	13	0			
2020-08-21	13	0			
2020-08-22	13	0			
2020-08-23	13	0			
2020-08-24	13	0			
2020-08-25	13	0			
2020-08-26	13	0			
2020-08-27	13	0			
2020-08-28	14	0			
2020-08-29	15	0			
2020-08-30	15	0			
2020-08-31	15	0			
2020-09-01	15	0			
2020-09-02	15	0			
2020-09-03	18	0			
2020-09-04	18	0			
2020-09-05	18	0			
2020-09-06	18	0			
2020-09-07	18	0			
2020-09-08	19	0			
2020-09-09	23	0			
2020-09-10	25	0			
2020-09-11	25	0			
2020-09-12	25	0			
2020-09-13	25	0			
2020-09-14	26	0			
2020-09-15	27	1			
2020-09-16	28	1			
2020-09-17	32	1			
2020-09-18	36	1			
2020-09-19	36	1			
2020-09-20	36	1			
2020-09-21	36	1			
2020-09-22	56	1			
2020-09-23	64	1			
2020-09-24	69	1			
2020-09-25	78	1			
2020-09-26	85	1			
2020-09-27	85	1			
2020-09-28	85	1			
2020-09-29	106	1			
2020-09-30	106	1			
2020-10-01	106	1			
2020-10-02	106	1			
2020-10-03	124	1			
2020-10-04	124	1			
2020-10-05	124	1			
2020-10-06	124	1			
2020-10-07	141	2			
2020-10-08	145	2			
2020-10-09	147	2			
2020-10-10	147	2			
2020-10-11	147	2			
2020-10-12	148	2			
2020-10-13	150	2			
2020-10-14	150	2			
2020-10-15	150	2			
2020-10-16	150	2			
2020-10-17	150	2			
2020-10-18	150	2			
2020-10-19	150	2			
2020-10-20	150	3			
2020-10-21	150	3			
2020-10-22	150	3			
2020-10-23	150	3			
2020-10-24	150	3			
2020-10-25	150	3			
2020-10-26	150	3			
2020-10-27	150	3			
2020-10-28	150	3			
2020-10-29	153	3			
2020-10-30	153	3			
2020-10-31	153	3			
2020-11-01	153	3			
2020-11-02	153	3			
2020-11-03	153	3			
2020-11-04	153	3			
2020-11-05	153	3			
2020-11-06	154	3			
2020-11-07	154	3			
2020-11-08	154	3			
2020-11-09	154	3			
2020-11-10	154	3			
2020-11-11	154	3			
2020-11-12	154	3			
2020-11-13	155	3			
2020-11-14	155	3			
2020-11-15	155	3			
2020-11-16	155	3			
2020-11-17	157	3			
2020-11-18	157	3			
2020-11-19	158	3			
2020-11-20	158	3			
2020-11-21	158	3			
2020-11-22	158	3			
2020-11-23	161	3			
2020-11-24	161	3			
