# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-11	2	0			
2020-03-12	2	0			
2020-03-15	3	0			
2020-03-16	3	0			
2020-03-17	20	0			
2020-03-18	20	0			
2020-03-19	26	1			
2020-03-20	33	1			
2020-03-21	40	1			
2020-03-22	64	3			
2020-03-23	64	3			
2020-03-24	75	3			
2020-03-25	99	3			
2020-03-26	114	3			
2020-03-27	146	3			
2020-03-28	146	3			
2020-03-29	180	9			
2020-03-30	180	9			
2020-03-31	222	12			
2020-04-01	246	12			
2020-04-02	261	14			
2020-04-03	288	16			
2020-04-04	288	16			
2020-04-05	302	16			
2020-04-06	345	17			
2020-04-07	364	17			
2020-04-08	384	19			
2020-04-09	414	23			
2020-04-10	443	24			
2020-04-11	448	26			
2020-04-12	484	27			
2020-04-13	497	27			
2020-04-14	515	28			
2020-04-15	528	30			
2020-04-16	542	32			
2020-04-17	543	32			
2020-04-18	557	35			
2020-04-19	565	36			
2020-04-20	576	36			
2020-04-21	581	38			
2020-04-22	600	38			
2020-04-23	609	39			
2020-04-24	616	41			
2020-04-25	626	41			
2020-04-26	629	41			
2020-04-27	632	42			
2020-04-28	635	42			
2020-04-29	638	42			
2020-04-30	641	43			
2020-05-01	645	43			
