# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-04-01	2	0			
2020-04-02	2	0			
2020-04-03	3	0			
2020-04-04	3	0			
2020-04-05	3	0			
2020-04-06	3	0			
2020-04-07	3	0			
2020-04-08	3	0			
2020-04-09	3	0			
2020-04-10	3	0			
2020-04-11	3	0			
2020-04-12	5	0			
2020-04-13	5	0			
2020-04-14	5	0			
2020-04-15	5	1			
2020-04-16	5	1			
2020-04-17	5	1			
2020-04-18	6	1			
2020-04-19	6	1			
2020-04-20	6	1			
2020-04-21	6	1			
2020-04-22	6	1			
2020-04-23	11	1			
2020-04-24	11	1			
2020-04-25	12	1			
2020-04-26	15	1			
2020-04-27	15	1			
2020-04-28	15	1			
2020-04-29	15	1			
2020-04-30	15	1			
2020-05-01	15	1			
