# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	27	0			
2020-01-01	27	0			
2020-01-02	27	0			
2020-01-03	44	0			
2020-01-04	44	0			
2020-01-05	59	0			
2020-01-06	59	0			
2020-01-07	59	0			
2020-01-08	59	0			
2020-01-09	59	0			
2020-01-10	59	0			
2020-01-11	59	1			
2020-01-12	59	1			
2020-01-13	59	1			
2020-01-14	59	1			
2020-01-15	59	2			
2020-01-16	59	2			
2020-01-17	63	2			
2020-01-18	80	2			
2020-01-19	216	3			
2020-01-20	235	3			
2020-01-21	386	6			
2020-01-22	526	17			
2020-01-23	623	17			
2020-01-24	882	26			
2020-01-25	1323	41			
2020-01-26	1988	56			
2020-01-27	2775	81			
2020-01-28	4528	106			
2020-01-29	5994	132			
2020-01-30	7734	170			
2020-01-31	9714	213			
2020-02-01	11809	259			
2020-02-02	14399	304			
2020-02-03	17211	361			
2020-02-04	20448	426			
2020-02-05	24320	492			
2020-02-06	28047	564			
2020-02-07	31207	637			
2020-02-08	34625	723			
2020-02-09	37232	812			
2020-02-10	40206	909			
2020-02-11	42696	1017			
2020-02-12	44724	1114			
2020-02-13	59865	1368			
2020-02-14	64021	1381			
2020-02-15	66559	1524			
2020-02-16	68566	1666			
2020-02-17	70618	1771			
2020-02-18	72508	1869			
2020-02-19	74258	2008			
2020-02-20	74652	2120			
2020-02-21	75543	2238			
2020-02-22	76369	2347			
2020-02-23	77016	2445			
2020-02-24	77234	2595			
2020-02-25	77749	2665			
2020-02-26	78159	2717			
2020-02-27	78598	2746			
2020-02-28	78927	2790			
2020-02-29	79355	2837			
2020-03-01	79929	2872			
2020-03-02	80134	2914			
2020-03-03	80261	2946			
2020-03-04	80380	2983			
2020-03-05	80497	3014			
2020-03-06	80667	3044			
2020-03-07	80768	3072			
2020-03-08	80814	3099			
2020-03-09	80859	3122			
2020-03-10	80879	3139			
2020-03-11	80908	3161			
2020-03-12	80932	3172			
2020-03-13	80954	3179			
2020-03-14	80973	3194			
2020-03-15	80995	3203			
2020-03-16	81020	3216			
2020-03-17	81063	3225			
2020-03-18	81086	3241			
2020-03-19	81130	3249			
2020-03-20	81229	3253			
2020-03-21	81281	3259			
2020-03-22	81346	3265			
2020-03-23	81484	3274			
2020-03-24	81553	3281			
2020-03-25	81631	3285			
2020-03-26	81733	3291			
2020-03-27	81827	3296			
2020-03-28	81946	3299			
2020-03-29	82059	3304			
2020-03-30	82157	3306			
2020-03-31	82241	3309			
2020-04-01	82295	3310			
2020-04-02	82395	3316			
2020-04-03	82465	3326			
2020-04-04	82527	3330			
2020-04-05	82575	3333			
2020-04-06	82642	3335			
2020-04-07	82698	3335			
2020-04-08	82784	3337			
2020-04-09	82870	3339			
2020-04-10	82925	3340			
2020-04-11	83004	3343			
2020-04-12	83097	3343			
2020-04-13	83209	3345			
2020-04-14	83303	3345			
2020-04-15	83352	3346			
2020-04-16	83402	3346			
2020-04-17	83754	4636			
2020-04-18	83785	4636			
2020-04-19	83803	4636			
2020-04-20	83817	4636			
2020-04-21	83849	4636			
2020-04-22	83864	4636			
2020-04-23	83876	4636			
2020-04-24	83884	4636			
2020-04-25	83899	4636			
2020-04-26	83909	4636			
2020-04-27	83912	4637			
2020-04-28	83938	4637			
2020-04-29	83940	4637			
2020-04-30	83944	4637			
2020-05-01	83956	4637			
2020-05-02	83959	4637			
2020-05-03	83961	4637			
2020-05-04	83964	4637			
2020-05-05	83966	4637			
2020-05-06	83968	4637			
2020-05-07	83970	4637			
2020-05-08	83976	4637			
2020-05-09	83976	4637			
2020-05-10	83991	4637			
2020-05-11	84010	4637			
2020-05-12	84011	4637			
2020-05-13	84018	4637			
2020-05-14	84024	4637			
2020-05-15	84029	4637			
2020-05-16	84038	4637			
2020-05-17	84044	4638			
2020-05-18	84054	4638			
2020-05-19	84063	4638			
2020-05-20	84065	4638			
2020-05-21	84067	4638			
2020-05-22	84079	4638			
2020-05-23	84081	4638			
2020-05-24	84084	4638			
2020-05-25	84095	4638			
2020-05-26	84102	4638			
2020-05-27	84103	4638			
2020-05-28	84106	4638			
2020-05-29	84106	4638			
2020-05-30	84123	4638			
2020-05-31	84128	4638			
2020-06-01	84147	4638			
2020-06-02	84154	4638			
2020-06-03	84159	4638			
2020-06-04	84160	4638			
2020-06-05	84171	4638			
2020-06-06	84177	4638			
2020-06-07	84186	4638			
2020-06-08	84191	4638			
2020-06-09	84194	4638			
2020-06-10	84198	4638			
2020-06-11	84209	4638			
2020-06-12	84216	4638			
2020-06-13	84228	4638			
2020-06-14	84288	4638			
2020-06-15	84335	4638			
2020-06-16	84378	4638			
2020-06-17	84422	4638			
2020-06-18	84458	4638			
2020-06-19	84494	4638			
2020-06-20	84524	4638			
2020-06-21	84553	4639			
2020-06-22	84572	4639			
2020-06-23	84624	4639			
2020-06-24	84653	4640			
2020-06-25	84673	4640			
2020-06-26	84701	4641			
2020-06-27	84725	4641			
2020-06-28	84743	4641			
2020-06-29	84757	4641			
2020-06-30	84780	4641			
2020-07-01	84785	4641			
2020-07-02	84816	4641			
2020-07-03	84830	4641			
2020-07-04	84839	4641			
2020-07-05	84857	4641			
2020-07-06	84871	4641			
2020-07-07	84896	4641			
2020-07-08	84917	4641			
2020-07-09	84950	4641			
2020-07-10	84996	4641			
2020-07-11	85036	4641			
2020-07-12	85071	4641			
2020-07-13	85117	4641			
2020-07-14	85172	4642			
2020-07-15	85226	4642			
2020-07-16	85246	4644			
