# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-07	1	0			
2020-03-10	3	0			
2020-03-12	9	0			
2020-03-14	16	0			
2020-03-15	34	0			
2020-03-16	45	0			
2020-03-17	57	0			
2020-03-18	65	0			
2020-03-19	102	0			
2020-03-20	128	0			
2020-03-21	158	0			
2020-03-22	210	1			
2020-03-23	235	2			
2020-03-24	306	3			
2020-03-25	378	3			
2020-03-26	470	4			
2020-03-27	491	6			
2020-03-28	539	6			
2020-03-29	608	6			
2020-03-30	702	10			
2020-03-31	798	14			
2020-04-01	906	16			
2020-04-02	1065	17			
2020-04-03	1161	19			
2020-04-04	1267	25			
2020-04-05	1406	32			
2020-04-06	1485	35			
2020-04-07	1579	46			
2020-04-08	1780	50			
2020-04-09	2054	55			
2020-04-10	2223	69			
