# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-16	1	0			
2020-03-17	1	0			
2020-03-18	1	0			
2020-03-19	3	0			
2020-03-20	3	0			
2020-03-21	3	0			
2020-03-22	4	0			
2020-03-23	4	0			
2020-03-24	4	0			
2020-03-25	4	0			
2020-03-26	4	0			
2020-03-27	4	0			
2020-03-28	4	0			
2020-03-29	19	0			
2020-03-30	19	0			
2020-03-31	19	0			
2020-04-01	22	2			
2020-04-02	22	2			
2020-04-03	41	3			
2020-04-04	41	3			
2020-04-05	45	5			
2020-04-06	45	5			
2020-04-07	45	5			
2020-04-08	45	5			
2020-04-09	60	5			
2020-04-10	60	5			
2020-04-11	60	5			
2020-04-12	60	5			
2020-04-13	70	5			
2020-04-14	70	5			
2020-04-15	74	5			
2020-04-16	117	5			
2020-04-17	117	5			
2020-04-18	143	6			
2020-04-19	143	6			
2020-04-20	160	6			
2020-04-21	160	6			
2020-04-22	165	6			
2020-04-23	186	6			
2020-04-24	186	6			
2020-04-25	200	6			
2020-04-26	200	8			
2020-04-27	200	8			
2020-04-28	207	8			
2020-04-29	207	8			
2020-04-30	220	9			
2020-05-01	220	9			
2020-05-02	229	10			
2020-05-03	229	10			
2020-05-04	229	10			
2020-05-05	236	10			
2020-05-06	236	10			
2020-05-07	264	10			
2020-05-08	274	10			
2020-05-09	287	10			
2020-05-10	287	10			
2020-05-11	287	10			
2020-05-12	333	11			
2020-05-13	333	11			
2020-05-14	341	11			
2020-05-15	391	15			
2020-05-16	391	15			
2020-05-17	412	15			
2020-05-18	412	15			
2020-05-19	412	15			
2020-05-20	420	15			
2020-05-21	420	15			
2020-05-22	469	16			
2020-05-23	469	16			
2020-05-24	487	16			
2020-05-25	487	16			
2020-05-26	531	17			
2020-05-27	569	19			
2020-05-28	571	19			
2020-05-29	571	19			
2020-05-30	587	19			
