# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-12	3	0			
2020-03-14	4	0			
2020-03-15	4	0			
2020-03-18	7	0			
2020-03-19	11	1			
2020-03-20	16	1			
2020-03-21	21	1			
2020-03-22	25	1			
2020-03-23	35	1			
2020-03-24	40	1			
2020-03-25	48	1			
2020-03-26	57	1			
2020-03-27	67	2			
2020-03-28	80	2			
2020-03-29	119	3			
2020-03-30	139	3			
2020-03-31	170	4			
2020-04-01	186	6			
2020-04-02	212	6			
2020-04-03	233	6			
2020-04-04	269	6			
2020-04-05	288	6			
2020-04-06	320	8			
2020-04-07	350	9			
2020-04-08	396	11			
2020-04-09	457	12			
2020-04-10	515	15			
2020-04-11	564	15			
2020-04-12	620	16			
2020-04-13	669	18			
2020-04-14	726	21			
2020-04-15	766	21			
2020-04-16	814	24			
2020-04-17	862	27			
2020-04-18	923	31			
2020-04-19	986	32			
2020-04-20	1035	34			
2020-04-21	1087	36			
2020-04-22	1137	38			
2020-04-23	1189	40			
2020-04-24	1235	43			
2020-04-25	1285	49			
2020-04-26	1337	51			
2020-04-27	1369	54			
2020-04-28	1389	56			
2020-04-29	1437	58			
2020-04-30	1467	58			
2020-05-01	1501	61			
2020-05-02	1537	64			
2020-05-03	1611	66			
2020-05-04	1649	67			
2020-05-05	1668	69			
2020-05-06	1685	69			
2020-05-07	1703	69			
2020-05-08	1729	73			
2020-05-09	1741	74			
2020-05-10	1754	74			
2020-05-11	1766	77			
2020-05-12	1783	77			
2020-05-13	1804	78			
2020-05-14	1810	79			
2020-05-15	1830	79			
2020-05-16	1840	79			
2020-05-17	1862	79			
2020-05-18	1872	79			
2020-05-19	1881	79			
2020-05-20	1887	79			
2020-05-21	1900	79			
2020-05-22	1908	80			
2020-05-23	1916	81			
2020-05-24	1931	81			
2020-05-25	1941	82			
2020-05-26	1947	82			
2020-05-27	1963	82			
2020-05-28	1974	82			
2020-05-29	1983	82			
2020-05-30	2005	82			
2020-05-31	2025	83			
2020-06-01	2045	83			
2020-06-02	2083	83			
2020-06-03	2092	83			
2020-06-04	2107	83			
2020-06-05	2119	83			
2020-06-06	2133	83			
2020-06-07	2173	83			
2020-06-08	2191	83			
2020-06-09	2200	83			
2020-06-10	2205	83			
2020-06-11	2211	83			
2020-06-12	2219	84			
2020-06-13	2233	84			
2020-06-14	2238	84			
2020-06-15	2248	84			
2020-06-16	2262	84			
2020-06-17	2273	84			
2020-06-18	2280	84			
2020-06-19	2295	85			
2020-06-20	2305	85			
2020-06-21	2309	85			
2020-06-22	2312	85			
2020-06-23	2315	85			
2020-06-24	2318	85			
2020-06-25	2319	85			
2020-06-26	2321	85			
2020-06-27	2325	85			
2020-06-28	2330	86			
