# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-10	2	0			
2020-03-12	6	0			
2020-03-14	14	0			
2020-03-15	21	0			
2020-03-16	30	0			
2020-03-17	40	0			
2020-03-18	40	0			
2020-03-19	58	0			
2020-03-20	58	0			
2020-03-21	67	0			
2020-03-22	84	0			
2020-03-23	95	0			
2020-03-24	116	0			
2020-03-25	124	3			
2020-03-26	132	3			
2020-03-27	146	3			
2020-03-28	162	5			
2020-03-29	179	5			
2020-03-30	214	6			
2020-03-31	230	7			
2020-04-01	262	8			
2020-04-02	320	9			
2020-04-03	356	9			
2020-04-04	396	9			
2020-04-05	426	9			
2020-04-06	446	9			
2020-04-07	465	9			
2020-04-08	494	9			
2020-04-09	526	9			
2020-04-10	564	10			
2020-04-11	595	10			
2020-04-12	616	10			
2020-04-13	633	11			
2020-04-14	662	12			
2020-04-15	695	12			
2020-04-16	715	12			
2020-04-17	735	12			
2020-04-18	735	12			
2020-04-19	761	12			
2020-04-20	767	12			
2020-04-21	772	12			
2020-04-22	784	12			
2020-04-23	790	14			
2020-04-24	795	14			
2020-04-25	804	14			
2020-04-26	810	14			
2020-04-27	817	14			
2020-04-28	822	15			
2020-04-29	837	15			
2020-04-30	843	15			
2020-05-01	850	15			
2020-05-02	857	15			
2020-05-03	864	15			
2020-05-04	872	15			
2020-05-05	874	15			
2020-05-06	878	15			
2020-05-07	883	15			
2020-05-08	889	15			
2020-05-09	891	15			
2020-05-10	892	15			
2020-05-11	898	16			
2020-05-12	901	16			
2020-05-13	903	16			
2020-05-14	905	17			
2020-05-15	907	17			
2020-05-16	910	17			
2020-05-17	914	17			
2020-05-18	916	17			
2020-05-19	917	17			
2020-05-20	918	17			
2020-05-21	922	17			
2020-05-22	923	17			
2020-05-23	927	17			
2020-05-24	927	17			
2020-05-25	935	17			
2020-05-26	937	17			
2020-05-27	939	17			
2020-05-28	939	17			
2020-05-29	941	17			
2020-05-30	941	17			
2020-05-31	943	17			
2020-06-01	944	17			
2020-06-02	949	17			
2020-06-03	952	17			
2020-06-04	958	17			
2020-06-05	958	17			
2020-06-06	960	17			
2020-06-07	960	18			
2020-06-08	964	18			
2020-06-09	970	18			
2020-06-10	972	18			
2020-06-11	974	18			
2020-06-12	975	18			
2020-06-13	980	18			
2020-06-14	980	18			
2020-06-15	983	18			
2020-06-16	985	18			
2020-06-17	985	18			
2020-06-18	985	18			
2020-06-19	985	19			
2020-06-20	985	19			
2020-06-21	985	19			
2020-06-22	986	19			
2020-06-23	988	19			
2020-06-24	990	19			
2020-06-25	991	19			
2020-06-26	992	19			
2020-06-27	992	19			
2020-06-28	994	19			
2020-06-29	994	19			
2020-06-30	996	19			
2020-07-01	998	19			
2020-07-02	999	19			
2020-07-03	999	19			
2020-07-04	999	19			
2020-07-05	1002	19			
2020-07-06	1003	19			
2020-07-07	1004	19			
2020-07-08	1005	19			
2020-07-09	1008	19			
2020-07-10	1010	19			
2020-07-11	1013	19			
2020-07-12	1014	19			
2020-07-13	1021	19			
2020-07-14	1022	19			
2020-07-15	1022	19			
2020-07-16	1023	19			
