# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	0	0			
2020-01-27	0	0			
2020-01-28	0	0			
2020-01-29	0	0			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	0	0			
2020-03-01	0	0			
2020-03-02	3	0			
2020-03-03	5	0			
2020-03-04	5	0			
2020-03-05	8	0			
2020-03-06	12	0			
2020-03-07	19	0			
2020-03-08	26	0			
2020-03-09	32	0			
2020-03-10	40	0			
2020-03-11	63	0			
2020-03-12	94	0			
2020-03-13	116	0			
2020-03-14	150	0			
2020-03-15	214	0			
2020-03-16	298	0			
2020-03-17	344	0			
2020-03-18	434	0			
2020-03-19	522	0			
2020-03-20	694	0			
2020-03-21	904	0			
2020-03-22	995	0			
2020-03-23	1165	1			
2020-03-24	1236	1			
2020-03-25	1394	3			
2020-03-26	1654	6			
2020-03-27	2062	9			
2020-03-28	2279	9			
2020-03-29	2663	11			
2020-03-30	2829	16			
2020-03-31	3002	24			
2020-04-01	3308	31			
2020-04-02	3589	39			
2020-04-03	3858	44			
2020-04-04	4190	53			
2020-04-05	4472	59			
2020-04-06	4587	67			
2020-04-07	4822	78			
2020-04-08	5017	88			
2020-04-09	5312	99			
2020-04-10	5569	112			
2020-04-11	5732	119			
2020-04-12	5902	129			
2020-04-13	5991	138			
2020-04-14	6059	143			
2020-04-15	6141	161			
2020-04-16	6303	166			
2020-04-17	6433	169			
2020-04-18	6549	173			
2020-04-19	6654	181			
2020-04-20	6787	188			
2020-04-21	6914	196			
2020-04-22	7041	201			
2020-04-23	7136	210			
2020-04-24	7188	213			
2020-04-25	7273	215			
2020-04-26	7352	218			
2020-04-27	7404	221			
2020-04-28	7449	223			
2020-04-29	7504	227			
2020-04-30	7579	227			
2020-05-01	7682	236			
2020-05-02	7737	240			
2020-05-03	7755	245			
2020-05-04	7781	248			
2020-05-05	7819	252			
2020-05-06	7896	257			
2020-05-07	7974	262			
2020-05-08	8031	270			
2020-05-09	8077	273			
2020-05-10	8095	276			
2020-05-11	8123	280			
2020-05-12	8176	282			
2020-05-13	8221	283			
2020-05-14	8269	290			
2020-05-15	8351	293			
2020-05-16	8406	295			
2020-05-17	8455	296			
2020-05-18	8475	297			
2020-05-19	8586	297			
2020-05-20	8647	302			
2020-05-21	8721	304			
2020-05-22	8754	306			
2020-05-23	8813	312			
2020-05-24	8890	314			
2020-05-25	8957	315			
2020-05-26	9004	317			
2020-05-27	9050	317			
2020-05-28	9086	317			
2020-05-29	9140	319			
2020-05-30	9196	319			
2020-05-31	9230	319			
2020-06-01	9273	320			
2020-06-02	9302	321			
2020-06-03	9364	323			
2020-06-04	9438	324			
2020-06-05	9494	326			
2020-06-06	9529	327			
2020-06-07	9567	327			
2020-06-08	9628	327			
2020-06-09	9697	328			
2020-06-10	9751	328			
2020-06-11	9824	328			
2020-06-12	9886	329			
2020-06-13	9938	329			
2020-06-14	9991	329			
2020-06-15	10024	329			
2020-06-16	10064	330			
2020-06-17	10111	331			
2020-06-18	10162	333			
2020-06-19	10230	334			
2020-06-20	10406	335			
2020-06-21	10448	336			
2020-06-22	10498	336			
2020-06-23	10561	336			
2020-06-24	10650	339			
2020-06-25	10777	343			
2020-06-26	10870	345			
2020-06-27	11038	345			
2020-06-28	11298	347			
2020-06-29	11603	348			
2020-06-30	11805	348			
2020-07-01	11954	349			
2020-07-02	12046	349			
2020-07-03	12178	351			
2020-07-04	12319	352			
2020-07-05	12440	351			
2020-07-06	12515	348			
2020-07-07	12566	350			
2020-07-08	12685	351			
2020-07-09	12814	351			
2020-07-10	12919	352			
2020-07-11	13062	352			
2020-07-12	13115	352			
2020-07-13	13174	352			
2020-07-14	13238	353			
2020-07-15	13341	355			
2020-07-16	13475	355			
