# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	0	0			
2020-01-27	0	0			
2020-01-28	0	0			
2020-01-29	0	0			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	0	0			
2020-03-01	0	0			
2020-03-02	1	0			
2020-03-07	2	0			
2020-03-10	5	0			
2020-03-14	11	0			
2020-03-15	11	0			
2020-03-16	11	0			
2020-03-17	11	0			
2020-03-18	11	0			
2020-03-19	21	0			
2020-03-20	21	0			
2020-03-21	34	2			
2020-03-22	112	3			
2020-03-23	202	3			
2020-03-24	245	3			
2020-03-25	312	6			
2020-03-26	392	10			
2020-03-27	488	10			
2020-03-28	581	20			
2020-03-29	719	28			
2020-03-30	859	39			
2020-03-31	901	42			
2020-04-01	1109	51			
2020-04-02	1284	57			
2020-04-03	1380	60			
2020-04-04	1488	68			
2020-04-05	1578	77			
2020-04-06	1745	82			
2020-04-07	1828	86			
2020-04-08	1956	98			
2020-04-09	2111	108			
2020-04-10	2349	118			
2020-04-11	2620	126			
2020-04-12	2759	135			
2020-04-13	2967	173			
2020-04-14	3167	177			
2020-04-15	3286	183			
2020-04-16	3614	189			
2020-04-17	3755	196			
2020-04-18	4126	200			
2020-04-19	4335	217			
2020-04-20	4680	226			
2020-04-21	4964	235			
2020-04-22	5044	245			
2020-04-23	5300	260			
2020-04-24	5543	265			
2020-04-25	5749	267			
2020-04-26	5926	273			
2020-04-27	6135	278			
2020-04-28	6135	278			
2020-04-29	6416	286			
2020-04-30	6652	293			
2020-05-01	6972	301			
