# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-15	1	0			
2020-03-16	1	0			
2020-03-17	1	0			
2020-03-18	1	0			
2020-03-19	1	0			
2020-03-20	1	0			
2020-03-21	1	0			
2020-03-22	1	0			
2020-03-23	4	0			
2020-03-24	4	0			
2020-03-25	4	0			
2020-03-26	4	0			
2020-03-27	6	0			
2020-03-28	9	0			
2020-03-29	9	0			
2020-03-30	9	0			
2020-03-31	9	0			
2020-04-01	9	0			
2020-04-02	9	0			
2020-04-03	9	0			
2020-04-04	9	0			
2020-04-05	9	0			
2020-04-06	9	0			
2020-04-07	10	0			
2020-04-08	10	0			
2020-04-09	12	0			
2020-04-10	12	0			
2020-04-11	12	0			
2020-04-12	14	0			
2020-04-13	14	0			
2020-04-14	15	0			
2020-04-15	15	0			
2020-04-16	16	0			
2020-04-17	16	0			
2020-04-18	19	1			
2020-04-19	19	1			
2020-04-20	22	1			
2020-04-21	24	1			
2020-04-22	24	1			
2020-04-23	31	1			
2020-04-24	32	1			
2020-04-25	40	1			
2020-04-26	40	1			
2020-04-27	59	1			
2020-04-28	65	1			
2020-04-29	71	1			
2020-04-30	91	1			
2020-05-01	100	1			
2020-05-02	106	1			
2020-05-03	108	1			
2020-05-04	112	1			
2020-05-05	116	1			
2020-05-06	116	1			
2020-05-07	123	2			
2020-05-08	153	2			
2020-05-09	159	2			
2020-05-10	163	2			
2020-05-11	172	2			
2020-05-12	175	2			
2020-05-13	184	2			
2020-05-14	187	2			
2020-05-15	187	2			
2020-05-16	190	2			
2020-05-17	202	2			
2020-05-18	203	2			
2020-05-19	203	2			
2020-05-20	208	2			
2020-05-21	217	2			
2020-05-22	220	2			
2020-05-23	220	2			
2020-05-24	238	2			
2020-05-25	250	2			
2020-05-26	256	2			
2020-05-27	261	2			
2020-05-28	272	2			
2020-05-29	279	2			
2020-05-30	279	2			
2020-05-31	283	2			
2020-06-01	285	2			
2020-06-02	293	3			
2020-06-03	293	3			
2020-06-04	295	3			
2020-06-05	300	3			
2020-06-06	305	3			
2020-06-07	322	3			
2020-06-08	333	3			
2020-06-09	340	3			
2020-06-10	371	3			
2020-06-11	398	3			
2020-06-12	449	3			
2020-06-13	472	3			
2020-06-14	486	3			
2020-06-15	490	4			
2020-06-16	506	4			
2020-06-17	520	4			
2020-06-18	563	4			
2020-06-19	586	4			
2020-06-20	623	4			
2020-06-21	627	5			
2020-06-22	635	5			
2020-06-23	643	6			
2020-06-24	674	7			
2020-06-25	690	7			
2020-06-26	706	8			
2020-06-27	728	8			
2020-06-28	745	8			
2020-06-29	781	11			
2020-06-30	795	11			
2020-07-01	812	11			
2020-07-02	840	11			
2020-07-03	873	11			
2020-07-04	909	13			
2020-07-05	954	13			
2020-07-06	988	13			
2020-07-07	1011	13			
2020-07-08	1056	14			
2020-07-09	1138	14			
2020-07-10	1213	17			
2020-07-11	1257	18			
2020-07-12	1311	18			
2020-07-13	1351	20			
2020-07-14	1389	20			
2020-07-15	1434	20			
2020-07-16	1489	20			
2020-07-17	1552	21			
2020-07-18	1619	21			
2020-07-19	1729	21			
2020-07-20	1793	21			
2020-07-21	1826	23			
2020-07-22	1894	24			
2020-07-23	1938	25			
2020-07-24	2021	28			
2020-07-25	2073	28			
2020-07-26	2142	28			
2020-07-27	2207	32			
2020-07-28	2316	34			
2020-07-29	2404	39			
2020-07-30	2551	40			
2020-07-31	2577	40			
2020-08-01	2648	41			
2020-08-02	2706	43			
2020-08-03	2775	43			
2020-08-04	2838	45			
2020-08-05	2856	49			
2020-08-06	2909	53			
2020-08-07	2968	55			
2020-08-08	3036	56			
2020-08-09	3128	56			
2020-08-10	3236	58			
2020-08-11	3309	61			
2020-08-12	3410	63			
2020-08-13	3525	63			
2020-08-14	3599	65			
2020-08-15	3670	68			
2020-08-16	3745	69			
2020-08-17	3839	70			
2020-08-18	3894	73			
2020-08-19	3989	76			
2020-08-20	4058	79			
2020-08-21	4110	81			
2020-08-22	4128	81			
2020-08-23	4189	83			
2020-08-24	4225	85			
2020-08-25	4304	85			
2020-08-26	4327	86			
2020-08-27	4387	88			
2020-08-28	4433	89			
2020-08-29	4461	91			
2020-08-30	4510	91			
2020-08-31	4561	91			
2020-09-01	4577	91			
2020-09-02	4618	94			
2020-09-03	4668	94			
2020-09-04	4720	94			
2020-09-05	4780	94			
2020-09-06	4819	94			
2020-09-07	4853	94			
2020-09-08	4884	94			
2020-09-09	4904	96			
2020-09-10	4936	97			
2020-09-11	4994	98			
2020-09-12	5025	98			
2020-09-13	5050	98			
2020-09-14	5075	98			
2020-09-15	5104	101			
2020-09-16	5128	101			
2020-09-17	5155	101			
2020-09-18	5191	103			
2020-09-19	5215	103			
2020-09-20	5245	104			
2020-09-21	5269	104			
2020-09-22	5282	104			
2020-09-23	5307	106			
2020-09-24	5343	108			
2020-09-25	5375	108			
2020-09-26	5399	108			
2020-09-27	5419	108			
2020-09-28	5431	108			
2020-09-29	5452	108			
2020-09-30	5462	108			
2020-10-01	5482	109			
