# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	0	0			
2020-01-27	0	0			
2020-01-28	0	0			
2020-01-29	0	0			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	1	0			
2020-02-28	3	0			
2020-02-29	4	0			
2020-03-01	7	0			
2020-03-02	7	0			
2020-03-05	10	0			
2020-03-06	32	0			
2020-03-07	45	0			
2020-03-08	66	0			
2020-03-09	73	0			
2020-03-10	84	0			
2020-03-11	90	0			
2020-03-12	99	1			
2020-03-13	133	1			
2020-03-14	190	1			
2020-03-15	228	3			
2020-03-16	331	4			
2020-03-17	352	4			
2020-03-18	387	5			
2020-03-19	418	5			
2020-03-20	464	5			
2020-03-21	495	8			
2020-03-22	530	13			
2020-03-23	624	15			
2020-03-24	695	17			
2020-03-25	743	20			
2020-03-26	821	22			
2020-03-27	892	26			
2020-03-28	966	28			
2020-03-29	1061	32			
2020-03-30	1156	38			
2020-03-31	1212	43			
2020-04-01	1314	49			
2020-04-02	1375	50			
2020-04-03	1514	53			
2020-04-04	1613	59			
2020-04-05	1673	68			
2020-04-06	1735	73			
2020-04-07	1755	79			
2020-04-08	1832	81			
2020-04-09	1884	83			
2020-04-10	1955	86			
2020-04-11	2011	90			
2020-04-12	2081	93			
2020-04-13	2114	98			
2020-04-14	2145	99			
2020-04-15	2170	101			
2020-04-16	2192	102			
2020-04-17	2207	105			
2020-04-18	2207	105			
2020-04-19	2207	105			
2020-04-20	2235	110			
2020-04-21	2245	116			
2020-04-22	2401	121			
2020-04-23	2408	121			
2020-04-24	2463	125			
2020-04-25	2490	130			
2020-04-26	2506	130			
2020-04-27	2506	130			
2020-04-28	2534	136			
2020-04-29	2534	136			
2020-04-30	2576	139			
2020-05-01	2591	140			
2020-05-02	2591	140			
2020-05-03	2620	143			
2020-05-04	2626	144			
2020-05-05	2632	146			
2020-05-06	2642	146			
2020-05-07	2663	147			
2020-05-08	2678	148			
2020-05-09	2691	150			
2020-05-10	2710	151			
2020-05-11	2716	151			
2020-05-12	2726	151			
2020-05-13	2744	152			
2020-05-14	2760	155			
2020-05-15	2770	156			
2020-05-16	2810	160			
2020-05-17	2819	162			
2020-05-18	2834	163			
2020-05-19	2836	165			
2020-05-20	2840	165			
2020-05-21	2850	166			
2020-05-22	2853	168			
2020-05-23	2873	169			
2020-05-24	2876	171			
2020-05-25	2878	171			
2020-05-26	2882	172			
2020-05-27	2892	173			
2020-05-28	2903	173			
2020-05-29	2906	175			
2020-05-30	2909	175			
2020-05-31	2915	175			
2020-06-01	2917	175			
2020-06-02	2917	175			
2020-06-03	2918	179			
2020-06-04	2937	179			
2020-06-05	2937	179			
2020-06-06	2937	179			
2020-06-07	2952	180			
2020-06-08	2952	180			
2020-06-09	3049	182			
2020-06-10	3058	183			
2020-06-11	3068	183			
2020-06-12	3088	183			
2020-06-13	3108	183			
2020-06-14	3112	183			
2020-06-15	3121	183			
2020-06-16	3134	184			
2020-06-17	3148	185			
2020-06-18	3203	187			
2020-06-19	3227	188			
2020-06-20	3237	189			
2020-06-21	3256	190			
2020-06-22	3266	190			
2020-06-23	3287	190			
2020-06-24	3302	190			
2020-06-25	3310	190			
2020-06-26	3321	191			
2020-06-27	3343	191			
2020-06-28	3366	191			
