# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-23	1	0			
2020-03-24	1	0			
2020-03-25	1	0			
2020-03-26	1	0			
2020-03-27	7	0			
2020-03-28	7	0			
2020-03-29	9	0			
2020-03-30	9	0			
2020-03-31	9	0			
2020-04-01	9	0			
2020-04-02	10	0			
2020-04-03	10	0			
2020-04-04	12	0			
2020-04-05	12	0			
2020-04-06	12	0			
2020-04-07	12	0			
2020-04-08	12	0			
2020-04-09	12	0			
2020-04-10	12	0			
2020-04-11	14	0			
2020-04-12	14	0			
2020-04-13	14	0			
2020-04-14	14	0			
2020-04-15	14	0			
2020-04-16	14	0			
2020-04-17	14	0			
2020-04-18	14	0			
2020-04-19	14	0			
2020-04-20	14	0			
2020-04-21	14	0			
2020-04-22	14	0			
2020-04-23	15	0			
2020-04-24	15	0			
2020-04-25	15	0			
2020-04-26	18	0			
2020-04-27	18	0			
2020-04-28	18	0			
2020-04-29	18	0			
2020-04-30	20	0			
2020-05-01	20	0			
