# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-27	2	0			
2020-03-28	2	0			
2020-03-29	2	0			
2020-03-30	2	0			
2020-03-31	2	0			
2020-04-01	8	0			
2020-04-02	9	0			
2020-04-03	9	0			
2020-04-04	15	0			
2020-04-05	18	0			
2020-04-06	18	0			
2020-04-07	33	0			
2020-04-08	33	0			
2020-04-09	33	0			
2020-04-10	35	0			
2020-04-11	35	0			
2020-04-12	38	0			
2020-04-13	39	0			
2020-04-14	39	0			
2020-04-15	40	0			
2020-04-16	43	0			
2020-04-17	46	0			
2020-04-18	50	0			
2020-04-19	50	0			
2020-04-20	50	0			
2020-04-21	50	0			
2020-04-22	50	0			
2020-04-23	50	0			
2020-04-24	52	0			
2020-04-25	52	0			
2020-04-26	52	0			
2020-04-27	53	1			
2020-04-28	73	1			
2020-04-29	73	1			
2020-04-30	77	1			
2020-05-01	205	1			
2020-05-02	257	1			
2020-05-03	257	1			
2020-05-04	292	2			
2020-05-05	413	2			
2020-05-06	475	2			
2020-05-07	475	2			
2020-05-08	564	2			
2020-05-09	594	2			
2020-05-10	641	3			
2020-05-11	726	3			
2020-05-12	761	3			
2020-05-13	820	3			
2020-05-14	820	3			
2020-05-15	913	3			
2020-05-16	913	3			
2020-05-17	913	3			
2020-05-18	990	4			
2020-05-19	990	4			
2020-05-20	1038	6			
2020-05-21	1038	6			
2020-05-22	1089	6			
2020-05-23	1089	6			
2020-05-24	1114	6			
2020-05-25	1173	6			
2020-05-26	1173	6			
2020-05-27	1173	6			
2020-05-28	1178	7			
2020-05-29	1178	7			
2020-05-30	1256	8			
2020-05-31	1256	8			
2020-06-01	1322	8			
2020-06-02	1339	8			
2020-06-03	1339	8			
2020-06-04	1339	8			
2020-06-05	1346	9			
2020-06-06	1368	12			
2020-06-07	1368	12			
2020-06-08	1368	12			
2020-06-09	1389	12			
2020-06-10	1389	12			
2020-06-11	1389	12			
2020-06-12	1389	12			
2020-06-13	1389	12			
2020-06-14	1460	15			
2020-06-15	1460	15			
2020-06-16	1460	15			
2020-06-17	1492	15			
2020-06-18	1492	15			
2020-06-19	1512	15			
2020-06-20	1512	15			
2020-06-21	1541	17			
2020-06-22	1541	17			
2020-06-23	1556	19			
2020-06-24	1556	19			
2020-06-25	1556	19			
2020-06-26	1556	19			
2020-06-27	1556	19			
2020-06-28	1614	21			
