# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-12	2	0			
2020-03-14	3	0			
2020-03-16	6	0			
2020-03-17	8	0			
2020-03-18	9	0			
2020-03-19	12	0			
2020-03-20	24	0			
2020-03-21	24	0			
2020-03-22	26	0			
2020-03-23	27	0			
2020-03-24	30	0			
2020-03-25	36	0			
2020-03-26	52	0			
2020-03-27	67	1			
2020-03-28	95	1			
2020-03-29	110	2			
2020-03-30	139	3			
2020-03-31	141	7			
2020-04-01	172	10			
2020-04-02	219	14			
2020-04-03	222	15			
2020-04-04	264	15			
2020-04-05	268	22			
2020-04-06	298	22			
2020-04-07	305	22			
2020-04-08	312	22			
2020-04-09	343	23			
2020-04-10	382	23			
2020-04-11	392	24			
2020-04-12	393	25			
2020-04-13	397	25			
2020-04-14	407	26			
2020-04-15	419	31			
2020-04-16	426	35			
2020-04-17	442	41			
2020-04-18	457	46			
2020-04-19	472	46			
2020-04-20	477	46			
2020-04-21	494	46			
2020-04-22	510	46			
2020-04-23	519	47			
2020-04-24	519	47			
2020-04-25	591	47			
2020-04-26	627	59			
2020-04-27	661	61			
2020-04-28	693	61			
2020-04-29	738	66			
2020-04-30	771	71			
2020-05-01	804	75			
2020-05-02	899	75			
2020-05-03	1010	76			
2020-05-04	1055	82			
2020-05-05	1178	82			
2020-05-06	1270	93			
2020-05-07	1461	99			
2020-05-08	1685	105			
2020-05-09	1771	107			
2020-05-10	1830	108			
2020-05-11	1972	108			
2020-05-12	2006	116			
2020-05-13	2080	121			
2020-05-14	2255	123			
2020-05-15	2318	133			
2020-05-16	2460	134			
2020-05-17	2565	138			
2020-05-18	2646	142			
2020-05-19	2798	146			
2020-05-20	2955	147			
2020-05-21	3100	151			
2020-05-22	3204	156			
2020-05-23	3477	167			
2020-05-24	3743	174			
2020-05-25	3950	180			
2020-05-26	4189	182			
2020-05-27	4401	188			
2020-05-28	4640	194			
2020-05-29	4752	196			
2020-05-30	4886	199			
2020-05-31	5094	201			
2020-06-01	5202	212			
2020-06-02	5362	217			
2020-06-03	5527	225			
2020-06-04	5690	234			
2020-06-05	5880	243			
2020-06-06	5971	248			
2020-06-07	6155	250			
2020-06-08	6327	258			
2020-06-09	6450	262			
2020-06-10	6935	271			
2020-06-11	7360	290			
2020-06-12	7669	294			
2020-06-13	8132	306			
2020-06-14	8455	310			
2020-06-15	8858	312			
2020-06-16	9178	322			
2020-06-17	9656	330			
2020-06-18	10299	336			
2020-06-19	10739	343			
2020-06-20	11258	349			
2020-06-21	12250	358			
2020-06-22	12769	363			
2020-06-23	13356	395			
2020-06-24	13943	405			
2020-06-25	14571	417			
2020-06-26	15366	426			
2020-06-27	15994	471			
2020-06-28	17007	479			
2020-06-29	18082	479			
2020-06-30	18818	485			
2020-07-01	19558	497			
2020-07-02	20262	542			
2020-07-03	21120	591			
2020-07-04	22116	605			
2020-07-05	22921	629			
2020-07-06	23943	639			
2020-07-07	24665	656			
2020-07-08	25428	677			
2020-07-09	25978	694			
2020-07-10	26384	704			
2020-07-11	27053	750			
2020-07-12	27583	771			
2020-07-13	28090	774			
2020-07-14	28579	789			
2020-07-15	29106	807			
2020-07-16	30036	825			
2020-07-17	30867	835			
2020-07-18	31745	857			
2020-07-19	32793	891			
2020-07-20	33835	900			
2020-07-21	34611	935			
2020-07-22	35345	988			
2020-07-23	36102	1006			
2020-07-24	36902	1011			
2020-07-25	37559	1061			
2020-07-26	38438	1098			
2020-07-27	39276	1116			
2020-07-28	39741	1166			
2020-07-29	40460	1214			
2020-07-30	40944	1259			
2020-07-31	41426	1312			
2020-08-01	42402	1337			
2020-08-02	42685	1368			
2020-08-03	43197	1377			
2020-08-04	43794	1384			
2020-08-05	44299	1400			
2020-08-06	45098	1423			
2020-08-07	45755	1446			
2020-08-08	46365	1465			
2020-08-09	46976	1476			
2020-08-10	47454	1495			
2020-08-11	47872	1506			
2020-08-12	48403	1515			
2020-08-13	48657	1533			
2020-08-14	49042	1542			
2020-08-15	49467	1548			
2020-08-16	49979	1567			
2020-08-17	50502	1575			
2020-08-18	50995	1583			
2020-08-19	51670	1593			
2020-08-20	52296	1608			
2020-08-21	52819	1619			
2020-08-22	53381	1632			
2020-08-23	53983	1643			
2020-08-24	54511	1654			
2020-08-25	55479	1683			
2020-08-26	55479	1683			
2020-08-27	56649	1747			
2020-08-28	57669	1803			
2020-08-29	58810	1827			
2020-08-30	59645	1842			
2020-08-31	60174	1858			
2020-09-01	61014	1873			
2020-09-02	61769	1888			
2020-09-03	62526	1924			
2020-09-04	63158	1954			
2020-09-05	63798	1984			
2020-09-06	64352	2006			
2020-09-07	64764	2007			
2020-09-08	64814	2023			
2020-09-09	65218	2034			
2020-09-10	65597	2044			
2020-09-11	65802	2049			
2020-09-12	66049	2058			
2020-09-13	67136	2065			
2020-09-14	67789	2079			
2020-09-15	68620	2087			
2020-09-16	68620	2087			
2020-09-17	69660	2102			
2020-09-18	70120	2122			
2020-09-19	70611	2146			
2020-09-20	71143	2166			
2020-09-21	71616	2184			
2020-09-22	72075	2204			
2020-09-23	72306	2206			
2020-09-24	72675	2222			
2020-09-25	73193	2249			
2020-09-26	73840	2271			
2020-09-27	74548	2288			
2020-09-28	75109	2289			
2020-09-29	75537	2301			
2020-09-30	76098	2323			
2020-10-01	76900	2353			
2020-10-02	77598	2380			
2020-10-03	78269	2386			
2020-10-04	78788	2399			
2020-10-05	79629	2422			
2020-10-06	80020	2433			
2020-10-07	80662	2447			
