# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	0	0			
2020-01-27	0	0			
2020-01-28	0	0			
2020-01-29	0	0			
2020-01-30	1	0			
2020-01-31	1	0			
2020-02-01	1	0			
2020-02-02	2	0			
2020-02-03	2	0			
2020-02-04	3	0			
2020-02-05	3	0			
2020-02-06	3	0			
2020-02-07	3	0			
2020-02-08	3	0			
2020-02-09	3	0			
2020-02-10	3	0			
2020-02-11	3	0			
2020-02-12	3	0			
2020-02-13	3	0			
2020-02-14	3	0			
2020-02-15	3	0			
2020-02-16	3	0			
2020-02-17	3	0			
2020-02-18	3	0			
2020-02-19	3	0			
2020-02-20	3	0			
2020-02-21	3	0			
2020-02-22	3	0			
2020-02-23	3	0			
2020-02-24	3	0			
2020-02-25	3	0			
2020-02-26	3	0			
2020-02-27	3	0			
2020-02-28	3	0			
2020-02-29	3	0			
2020-03-01	3	0			
2020-03-02	3	0			
2020-03-03	5	0			
2020-03-04	6	0			
2020-03-05	28	0			
2020-03-06	29	0			
2020-03-07	31	0			
2020-03-08	34	0			
2020-03-10	44	0			
2020-03-11	50	0			
2020-03-12	73	0			
2020-03-13	75	1			
2020-03-14	83	2			
2020-03-15	90	2			
2020-03-16	93	2			
2020-03-17	125	3			
2020-03-18	137	3			
2020-03-19	165	3			
2020-03-20	191	4			
2020-03-21	231	4			
2020-03-22	320	4			
2020-03-23	439	7			
2020-03-24	492	9			
2020-03-25	562	9			
2020-03-26	649	13			
2020-03-27	724	17			
2020-03-28	873	19			
2020-03-29	979	25			
2020-03-30	1071	29			
2020-03-31	1251	32			
2020-04-01	1397	35			
2020-04-02	1965	50			
2020-04-03	2301	56			
2020-04-04	2902	68			
2020-04-05	3374	77			
2020-04-06	4067	109			
2020-04-07	4421	114			
2020-04-08	5194	149			
2020-04-09	5734	166			
2020-04-10	6412	199			
2020-04-11	7447	239			
2020-04-12	8356	273			
2020-04-13	9152	308			
2020-04-14	10363	339			
