# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	0	0			
2020-01-27	0	0			
2020-01-28	0	0			
2020-01-29	0	0			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	3	0			
2020-02-25	5	0			
2020-02-26	11	0			
2020-02-27	26	0			
2020-02-28	43	0			
2020-02-29	45	0			
2020-03-01	45	0			
2020-03-02	46	0			
2020-03-03	56	0			
2020-03-06	58	0			
2020-03-08	61	0			
2020-03-09	64	0			
2020-03-10	65	0			
2020-03-11	69	0			
2020-03-12	72	0			
2020-03-13	80	0			
2020-03-14	100	0			
2020-03-15	104	0			
2020-03-16	112	0			
2020-03-17	123	0			
2020-03-18	130	0			
2020-03-19	142	0			
2020-03-20	148	0			
2020-03-21	159	0			
2020-03-22	176	0			
2020-03-23	188	0			
2020-03-24	189	0			
2020-03-25	191	0			
2020-03-26	195	0			
2020-03-27	208	0			
2020-03-28	225	0			
2020-03-29	235	0			
2020-03-30	255	0			
2020-03-31	266	0			
2020-04-01	289	0			
2020-04-02	317	0			
2020-04-03	342	0			
2020-04-04	342	0			
2020-04-05	479	1			
2020-04-06	556	1			
2020-04-07	665	1			
2020-04-08	743	1			
2020-04-09	855	1			
2020-04-10	910	1			
2020-04-11	993	1			
2020-04-12	1154	1			
2020-04-13	1234	1			
2020-04-14	1300	2			
2020-04-15	1355	3			
2020-04-16	1405	3			
2020-04-17	1524	3			
2020-04-18	1658	5			
2020-04-19	1752	6			
2020-04-20	1915	7			
2020-04-21	1995	9			
2020-04-22	2080	11			
2020-04-23	2248	13			
2020-04-24	2399	14			
2020-04-25	2614	15			
2020-04-26	2892	19			
2020-04-27	3075	20			
2020-04-28	3288	22			
2020-04-29	3440	23			
2020-04-30	3740	24			
2020-05-01	4024	26			
2020-05-02	4377	30			
2020-05-03	4619	33			
2020-05-04	4983	38			
2020-05-05	5278	40			
2020-05-06	5804	40			
2020-05-07	6289	42			
2020-05-08	6567	44			
2020-05-09	7208	47			
2020-05-10	7623	49			
2020-05-11	8688	58			
2020-05-12	9286	65			
2020-05-13	10277	75			
2020-05-14	11028	82			
2020-05-15	11975	88			
2020-05-16	12860	96			
2020-05-17	13802	107			
2020-05-18	14850	112			
2020-05-19	15691	118			
2020-05-20	16764	121			
2020-05-21	17568	124			
2020-05-22	18609	129			
2020-05-23	19564	138			
2020-05-24	20464	148			
2020-05-25	21302	156			
2020-05-26	21967	165			
2020-05-27	22575	172			
2020-05-28	23267	175			
2020-05-29	24112	185			
2020-05-30	25184	194			
2020-05-31	26192	205			
2020-06-01	27043	212			
2020-06-02	27762	220			
2020-06-03	28649	226			
2020-06-04	29359	230			
2020-06-05	29921	236			
2020-06-06	30644	244			
2020-06-07	31131	254			
2020-06-08	31848	264			
2020-06-09	32510	269			
2020-06-10	33140	273			
2020-06-11	33823	275			
2020-06-12	34432	279			
2020-06-13	34952	285			
2020-06-14	35466	289			
2020-06-15	35920	296			
2020-06-16	36431	298			
2020-06-17	36958	303			
2020-06-18	37533	306			
2020-06-19	38074	308			
2020-06-20	38678	313			
2020-06-21	39145	319			
2020-06-22	39650	326			
2020-06-23	40291	330			
2020-06-24	41033	334			
2020-06-25	41879	337			
2020-06-26	42788	339			
2020-06-27	43703	341			
2020-06-28	44391	344			
2020-06-29	44942	348			
2020-06-30	45524	350			
2020-07-01	46195	354			
2020-07-02	46940	358			
2020-07-03	47859	359			
2020-07-04	48672	360			
2020-07-05	49303	365			
2020-07-06	49941	368			
2020-07-07	50644	373			
2020-07-08	51245	377			
2020-07-09	52007	379			
2020-07-10	52840	382			
2020-07-11	53580	383			
2020-07-12	54058	386			
2020-07-13	54894	390			
2020-07-14	55508	393			
2020-07-15	56174	396			
2020-07-16	56877	399			
