# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-03	1	0			
2020-03-08	2	0			
2020-03-09	3	0			
2020-03-10	6	0			
2020-03-11	8	0			
2020-03-12	10	0			
2020-03-13	16	0			
2020-03-14	19	0			
2020-03-15	26	0			
2020-03-16	31	0			
2020-03-17	36	0			
2020-03-18	61	0			
2020-03-19	71	0			
2020-03-20	86	0			
2020-03-21	111	0			
2020-03-22	124	0			
2020-03-23	139	0			
2020-03-24	180	0			
2020-03-25	197	0			
2020-03-26	221	0			
2020-03-27	244	0			
2020-03-28	280	0			
2020-03-29	305	0			
2020-03-30	376	0			
2020-03-31	376	0			
2020-04-01	398	0			
2020-04-02	446	0			
2020-04-03	458	0			
2020-04-04	493	1			
2020-04-05	509	1			
2020-04-06	533	1			
2020-04-07	542	1			
2020-04-08	548	2			
2020-04-09	577	2			
2020-04-10	589	2			
2020-04-11	612	2			
2020-04-12	630	3			
2020-04-13	651	5			
2020-04-14	655	5			
2020-04-15	657	5			
2020-04-16	666	5			
2020-04-17	675	5			
2020-04-18	682	5			
2020-04-19	712	5			
2020-04-20	727	5			
2020-04-21	739	5			
2020-04-22	748	9			
2020-04-23	761	11			
2020-04-24	778	11			
2020-04-25	784	12			
2020-04-26	804	12			
2020-04-27	812	12			
2020-04-28	818	13			
2020-04-29	836	13			
2020-04-30	849	15			
2020-05-01	858	15			
2020-05-02	870	16			
2020-05-03	871	16			
2020-05-04	879	16			
2020-05-05	896	16			
2020-05-06	896	17			
2020-05-07	900	17			
2020-05-08	909	18			
2020-05-09	928	18			
2020-05-10	930	18			
2020-05-11	939	18			
2020-05-12	946	18			
2020-05-13	950	18			
2020-05-14	951	19			
2020-05-15	962	19			
2020-05-16	970	19			
2020-05-17	997	19			
2020-05-18	1008	19			
2020-05-19	1009	19			
2020-05-20	1012	21			
2020-05-21	1016	21			
2020-05-22	1025	22			
2020-05-23	1030	22			
2020-05-24	1046	22			
2020-05-25	1047	22			
2020-05-26	1049	22			
2020-05-27	1053	22			
2020-05-28	1057	23			
2020-05-29	1061	24			
2020-05-30	1064	24			
2020-05-31	1065	24			
2020-06-01	1066	24			
2020-06-02	1071	24			
2020-06-03	1079	24			
2020-06-04	1079	24			
2020-06-05	1082	25			
2020-06-06	1082	25			
2020-06-07	1086	25			
2020-06-08	1088	25			
2020-06-09	1088	26			
2020-06-10	1089	26			
2020-06-11	1092	26			
2020-06-12	1094	26			
2020-06-13	1096	27			
2020-06-14	1097	28			
2020-06-15	1097	28			
2020-06-16	1097	28			
2020-06-17	1098	28			
2020-06-18	1104	30			
2020-06-19	1108	30			
2020-06-20	1110	30			
2020-06-21	1111	30			
2020-06-22	1111	30			
2020-06-23	1111	30			
2020-06-24	1111	30			
2020-06-25	1111	30			
2020-06-26	1111	30			
2020-06-27	1112	30			
2020-06-28	1115	30			
2020-06-29	1116	30			
2020-06-30	1117	30			
2020-07-01	1118	30			
2020-07-02	1121	30			
2020-07-03	1122	30			
2020-07-04	1122	30			
2020-07-05	1123	30			
2020-07-06	1124	30			
2020-07-07	1127	30			
2020-07-08	1134	30			
2020-07-09	1141	30			
2020-07-10	1154	30			
2020-07-11	1154	30			
2020-07-12	1173	30			
2020-07-13	1173	30			
2020-07-14	1174	31			
2020-07-15	1178	31			
2020-07-16	1178	31			
